ENTIDAD,NOMBRE ENTIDAD,MUNICIPIO,NOMBRE MUNICIPIO,SECCION,LOCALIDAD,NOMBRE LOCALIDAD,TIPO
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,1,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,2,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,3,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,4,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,5,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,6,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,7,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,8,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,9,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,10,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,11,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,12,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,13,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,14,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,15,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,16,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,17,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,18,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,19,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,20,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,21,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,22,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,23,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,24,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,25,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,26,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,27,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,28,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,29,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,30,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,31,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,32,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,33,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,34,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,35,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,36,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,37,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,38,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,39,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,40,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,41,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,42,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,43,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,44,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,45,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,46,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,47,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,48,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,49,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,50,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,51,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,52,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,53,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,54,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,55,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,56,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,57,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,58,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,59,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,60,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,61,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,62,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,63,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,64,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,65,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,66,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,67,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,68,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,69,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,70,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,71,1,CIUDAD DE MEXICO,URBANO(A)
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,72,1,CIUDAD DE MEXICO,URBANO(A)
