ENTIDAD,NOMBRE ENTIDAD,MUNICIPIO,NOMBRE MUNICIPIO,SECCION,LOCALIDAD,NOMBRE LOCALIDAD,TIPO
20,OAXACA,1,ABEJONES,1,1,ABEJONES,URBANO(A)
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,2,1,ACATLAN DE PEREZ FIGUEROA,URBANO(A)
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,2,58,BUENOS AIRES,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,3,1,ACATLAN DE PEREZ FIGUEROA,URBANO(A)
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,4,1,ACATLAN DE PEREZ FIGUEROA,URBANO(A)
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,5,1,ACATLAN DE PEREZ FIGUEROA,URBANO(A)
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,5,25,LA COTORRA,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,5,26,LA CUCHILLA,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,5,81,LAS MARAVILLAS,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,5,100,RANCHO BONITO,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,5,128,LA SABANETA,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,6,2,TETELA,URBANO(A)
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,6,141,SANTO DOMINGO,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,7,2,TETELA,URBANO(A)
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,7,35,LA ISLETA I,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,7,62,EL CARMEN,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,7,72,ESTANCIA DE VACAS I,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,7,83,LA MICHUCA,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,7,87,EL NANCHE I,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,7,94,PALO SOLO,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,7,125,LA REFORMA,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,7,140,RANCHO SANTA TERESITA,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,8,3,VICENTE CAMALOTE,URBANO(A)
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,9,3,VICENTE CAMALOTE,URBANO(A)
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,9,67,EL CRUCERO,RURAL
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,9,70,EL ESFUERZO,RURAL
