ord,mun,edon,munn,ife
1,"LLANO, EL",1,11,1011
2,SAN FRANCISCO DE LOS ROMO,1,10,1010
3,TEPEZALA,1,9,1009
4,SAN JOSE DE GRACIA,1,8,1008
5,RINCON DE ROMOS,1,7,1007
6,PABELLON DE ARTEAGA,1,6,1006
7,JESUS MARIA,1,5,1005
8,COSIO,1,4,1004
9,CALVILLO,1,3,1003
10,ASIENTOS,1,2,1002
11,AGUASCALIENTES,1,1,1001
12,ENSENADA,2,1,2001
13,MEXICALI,2,2,2002
14,TECATE,2,3,2003
15,TIJUANA,2,4,2004
16,PLAYAS DE ROSARITO,2,5,2005
17,"CABOS, LOS",3,4,3004
18,LORETO,3,5,3005
19,"PAZ, LA",3,3,3003
20,MULEGE,3,2,3002
21,COMONDU,3,1,3001
22,CAMPECHE,4,1,4001
23,CALKINI,4,2,4002
24,CARMEN,4,3,4003
25,CHAMPOTON,4,4,4004
26,HECELCHAKAN,4,5,4005
27,HOPELCHEN,4,6,4006
28,PALIZADA,4,7,4007
29,TENABO,4,8,4008
30,ESCARCEGA,4,9,4009
31,CANDELARIA,4,10,4010
32,ABASOLO,5,1,5001
33,ACU\A,5,2,5002
34,ALLENDE,5,3,5003
35,ARTEAGA,5,4,5004
36,CANDELA,5,5,5005
37,CASTA\OS,5,6,5006
38,CUATROCIENEGAS,5,7,5007
39,ESCOBEDO,5,8,5008
40,FRANCISCO I. MADERO,5,9,5009
41,FRONTERA,5,10,5010
42,GENERAL CEPEDA,5,11,5011
43,GUERRERO,5,12,5012
44,HIDALGO,5,13,5013
45,JIMENEZ,5,14,5014
46,JUAREZ,5,15,5015
47,LAMADRID,5,16,5016
48,MATAMOROS,5,17,5017
49,MONCLOVA,5,18,5018
50,MORELOS,5,19,5019
51,MUZQUIZ,5,20,5020
52,NADADORES,5,21,5021
53,NAVA,5,22,5022
54,OCAMPO,5,23,5023
55,PARRAS,5,24,5024
56,PROGRESO,5,26,5026
57,RAMOS ARIZPE,5,27,5027
58,SABINAS,5,28,5028
59,SACRAMENTO,5,29,5029
60,SAN BUENAVENTURA,5,31,5031
61,SAN JUAN DE SABINAS,5,32,5032
62,SAN PEDRO,5,33,5033
63,SIERRA MOJADA,5,34,5034
64,TORREON,5,35,5035
65,VIESCA,5,36,5036
66,VILLA UNION,5,37,5037
67,ZARAGOZA,5,38,5038
68,PIEDRAS NEGRAS,5,25,5025
69,SALTILLO,5,30,5030
70,MANZANILLO,6,8,6008
71,VILLA DE ALVAREZ,6,5,6005
72,CUAUHTEMOC,6,4,6004
73,MINATITLAN,6,9,6009
74,IXTLAHUACAN,6,7,6007
75,TECOMAN,6,10,6010
76,ARMERIA,6,6,6006
77,COMALA,6,2,6002
78,COQUIMATLAN,6,3,6003
79,COLIMA,6,1,6001
80,ACACOYAGUA,7,1,7001
81,ACAPETAHUA,7,3,7003
82,ALTAMIRANO,7,4,7004
