"emm","yr","inegi","ife","mun","edon","date","status","ncand","ncoal","win","mg","v01","l01","v02","l02","v03","l03","v04","l04","v05","l05","v06","l06","v07","l07","v08","l08","v09","l09","v10","l10","v11","l11","v12","l12","v13","l13","v14","l14","v15","l15","v16","l16","v17","l17","v18","l18","v19","l19","v20","l20","v21","l21","v22","l22","v23","l23","efec","nr","nulos","tot","lisnom","fuente","notas","dextra"
"ags-03.001",1977,"1001","1001","AGUASCALIENTES",1,19770807,"ok",1,0,"pri",1,64466,"pri",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",64466,95,0,64561,148860,"banamex Mau","",0
"ags-03.002",1977,"1002","1002","ASIENTOS",1,19770807,"ok",1,0,"pri",1,6034,"pri",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",6034,0,0,6034,10174,"banamex Mau","",0
"ags-03.003",1977,"1003","1003","CALVILLO",1,19770807,"ok",1,0,"pri",1,8483,"pri",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",8483,0,0,8483,13841,"banamex Mau","",0
"ags-03.004",1977,"1004","1004","COSIO",1,19770807,"ok",1,0,"pri",1,2347,"pri",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",2347,0,0,2347,3874,"banamex Mau","",0
"ags-03.005",1977,"1005","1005","JESUS MARIA",1,19770807,"ok",2,0,"pri",0.8122,3137,"pri",325,"pan",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",3462,1,0,3463,9522,"banamex Mau","",0
"ags-03.006",1977,"1006","1006","PABELLON DE ARTEAGA",1,19770807,"ok",1,0,"pri",1,4399,"pri",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",4399,0,0,4399,9058,"banamex Mau","",0
"ags-03.007",1977,"1007","1007","RINCON DE ROMOS",1,19770807,"ok",1,0,"pri",1,4538,"pri",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",4538,0,0,4538,10878,"banamex Mau","",0
"ags-03.008",1977,"1008","1008","SAN JOSE DE GRACIA",1,19770807,"ok",1,0,"pri",1,1753,"pri",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1753,0,0,1753,2454,"banamex Mau","",0
"ags-03.009",1977,"1009","1009","TEPEZALA",1,19770807,"ok",1,0,"pri",1,3271,"pri",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",3271,0,0,3271,5318,"banamex Mau","",0
"ags-04.001",1980,"1001","1001","AGUASCALIENTES",1,19800803,"ok",7,0,"pri",0.6707,54866,"pri",7984,"pan",3036,"pst",1617,"pdm",1179,"pcm",1115,"pps",106,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",69903,0,0,69903,127967,"banamex Mau","",0
