emm,yr,edon,inegi,ife,mun,date,status,ncand,ncoal,win,v01,l01,v02,l02,v03,l03,v04,l04,v05,l05,v06,l06,v07,l07,v08,l08,efec,nr,nulos,lisnom,fuente,notas,tot,dextra
cua-10.001,1998,8,8001,8001,AHUMADA,19980705,ok,2,0,pri,2666,pri,2027,pan,0,0,0,0,0,0,0,0,0,0,0,0,4693,0,205,7308,iee,,4898,0
cua-10.002,1998,8,8002,8002,ALDAMA,19980705,ok,5,0,pri,4354,pri,2755,pan,685,prd,94,pt,5,cdp,0,0,0,0,0,0,7893,0,178,13181,iee,,8071,0
cua-10.003,1998,8,8003,8003,ALLENDE,19980705,ok,2,0,pri,2243,pri,1480,pan,0,0,0,0,0,0,0,0,0,0,0,0,3723,5,267,6037,iee,,3995,0
cua-10.004,1998,8,8004,8004,AQUILES SERDAN,19980705,ok,3,0,pri,820,pri,602,prd,372,pan,0,0,0,0,0,0,0,0,0,0,1794,0,63,2678,iee,,1857,0
cua-10.005,1998,8,8005,8005,ASCENSION,19980705,ok,4,0,pri,2907,pri,2391,pan,1502,prd,90,pt,0,0,0,0,0,0,0,0,6890,1,186,11745,iee,,7077,0
cua-10.006,1998,8,8006,8006,BACHINIVA,19980705,ok,3,0,pri,1420,pri,1171,pan,376,prd,0,0,0,0,0,0,0,0,0,0,2967,0,99,5002,iee,,3066,0
cua-10.007,1998,8,8007,8007,BALLEZA,19980705,ok,3,0,pri,2862,pri,1039,pan,58,prd,0,0,0,0,0,0,0,0,0,0,3959,0,250,8856,iee,,4209,0
cua-10.008,1998,8,8008,8008,BATOPILAS DE MANUEL GOMEZ MORIN,19980705,ok,3,0,pri,1408,pri,1143,prd,75,pan,0,0,0,0,0,0,0,0,0,0,2626,0,411,4984,iee,,3037,0
cua-10.009,1998,8,8009,8009,BOCOYNA,19980705,ok,6,0,pri,4565,pri,2530,pan,583,pvem,313,prd,96,pt,1,cdp,0,0,0,0,8088,1,566,15061,iee,,8655,0
cua-10.010,1998,8,8010,8010,BUENAVENTURA,19980705,ok,5,0,pri,4578,pri,2560,pan,328,prd,84,pt,1,cdp,0,0,0,0,0,0,7551,8,198,12336,iee,,7757,0
cua-10.011,1998,8,8011,8011,CAMARGO,19980705,ok,6,0,pan,8808,pan,7629,pri,1165,prd,403,pvem,241,pt,1,cdp,0,0,0,0,18247,1,279,29746,iee,,18527,0
cua-10.012,1998,8,8012,8012,CARICHI,19980705,ok,3,0,pri,1800,pri,661,pan,1,prd,0,0,0,0,0,0,0,0,0,0,2462,0,206,4528,iee,,2668,0
cua-10.013,1998,8,8013,8013,CASAS GRANDES,19980705,ok,4,0,prd,1420,prd,1352,pri,972,pan,131,pt,0,0,0,0,0,0,0,0,3875,0,181,6593,iee,,4056,0
cua-10.014,1998,8,8014,8014,CORONADO,19980705,ok,2,0,pan,714,pan,517,pri,0,0,0,0,0,0,0,0,0,0,0,0,1231,0,15,1573,iee,,1246,0
cua-10.015,1998,8,8015,8015,COYAME DEL SOTOL,19980705,ok,2,0,pan,482,pan,479,pri,0,0,0,0,0,0,0,0,0,0,0,0,961,4,16,1494,iee,,981,0
cua-10.016,1998,8,8016,8016,CRUZ--LA,19980705,ok,3,0,pri,884,pri,707,pan,180,pt,0,0,0,0,0,0,0,0,0,0,1771,0,55,2669,iee,,1826,0
cua-10.017,1998,8,8017,8017,CUAUHTEMOC,19980705,ok,5,0,pri,18382,pri,17696,pan,1736,pt,1511,prd,1,cdp,0,0,0,0,0,0,39326,9,812,69312,iee,,40147,0
cua-10.018,1998,8,8018,8018,CUSIHUIRIACHI,19980705,ok,2,0,pri,1228,pri,888,pan,0,0,0,0,0,0,0,0,0,0,0,0,2116,0,78,3512,iee,,2194,0
cua-10.019,1998,8,8019,8019,CHIHUAHUA,19980705,ok,6,0,pri,112765,pri,104923,pan,14191,prd,9151,pvem,1991,pt,1912,cdp,0,0,0,0,244933,33,4044,413352,iee,,249010,0
cua-10.020,1998,8,8020,8020,CHINIPAS,19980705,ok,2,0,pri,1263,pri,837,pan,0,0,0,0,0,0,0,0,0,0,0,0,2100,0,75,3515,iee,,2175,0
cua-10.021,1998,8,8021,8021,DELICIAS,19980705,ok,5,0,pri,19557,pri,14578,pan,2878,prd,1217,pt,892,pvem,0,0,0,0,0,0,39122,6,811,73346,iee,,39939,0
cua-10.022,1998,8,8022,8022,DR. BELISARIO DOMINGUEZ,19980705,ok,2,0,pri,1165,pri,797,pan,0,0,0,0,0,0,0,0,0,0,0,0,1962,0,200,3328,iee,,2162,0
cua-10.023,1998,8,8023,8023,GALEANA,19980705,ok,4,0,pri,884,pri,454,prd,93,pan,66,pt,0,0,0,0,0,0,0,0,1497,0,51,2178,iee,,1548,0
cua-10.024,1998,8,8024,8024,SANTA ISABEL,19980705,ok,2,0,pri,1133,pri,933,pan,0,0,0,0,0,0,0,0,0,0,0,0,2066,0,55,3578,iee,,2121,0
cua-10.025,1998,8,8025,8025,GOMEZ FARIAS,19980705,ok,3,0,pri,1766,pri,1539,pan,588,prd,0,0,0,0,0,0,0,0,0,0,3893,1,137,6576,iee,,4031,0
cua-10.026,1998,8,8026,8026,GRAN MORELOS,19980705,ok,2,0,pri,1230,pri,882,pan,0,0,0,0,0,0,0,0,0,0,0,0,2112,0,73,3438,iee,,2185,0
cua-10.027,1998,8,8027,8027,GUACHOCHI,19980705,ok,5,0,pri,5652,pri,2956,pan,382,prd,142,pvem,1,pt,0,0,0,0,0,0,9133,55,846,18796,iee,,10034,0
cua-10.028,1998,8,8028,8028,GUADALUPE,19980705,ok,4,0,pri,1985,pri,1561,pan,475,prd,118,pt,0,0,0,0,0,0,0,0,4139,0,136,7027,iee,,4275,0
cua-10.029,1998,8,8029,8029,GUADALUPE Y CALVO,19980705,ok,3,0,pri,5146,pri,1939,pan,1373,prd,0,0,0,0,0,0,0,0,0,0,8458,21,564,19269,iee,,9043,0
cua-10.030,1998,8,8030,8030,GUAZAPARES,19980705,ok,3,0,pri,1542,pri,1128,pan,23,prd,0,0,0,0,0,0,0,0,0,0,2693,11,98,4497,iee,,2802,0
cua-10.031,1998,8,8031,8031,GUERRERO,19980705,ok,6,0,pri,8356,pri,3154,pan,2195,prd,4,pvem,3,pt,2,cdp,0,0,0,0,13714,3,415,26004,iee,,14132,0
cua-10.032,1998,8,8032,8032,HIDALGO DEL PARRAL,19980705,ok,6,0,pan,17298,pan,16884,pri,1383,prd,307,pt,11,pvem,3,cdp,0,0,0,0,35886,19,629,62772,iee,,36534,0
cua-10.033,1998,8,8033,8033,HUEJOTITAN,19980705,ok,2,0,pan,381,pan,305,pri,0,0,0,0,0,0,0,0,0,0,0,0,686,0,20,997,iee,,706,0
cua-10.034,1998,8,8034,8034,IGNACIO ZARAGOZA,19980705,ok,3,0,pri,1710,pri,1041,prd,711,pan,0,0,0,0,0,0,0,0,0,0,3462,5,66,5461,iee,,3533,0
cua-10.035,1998,8,8035,8035,JANOS,19980705,ok,2,0,pri,1855,pri,1033,pan,0,0,0,0,0,0,0,0,0,0,0,0,2888,0,56,4806,iee,,2944,0
cua-10.036,1998,8,8036,8036,JIMENEZ,19980705,ok,6,0,pan,7312,pan,6413,pri,649,pt,597,prd,7,cdp,2,pvem,0,0,0,0,14980,13,317,23484,iee,,15310,0
cua-10.037,1998,8,8037,8037,JUAREZ,19980705,ok,6,0,pan,147747,pan,145334,pri,26523,prd,10601,pvem,4853,pt,63,cdp,0,0,0,0,335121,378,8083,650179,iee,,343582,0
cua-10.038,1998,8,8038,8038,JULIMES,19980705,ok,3,0,pri,1167,pri,1034,pan,198,prd,0,0,0,0,0,0,0,0,0,0,2399,0,75,3885,iee,,2474,0
cua-10.039,1998,8,8039,8039,LOPEZ,19980705,ok,6,0,pan,1086,pan,751,pri,102,prd,13,pvem,11,cdp,6,pt,0,0,0,0,1969,2,41,2832,iee,,2012,0
cua-10.040,1998,8,8040,8040,MADERA,19980705,ok,6,0,pan,6259,pan,5343,pri,564,pt,507,prd,2,cdp,2,pvem,0,0,0,0,12677,0,417,21211,iee,,13094,0
cua-10.041,1998,8,8041,8041,MAGUARICHI,19980705,ok,2,0,pri,402,pri,315,pan,0,0,0,0,0,0,0,0,0,0,0,0,717,0,38,1012,iee,,755,0
cua-10.042,1998,8,8042,8042,MANUEL BENAVIDES,19980705,ok,3,0,pri,555,pri,379,prd,169,pan,0,0,0,0,0,0,0,0,0,0,1103,0,21,1801,iee,,1124,0
cua-10.043,1998,8,8043,8043,MATACHI,19980705,ok,4,0,pan,733,pan,679,pri,137,prd,1,pt,0,0,0,0,0,0,0,0,1550,3,42,2551,iee,,1595,0
cua-10.044,1998,8,8044,8044,MATAMOROS,19980705,ok,3,0,pan,830,pan,732,pri,452,prd,0,0,0,0,0,0,0,0,0,0,2014,14,52,3242,iee,,2080,0
cua-10.045,1998,8,8045,8045,MEOQUI,19980705,ok,5,0,pri,5880,pri,5782,pan,1352,pt,896,prd,2,cdp,0,0,0,0,0,0,13912,5,265,25189,iee,,14182,0
cua-10.046,1998,8,8046,8046,MORELOS,19980705,ok,2,0,pan,904,pan,692,pri,0,0,0,0,0,0,0,0,0,0,0,0,1596,0,62,3116,iee,,1658,0
cua-10.047,1998,8,8047,8047,MORIS,19980705,ok,2,0,pri,1005,pri,914,pan,0,0,0,0,0,0,0,0,0,0,0,0,1919,0,66,2762,iee,,1985,0
cua-10.048,1998,8,8048,8048,NAMIQUIPA,19980705,ok,4,0,pri,3326,pri,2802,pan,2352,prd,112,pt,0,0,0,0,0,0,0,0,8592,0,377,16366,iee,,8969,0
cua-10.049,1998,8,8049,8049,NONOAVA,19980705,ok,3,0,pan,694,pan,673,pri,37,prd,0,0,0,0,0,0,0,0,0,0,1404,0,37,1798,iee,,1441,0
cua-10.050,1998,8,8050,8050,NUEVO CASAS GRANDES,19980705,ok,5,0,pri,7677,pri,5806,pan,5201,prd,1421,pt,123,cdp,0,0,0,0,0,0,20228,241,655,35729,iee,,21124,0
cua-10.051,1998,8,8051,8051,OCAMPO,19980705,ok,3,0,pri,1510,pri,746,pan,98,prd,0,0,0,0,0,0,0,0,0,0,2354,0,57,3915,iee,,2411,0
