ord,emm,inegi,ife,mun,demar,status,dy,mo,yr,v01,l01,c01,v02,l02,c02,v03,l03,c03,v04,l04,c04,v05,l05,c05,v06,l06,c06,v07,l07,c07,v08,l08,c08,v09,l09,c09,v10,l10,c10,v11,l11,c11,v12,l12,c12,v13,l13,c13,v14,l14,c14,v15,l15,c15,v16,l16,c16,efec,nr,nul,lisnom,fuente,notas
1,nay-13.001.01,18001,18001,Acaponeta,18001.01,ok,6,jul,2008,87,pan,J. GUADALUPE CHAVEZ PALOMERA,,,,,,,1054,prd-pvem,TERESITA DE JESUS SEPULVEDA CRUZ,188,conve-prs,JOSE ANDEL MALDONADO DELFIN,702,pri-pna,ALBERTO VILLEGAS CASTELLON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,23,43,0,iee,
2,nay-13.001.02,18001,18001,Acaponeta,18001.02,ok,6,jul,2008,62,pan,ROGELIO PEDRO VAZQUEZ VELASCO,,,,,,,808,prd-pvem,FELIPE RODRIGUEZ DIAZ,368,conve-prs,J. ESTEBAN MARTINEZ GALINDO,797,pri-pna,JOSE PERFECTO BELTRAN GARCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2078,46,123,0,iee,
3,nay-13.001.03,18001,18001,Acaponeta,18001.03,ok,6,jul,2008,58,pan,HECTOR MANUEL SALAZAR CHIQUETE,,,,,,,1296,prd-pvem,MAGDALENA BEATRIZ MITRE AYALA,50,conve-prs,JESUS MARIA DEL ROSARIO ESPARZA ALVARADO,863,pri-pna,RODOLFO ARMANDO ALDUENDA ECHEAGARAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2288,21,48,0,iee,
4,nay-13.001.04,18001,18001,Acaponeta,18001.04,ok,6,jul,2008,82,pan,MARIA GUADALUPE MONTAÑO GONZALEZ,,,,,,,895,prd-pvem,ANTONIO CORONADO DE LEON,193,conve-prs,JOSUE ISMAEL RIVERA CORONA,689,pri-pna,EDGAR ROMERO GONZALEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880,21,43,0,iee,
5,nay-13.001.05,18001,18001,Acaponeta,18001.05,ok,6,jul,2008,70,pan,MARIO AHUMADA FONSECA,,,,,,,962,prd-pvem,LIBRADA BENITEZ PINEDA,60,conve-prs,J. GUADALUPE MONTERO DIAZ,1088,pri-pna,J. INOCENTE MEJIA SANCHEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222,42,107,0,iee,
6,nay-13.001.06,18001,18001,Acaponeta,18001.06,ok,6,jul,2008,344,pan,ROSALIA GONZALEZ CERVANTES,,,,,,,708,prd-pvem,JOSE ANGEL ORTIZ RAMIREZ,443,conve-prs,RODOLFO INFANTE MADERA,1178,pri-pna,JOSE DE JESUS HERNANDEZ ROMERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2708,35,76,0,iee,
7,nay-13.001.07,18001,18001,Acaponeta,18001.07,ok,6,jul,2008,81,pan,CATARINO SIFUENTES ALVAREZ,,,,,,,775,prd-pvem,TEODORO SANCHEZ LOPEZ,89,conve-prs,JOSE SANCHEZ PEREZ,975,pri-pna,MIGUEL ERNESTO CANTABRANA PARRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964,44,83,0,iee,
8,nay-13.002.01,18002,18002,Ahuacatlán,18002.01,ok,6,jul,2008,484,pan,JULIO CESAR CAMACHO PRADO,,,,,,,57,prd-pvem,RODRIGO ROMERO MUÑOZ,14,conve-prs,FELIPE ARROYO ARAMBUL,207,pri-pna,JOSE IBAÑEZ QUEZADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764,2,13,0,iee,
9,nay-13.002.02,18002,18002,Ahuacatlán,18002.02,ok,6,jul,2008,1318,pan,VICENTE GONZALEZ GUTIERREZ,,,,,,,112,prd-pvem,MARIA ISABEL CARRILLO ALVAREZ,22,conve-prs,EUSEBIO BARRERA GARCIA,854,pri-pna,FRANCISCO IBARRA VARELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2312,25,67,0,iee,
10,nay-13.002.03,18002,18002,Ahuacatlán,18002.03,ok,6,jul,2008,503,pan,JAVIER PARTIDA GARCIA,,,,,,,94,prd-pvem,SABINO ASCENCIO FLORES,4,conve-prs,NO REGISTRO CANDIDATO,920,pri-pna,JUAN MANUEL ARANDA CARO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1524,4,41,0,iee,
