ord,emm,munn,inegi,ife,mun,demar,status,dy,mo,yr,v01,l01,c01,v02,l02,c02,v03,l03,c03,v04,l04,c04,v05,l05,c05,v06,l06,c06,v07,l07,v07,v08,l08,c08,v09,l09,c09,v10,l10,c10,v11,l11,c11,v12,l12,c12,v13,l13,c13,v14,l14,c14,v15,l15,c15,efec,nr,nul,lisnom,fuente,notas
1,nay-13.001.01,1,18001,18001,Acaponeta,18001.01,ok,6,jul,2008,87,pan,,19,pt,,0,0,,1054,prd-pvem,,188,conve-prs,,702,pri-pna,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2050,4,43,0,iee,
2,nay-13.001.02,1,18001,18001,Acaponeta,18001.02,ok,6,jul,2008,62,pan,,37,pt,,6,asd,,808,prd-pvem,,368,conve-prs,,797,pri-pna,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2078,3,123,0,iee,
3,nay-13.001.03,1,18001,18001,Acaponeta,18001.03,ok,6,jul,2008,58,pan,,18,pt,,3,asd,,1296,prd-pvem,,50,conve-prs,,863,pri-pna,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2288,0,48,0,iee,
4,nay-13.001.04,1,18001,18001,Acaponeta,18001.04,ok,6,jul,2008,82,pan,,20,pt,,1,asd,,895,prd-pvem,,193,conve-prs,,689,pri-pna,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1880,0,43,0,iee,
5,nay-13.001.05,1,18001,18001,Acaponeta,18001.05,ok,6,jul,2008,70,pan,,39,pt,,3,asd,,962,prd-pvem,,60,conve-prs,,1088,pri-pna,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2222,0,107,0,iee,
6,nay-13.001.06,1,18001,18001,Acaponeta,18001.06,ok,6,jul,2008,344,pan,,29,pt,,6,asd,,708,prd-pvem,,443,conve-prs,,1178,pri-pna,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2708,0,76,0,iee,
7,nay-13.001.07,1,18001,18001,Acaponeta,18001.07,ok,6,jul,2008,81,pan,,42,pt,,2,asd,,775,prd-pvem,,89,conve-prs,,975,pri-pna,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1964,0,83,0,iee,
8,nay-13.002.01,2,18002,18002,Ahuacatlán,18002.01,ok,6,jul,2008,484,pan,,2,pt,,0,0,,57,prd-pvem,,14,conve-prs,,207,pri-pna,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,764,0,13,0,iee,
9,nay-13.002.02,2,18002,18002,Ahuacatlán,18002.02,ok,6,jul,2008,1318,pan,,6,pt,,0,0,,112,prd-pvem,,22,conve-prs,,854,pri-pna,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2312,19,67,0,iee,
10,nay-13.002.03,2,18002,18002,Ahuacatlán,18002.03,ok,6,jul,2008,503,pan,,2,pt,,1,asd,,94,prd-pvem,,4,conve-prs,,920,pri-pna,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1524,1,41,0,iee,
