ord,emm,munn,mun,yr,part,demn,dwon,propietario,nota,suplente
1,nay-13.001.pm,1,Acaponeta,2008,pan,pm,0,FELIX PALOMERA LOPEZ,,
2,nay-13.001.sind,1,Acaponeta,2008,pan,sind,0,CARLOS PALOMERA FLORES,,
3,nay-13.001.pm,1,Acaponeta,2008,pt,pm,0,--,,
4,nay-13.001.sind,1,Acaponeta,2008,pt,sind,0,--,,
5,nay-13.001.pm,1,Acaponeta,2008,pasd,pm,0,--,,
6,nay-13.001.sind,1,Acaponeta,2008,pasd,sind,0,--,,
7,nay-13.001.pm,1,Acaponeta,2008,prd-pvem,pm,1,SAULO ALFONSO LORA AGUILAR,,
8,nay-13.001.sind,1,Acaponeta,2008,prd-pvem,sind,1,HECTOR JAVIER BAÑUELOS AHUMADA,,
9,nay-13.001.pm,1,Acaponeta,2008,mc-prs,pm,0,JESUS HELEODORO CASTAÑEDA LOPEZ,,
10,nay-13.001.sind,1,Acaponeta,2008,mc-prs,sind,0,PEDRO ARROYO DIAZ,,
11,nay-13.001.pm,1,Acaponeta,2008,pri-pna,pm,0,BLANCA YESSENIA JIMENEZ CEDANO,,
12,nay-13.001.sind,1,Acaponeta,2008,pri-pna,sind,0,JOSE ANDRES TOLEDO VALDEZ,,
13,nay-13.001.01,1,Acaponeta,2008,pan,1,0,J. GUADALUPE CHAVEZ PALOMERA,,
14,nay-13.001.01,1,Acaponeta,2008,pt,1,0,--,,
15,nay-13.001.01,1,Acaponeta,2008,pasd,1,0,--,,
16,nay-13.001.01,1,Acaponeta,2008,prd-pvem,1,1,TERESITA DE JESUS SEPULVEDA CRUZ,,
17,nay-13.001.01,1,Acaponeta,2008,mc-prs,1,0,JOSE ANDEL MALDONADO DELFIN,,
18,nay-13.001.01,1,Acaponeta,2008,pri-pna,1,0,ALBERTO VILLEGAS CASTELLON,,
19,nay-13.001.02,1,Acaponeta,2008,pan,2,0,ROGELIO PEDRO VAZQUEZ VELASCO,,
20,nay-13.001.02,1,Acaponeta,2008,pt,2,0,--,,
21,nay-13.001.02,1,Acaponeta,2008,pasd,2,0,--,,
22,nay-13.001.02,1,Acaponeta,2008,prd-pvem,2,1,FELIPE RODRIGUEZ DIAZ,,
23,nay-13.001.02,1,Acaponeta,2008,mc-prs,2,0,J. ESTEBAN MARTINEZ GALINDO,,
24,nay-13.001.02,1,Acaponeta,2008,pri-pna,2,0,JOSE PERFECTO BELTRAN GARCIA,,
