ord,emm,edon,munn,yr,mo,dy,mun,win,incumbent,suplente,next.race,nota
1,ags-10.001,1,1,1998,ago,2,Aguascalientes,pan,LUIS ARMANDO REYNOSO FEMAT,,Term-limited,
2,ags-11.001,1,1,2001,ago,5,Aguascalientes,pan,RICARDO MAGDALENO RODRIGUEZ,,Term-limited,
3,ags-12.001,1,1,2004,ago,1,Aguascalientes,pan,MARTIN OROZCO SANDOVAL,,Term-limited,
4,ags-13.001,1,1,2007,ago,5,Aguascalientes,pri,GABRIEL ARELLANO ESPINOSA,,Term-limited,
5,ags-14.001,1,1,2010,jul,4,Aguascalientes,pri-pvem-pna,LORENA MARTINEZ RODRIGUEZ,,Term-limited,
6,ags-15.001,1,1,2013,jul,7,Aguascalientes,pan,JUAN ANTONIO MARTIN DEL CAMPO ,David Angeles Castañeda,Term-limited,
7,ags-16.001,1,1,2016,jun,5,Aguascalientes,pan,MARIA TERESA JIMENEZ ESQUIVEL,,,
8,ags-10.002,1,2,1998,ago,2,Asientos,pan,,,Term-limited,
9,ags-11.002,1,2,2001,ago,5,Asientos,pri,,,Term-limited,
10,ags-12.002,1,2,2004,ago,1,Asientos,pan,,,Term-limited,
11,ags-13.002,1,2,2007,ago,5,Asientos,pri,,,Term-limited,
12,ags-14.002,1,2,2010,jul,4,Asientos,pri-pvem-pna,,,Term-limited,
13,ags-15.002,1,2,2013,jul,7,Asientos,pna,JOSE MANUEL GONZALEZ MOTA,Javier Manriquez Reyes,Term-limited,
14,ags-16.002,1,2,2016,jun,5,Asientos,pri-pt1-panal,LORENZO MARTIN CARRILLO LARA,,,
15,ags-10.003,1,3,1998,ago,2,Calvillo,pan,,,Term-limited,
16,ags-11.003,1,3,2001,ago,5,Calvillo,pri,,,Term-limited,
17,ags-12.003,1,3,2004,ago,1,Calvillo,pan,,,Term-limited,
18,ags-13.003,1,3,2007,ago,5,Calvillo,pan-pna,,,Term-limited,
19,ags-14.003,1,3,2010,jul,4,Calvillo,pri-pvem-pna,,,Term-limited,
20,ags-15.003,1,3,2013,jul,7,Calvillo,pan,FRANCISCO JAVIER LUEVANO NUÑEZ,Erasmo Valdivia Macias,Term-limited,
21,ags-16.003,1,3,2016,jun,5,Calvillo,pan,ADAN VALDIVIA LOPEZ,,,
22,ags-10.004,1,4,1998,ago,2,Cosío,pri,,,Term-limited,
23,ags-11.004,1,4,2001,ago,5,Cosío,pri,,,Term-limited,
24,ags-12.004,1,4,2004,ago,1,Cosío,pan,,,Term-limited,
25,ags-13.004,1,4,2007,ago,5,Cosío,pri,,,Term-limited,
26,ags-14.004,1,4,2010,jul,4,Cosío,pri-pvem-pna,,,Term-limited,
