"ord","emm","edon","disn","yr","mo","dy","edo","cab","circ","ncand","dcoal","win","v01","l01","v02","l02","v03","l03","v04","l04","v05","l05","v06","l06","v07","l07","v08","l08","v09","l09","v10","l10","v11","l11","efec","nr","nul","tot","lisnom","dextra","nota","fuente"
1,"ags-1979.01",1,1,1979,"jul",1,"ags","AGUASCALIENTES",2,6,0,"pri",35812,"pri",8462,"pan",8451,"pst",1545,"parm",1323,"pcm1",1253,"pps",0,"0",0,"0",0,"0",0,"0",0,"0",56846,0,0,0,"122121",0,"","Banamex"
2,"ags-1979.02",1,2,1979,"jul",1,"ags","JESUS MARIA",2,6,0,"pri",30213,"pri",1282,"pst",988,"pan",316,"pps",225,"pcm1",199,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",33223,0,0,0,"89017",0,"","Banamex"
3,"bc-1979.01",2,1,1979,"jul",1,"bc","MEXICALI",4,6,0,"pri",46363,"pri",13491,"pan",3548,"pcm1",1428,"pps",861,"pst",418,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",66109,0,0,0,"130483",0,"","Banamex"
4,"bc-1979.02",2,2,1979,"jul",1,"bc","TIJUANA",4,6,0,"pri",17659,"pri",8840,"pan",3016,"pcm1",2994,"pps",650,"pst",448,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",33607,0,0,0,"67042",0,"","Banamex"
5,"bc-1979.03",2,3,1979,"jul",1,"bc","ENSENADA",4,6,0,"pri",29727,"pri",7590,"pan",2268,"pps",1332,"pcm1",446,"parm",241,"pst",0,"0",0,"0",0,"0",0,"0",0,"0",41604,0,0,0,"96474",0,"","Banamex"
6,"bc-1979.04",2,4,1979,"jul",1,"bc","MEXICALI",4,6,0,"pri",69254,"pri",15300,"pan",3927,"pcm1",2776,"pps",992,"parm",660,"pst",0,"0",0,"0",0,"0",0,"0",0,"0",92909,0,0,0,"119993",0,"","Banamex"
7,"bc-1979.05",2,5,1979,"jul",1,"bc","TIJUANA",4,6,0,"pri",19766,"pri",12405,"pan",5103,"pps",2741,"pcm1",759,"parm",758,"pst",0,"0",0,"0",0,"0",0,"0",0,"0",41532,0,0,0,"76532",0,"","Banamex"
8,"bc-1979.06",2,6,1979,"jul",1,"bc","TIJUANA",4,6,0,"pri",21881,"pri",10239,"pan",3496,"pps",2743,"pcm1",680,"pst",663,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",39702,0,0,0,"73153",0,"","Banamex"
9,"bcs-1979.01",3,1,1979,"jul",1,"bcs","LA PAZ",4,5,0,"pri",18779,"pri",5577,"pan",897,"pcm1",679,"pst",674,"pps",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",26606,0,0,0,"62837",0,"","Banamex"
10,"bcs-1979.02",3,2,1979,"jul",1,"bcs","MULEGE",4,6,0,"pri",9047,"pri",2731,"pst",769,"pcm1",725,"pan",296,"pps",7,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",13575,0,0,0,"35147",0,"","Banamex"
11,"cam-1979.01",4,1,1979,"jul",1,"cam","CARMEN",3,6,0,"pri",32638,"pri",671,"pps",275,"pan",108,"pcm1",71,"pst",4,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",33767,0,0,0,"64451",0,"","Banamex"
12,"cam-1979.02",4,2,1979,"jul",1,"cam","CAMPECHE",3,6,0,"pri",49390,"pri",1064,"pan",1042,"pcm1",477,"pst",284,"pps",5,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",52262,0,0,0,"79444",0,"","Banamex"
13,"coa-1979.01",5,1,1979,"jul",1,"coa","SALTILLO",2,6,0,"pri",17129,"pri",7584,"pan",7172,"pst",789,"parm",513,"pcm1",434,"pps",0,"0",0,"0",0,"0",0,"0",0,"0",33621,0,0,0,"127385",0,"","Banamex"
14,"coa-1979.02",5,2,1979,"jul",1,"coa","TORREON",2,6,0,"pan",11490,"pan",11099,"pri",674,"pst",376,"pcm1",111,"pps",85,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",23835,0,0,0,"124743",0,"","Banamex"
15,"coa-1979.03",5,3,1979,"jul",1,"coa","MONCLOVA",2,6,0,"pri",9026,"pri",7370,"pan",296,"pst",196,"pps",181,"pcm1",26,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",17095,0,0,0,"89662",0,"","Banamex"
16,"coa-1979.04",5,4,1979,"jul",1,"coa","PIEDRAS NEGRAS",2,6,0,"pri",18048,"pri",2623,"pan",2329,"pcm1",957,"pst",292,"pps",213,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",24462,0,0,0,"106367",0,"","Banamex"
17,"coa-1979.05",5,5,1979,"jul",1,"coa","FRONTERA",2,6,0,"pri",27380,"pri",1525,"pan",506,"pst",211,"pps",147,"pcm1",64,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",29833,0,0,0,"60179",0,"","Banamex"
18,"coa-1979.06",5,6,1979,"jul",1,"coa","TORREON",2,6,0,"pri",19584,"pri",11475,"pan",3042,"pst",1065,"pcm1",335,"pps",187,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",35688,0,0,0,"115243",0,"","Banamex"
19,"coa-1979.07",5,7,1979,"jul",1,"coa","SAN PEDRO",2,6,0,"pri",45778,"pri",1606,"pan",621,"pps",281,"pst",228,"pcm1",112,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",48626,0,0,0,"103981",0,"","Banamex"
20,"col-1979.01",6,1,1979,"jul",1,"col","COLIMA",4,5,0,"pri",18047,"pri",2892,"pan",2604,"pst",469,"pcm1",397,"pps",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",24409,0,0,0,"76592",0,"","Banamex"
21,"col-1979.02",6,2,1979,"jul",1,"col","MANZANILLO",4,5,0,"pri",16833,"pri",2068,"pan",650,"pst",486,"pps",158,"pcm1",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",20195,0,0,0,"61277",0,"","Banamex"
22,"cps-1979.01",7,1,1979,"jul",1,"cps","TUXTLA",3,6,0,"pri",43974,"pri",2252,"pan",1728,"pst",592,"pps",242,"pcm1",5,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",48793,0,0,0,"110094",0,"","Banamex"
23,"cps-1979.02",7,2,1979,"jul",1,"cps","SN. C. DE LAS CASAS",3,5,0,"pri",62701,"pri",422,"pst",127,"pcm1",74,"pan",57,"pps",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",63381,0,0,0,"86094",0,"","Banamex"
24,"cps-1979.03",7,3,1979,"jul",1,"cps","C. DE DOMINGUEZ",3,5,0,"pri",47989,"pri",661,"pcm1",341,"pps",260,"pan",191,"pst",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",49442,0,0,0,"100724",0,"","Banamex"
25,"cps-1979.04",7,4,1979,"jul",1,"cps","PICHUCALCO",3,5,0,"pri",46825,"pri",1884,"pan",955,"pps",78,"pst",51,"pcm1",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",49793,0,0,0,"70491",0,"","Banamex"
26,"cps-1979.05",7,5,1979,"jul",1,"cps","TAPACHULA",3,6,0,"pri",18939,"pri",1179,"pps",766,"pan",484,"pst",238,"parm",203,"pcm1",0,"0",0,"0",0,"0",0,"0",0,"0",21809,0,0,0,"98688",0,"","Banamex"
27,"cps-1979.06",7,6,1979,"jul",1,"cps","PALENQUE",3,6,0,"pri",42424,"pri",5294,"pst",1297,"pps",311,"pan",71,"pcm1",14,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",49411,0,0,0,"74348",0,"","Banamex"
28,"cps-1979.07",7,7,1979,"jul",1,"cps","HUIXTLA",3,5,0,"pri",44189,"pri",817,"pps",710,"pan",408,"pst",97,"pcm1",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",46221,0,0,0,"65887",0,"","Banamex"
29,"cps-1979.08",7,8,1979,"jul",1,"cps","TONALA",3,5,0,"pri",60613,"pri",581,"pan",471,"pps",136,"pst",93,"pcm1",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",61894,0,0,0,"80128",0,"","Banamex"
30,"cps-1979.09",7,9,1979,"jul",1,"cps","OCOSINGO",3,5,0,"pri",50690,"pri",1978,"pst",403,"pcm1",377,"pps",198,"pan",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",53646,0,0,0,"76975",0,"","Banamex"
31,"cua-1979.01",8,1,1979,"jul",1,"cua","CHIHUAHUA",2,6,0,"pri",15307,"pri",3250,"pan",2949,"pcm1",1531,"pst",1424,"pps",1362,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",25823,0,0,0,"100051",0,"","Banamex"
32,"cua-1979.02",8,2,1979,"jul",1,"cua","HIDALGO DEL PARRAL",2,6,0,"pri",27756,"pri",4712,"pan",1386,"pcm1",649,"parm",526,"pps",267,"pst",0,"0",0,"0",0,"0",0,"0",0,"0",35296,0,0,0,"106972",0,"","Banamex"
33,"cua-1979.03",8,3,1979,"jul",1,"cua","JUAREZ",2,6,0,"pri",22576,"pri",8968,"pan",1939,"pcm1",1475,"pst",1284,"pps",44,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",36286,0,0,0,"104580",0,"","Banamex"
34,"cua-1979.04",8,4,1979,"jul",1,"cua","JUAREZ",2,6,0,"pri",31961,"pri",10216,"pan",2647,"pcm1",1697,"pps",1295,"pst",1053,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",48869,0,0,0,"86943",0,"","Banamex"
35,"cua-1979.05",8,5,1979,"jul",1,"cua","GUERRERO",2,6,0,"pri",27161,"pri",3615,"pst",695,"pcm1",568,"pan",206,"pps",34,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",32279,0,0,0,"85870",0,"","Banamex"
36,"cua-1979.06",8,6,1979,"jul",1,"cua","CAMARGO",2,6,0,"pri",18092,"pri",3312,"pan",1883,"pst",1839,"pcm1",915,"pps",478,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",26519,0,0,0,"119173",0,"","Banamex"
37,"cua-1979.07",8,7,1979,"jul",1,"cua","CHIHUAHUA",2,6,0,"pri",17844,"pri",3739,"pst",3380,"pan",2732,"pcm1",1494,"pps",321,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",29510,0,0,0,"92772",0,"","Banamex"
38,"cua-1979.08",8,8,1979,"jul",1,"cua","JUAREZ",2,6,0,"pri",29130,"pri",9704,"pan",2501,"pcm1",1463,"pps",1097,"pst",576,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",44471,0,0,0,"77244",0,"","Banamex"
39,"cua-1979.09",8,9,1979,"jul",1,"cua","NUEVO CASAS GRANDES",2,6,0,"pri",19452,"pri",2670,"pan",1025,"pcm1",407,"pps",343,"pst",26,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",23923,0,0,0,"48353",0,"","Banamex"
40,"cua-1979.10",8,10,1979,"jul",1,"cua","CUAUHTEMOC",2,6,0,"pri",20638,"pri",577,"pan",551,"pcm1",493,"pps",190,"pst",33,"parm",0,"0",0,"0",0,"0",0,"0",0,"0",22482,0,0,0,"46443",0,"","Banamex"
