ord.y,ord.dis,emm,yr,nom,patmat,dmujer,id,part.orig,part.elec,runnerup,part.2nd,mg,edon,race.after,dcarta,drenuncia_apoyo,dreran,dreelected,note
1,1,ags-1997.01p,1997,OSCAR,GONZALEZ RODRIGUEZ,0,ags01p,pri,,,,,1,Term-limited-,,,,,
2,10,ags-1997.02p,1997,BENJAMIN,GALLEGOS SOTO,0,ags02p,pan,,,,,1,Term-limited-,,,,,
3,19,ags-1997.03p,1997,FERNANDO,GOMEZ ESPARZA,0,ags03p,pri,,,,,1,Term-limited-,,,,,
4,28,bc-1997.01p,1997,ROBERTO,PEREZ DE ALBA BLANCO,0,bc01p,pri,,,,,2,Term-limited-,,,,,
5,37,bc-1997.02p,1997,JOSE RICARDO,FERNANDEZ CANDIA,0,bc02p,pan,,,,,2,Term-limited-,,,,,
6,47,bc-1997.03p,1997,FRANCISCO,VERA GONZALEZ,0,bc03p,pan,,,,,2,Term-limited-,,,,,
7,56,bc-1997.04p,1997,JORGE TOMAS,ESPARZA CARLO,0,bc04p,pan,,,,,2,Term-limited-,,,,,
8,65,bc-1997.05p,1997,FRANCISCO JAVIER,REYNOSO NUÑO,0,bc05p,pan,,,,,2,Term-limited-,,,,,
9,73,bc-1997.06p,1997,JOSE DE JESUS,GONZALEZ REYES,0,bc06p,pan,,,,,2,Term-limited-,,,,,
10,96,bcs-1997.01p,1997,JOSE CARLOS,COTA OSUNA,0,bcs01p,pri,,,,,3,Term-limited-,,,,,
11,105,bcs-1997.02p,1997,ANTONIO BENJAMIN,MANRIQUEZ GULUARTE,0,bcs02p,pri,,,,,3,Term-limited-,,,,,
12,114,cam-1997.01p,1997,RAMON FELIX,SANTINI PECH,0,cam01p,pri,,,,,4,Term-limited-,,,,,
13,123,cam-1997.02p,1997,ARACELY,ESCALANTE JASSO,1,cam02p,pri,,,,,4,Term-limited-,,,,,
14,132,coa-1997.01p,1997,FRANCISCO MANUEL,GARCIA CASTELLS Y PEREZ,0,coa01p,pri,,,,,4,Term-limited-,,,,,
