ord,edo,disn,cab,yr,part.elec,part.origen,npart,propietario,suplente,drp,dmuj,nota,fuente
1,ags,1,JESUS MARIA,2006,pan,,1,ARMENDARIZ GARCIA PEDRO,LUCIO OCHOA PATRICIA,0,1,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
2,ags,1,JESUS MARIA,2006,pri-pvem,,2,PADILLA MARQUEZ ROBERTO,IBARRA RODRIGUEZ ALICIA,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
3,ags,1,JESUS MARIA,2006,prd-pt-conve,,3,ROBLEDO CUELLAR RICARDO,MARTINEZ DELGADO FRANCISCO,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
4,ags,1,JESUS MARIA,2006,pna,,7,GARCIA LUNA HECTOR RAUL,SANTOS HERNANDEZ JUANA SILVIA,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
5,ags,1,JESUS MARIA,2006,asd,,11,NERI ALVARADO JUAN ANTONIO,AGUILAR RODRIGUEZ JOSE ANGEL,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
6,ags,2,AGUASCALIENTES,2006,pan,,1,RUIZ VELASCO DE LIRA ERNESTO,BECERRIL ALBA JIMENA,0,1,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
7,ags,2,AGUASCALIENTES,2006,pri-pvem,,2,ARELLANO ESPINOZA GABRIEL,HERNANDEZ VALLIN DAVID,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
8,ags,2,AGUASCALIENTES,2006,prd-pt-conve,,3,ELIZONDO RUIZ JAIME MAURILIO,MARIN HERNANDEZ MARIA DE LA LUZ,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
9,ags,2,AGUASCALIENTES,2006,pna,,7,GUERRA BELMARES JUANA,OCHOA AREVALO JUAN ARMANDO,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
10,ags,2,AGUASCALIENTES,2006,asd,,11,VARGAS MEDRANO IRMA ALICIA,DIAZ DIAZ MARCO AURELIO,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
11,ags,3,AGUASCALIENTES,2006,pan,,1,MEDINA MACIAS ALMA HILDA,HUERTA ENRIQUEZ JUAN MANUEL,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
12,ags,3,AGUASCALIENTES,2006,pri-pvem,,2,ALANIZ DE LEON GILBERTO,MACIAS MARTINEZ KENDOR GREGORIO,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
13,ags,3,AGUASCALIENTES,2006,prd-pt-conve,,3,RAMIREZ DE LARA PATRICIA DEL CARMEN,BERTHAUD REYES ERIC,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
14,ags,3,AGUASCALIENTES,2006,pna,,7,PONCE LOZA MA. OFELIA,GONZALEZ GUERRA MARIA DEL CARMEN,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
15,ags,3,AGUASCALIENTES,2006,asd,,11,ESCUDERO LORES JOSE LUIS,ACOSTA LUEVANO SORAYA ELIZABETH,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
16,bc,1,MEXICALI,2006,pan,,1,RUEDA GOMEZ FRANCISCO,CONTRERAS COBARRUVIAS ADELAIDA,0,1,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
17,bc,1,MEXICALI,2006,pri-pvem,,2,ACOSTA FREGOSO ENRIQUE,SANCHEZ BAUTISTA ALEJANDRO,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
18,bc,1,MEXICALI,2006,prd-pt-conve,,3,LOPEZ SOTELO ANA ELIZABETH,VIZCARRA CALDERON MARCO ANTONIO,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
19,bc,1,MEXICALI,2006,pna,,7,ANGULO RENTERIA CARLOS ALONSO,MENDOZA ARREDONDO DANIELA,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
20,bc,1,MEXICALI,2006,asd,,11,RODARTE ESPINOZA GILBERTO,MONTIEL CORRAL JESUS RICARDO,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
21,bc,2,MEXICALI,2006,pan,,1,MANUELL GOMEZ ANGULO DOLORES DE MARIA,ARJONA BENITEZ JESUS ARMANDO,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
22,bc,2,MEXICALI,2006,pri-pvem,,2,RUBIO DIAZ MILTON ADAN,NAVARRO MELENDEZ MARIA BERTHA,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
23,bc,2,MEXICALI,2006,prd-pt-conve,,3,LORETO MADA GUADALUPE,GONZALEZ ROBLES JHONATAN,0,,,https://portalanterior.ine.mx/documentos/DEOE/MemoriasProcesos/memorias2006/03/00/cap07.pdf
