yr,coal1,coal2,coal3,v01,l01,v02,l02,v03,l03,v04,l04,v05,l05,v06,l06,v07,l07,v08,l08,v09,l09,v10,l10,v11,l11,v12,l12,efec,lisnom,fuente
1964,.,.,.,1042058,pan,7807903,pri,,,,,,,,,,,,,66175,parm,,,123867,pps,,,9040003,13501744,dfed1964-on
1967,.,.,.,1224032,pan,8279484,pri,,,,,,,,,,,,,140676,parm,,,274859,pps,,,9919051,15817765,dfed1964-on
1970,.,.,.,1892995,pan,11119558,pri,,,,,,,,,,,,,111993,parm,,,206136,pps,,,13330682,21750771,dfed1964-on
1973,.,.,.,2207023,pan,10458613,pri,,,,,,,,,,,,,269997,parm,,,541433,pps,,,13477066,24125779,dfed1964-on
1976,.,.,.,1354200,pan,12877022,pri,,,,,,,,,,,,,403519,parm,,,479164,pps,,,15041246,25527521,dfed1964-on
1979,.,.,.,1486554,pan,9570705,pri,683776,pcm,,,,,,,566402,pst,,,248231,parm,,,355850,pps,,,12911518,27936857,dfdf1979-on
1982,.,.,.,3696428,pan,14609239,pri,928502,psum,,,,,,,376879,pst,40734,psd,287563,parm,482335,pdm,395084,pps,270177,prt,21086941,32052648,dfdf1979-on
1985,.,.,.,2787218,pan,11588230,pri,575121,psum,,,,,,,440750,pst,276712,pmt,295434,parm,489025,pdm,349680,pps,225636,prt,17027806,35161982,dfdf1979-on
1988,.,.,.,3244707,pan,9227008,pri,802837,pms,,,,,,,1687876,pfcrn,,,1099486,parm,235668,pdm,1662577,pps,112880,prt,18073039,38053012,dfdf1979-on
1991,.,.,.,4070639,pan,14117365,pri,1895111,prd,,,329742,pvem,265486,pt,1002375,pfcrn,,,492912,parm,248876,pdm,412493,pps,136161,prt,22971160,37093414,dfdf1979-on
1994,.,.,.,8832477,pan,17238675,pri,5738354,prd,,,478767,pvem,910257,pt,388024,pfcrn,,,290295,parm,151314,uno-pdm,235809,pps,,,34263972,45754889,dfdf1979-on
1997,.,.,.,7775312,pan,11427097,pri,7514615,prd,,,1114695,pvem,754949,pt,328511,cd,194020,uno,,,,,99197,pps,,,29208396,53382540,dfdf1979-on
2000,pan-pvem,prd-pt-cd-psn-pas,.,14227145,pan-pvem,13734140,pri,6953732,prd-pt-cd-pasd-psn,,,,,,,,,428927,pcd,272635,parm,699152,pds,,,,,36315731,58695469,dfdf1979-on
2003,parcial pri-pvem,.,.,7820105,pan,10325489,pri-pvem,4510673,prd,,,,,613709,pt,579563,cd,69445,psn,103512,plm,179675,pasd,230923,mexpos,119249,fc,24552343,61279125,dfdf1979-on
2006,pri-pvem,prd-pt-cd,.,13753633,pan,11619679,pri-pvem,11941842,prd-pt-cd,,,,,,,,,,,1872283,pna,845749,pasd,,,,,40033186,73359142,dfdf1979-on
2009,pri-pvem,pt-cd,.,9679435,pan,15084076,pri-pvem,4217985,prd,,,,,2115849,pt-cd,,,,,1181850,pna,357003,psd,,,,,32636198,77470785,dfdf1979-on
2012,pri-pvem,prd-pt-mc,.,12895902,pan,18953618,pri-pvem,13426701,prd-pt-mc,,,,,,,,,,,2033159,pna,,,,,,,47309381,79357686,dfdf1979-on
2015,parcial pri-pvem,parcial prd-pt,.,8382435,pan,14395270,pri-pvem,5474631,prd-pt,3344468,morena,,,,,2431018,mc,1323966,pes,1474125,pna,855218,ph,225500,independientes,,,37918126,83536377,dfdf1979-on
2018,pan-prd-mc,parcial pri-pvem-pna,parcial morena-pt-pes,15538748,pan-prd-mc,13386257,pri-pvem-pna,,,24530676,morena-pt-pes,,,,,,,,,,,,,539347,independientes,,,53995027,89069718,dfdf1979-on
2021,parcial pan-pri-prd,parcial morena-pvem-pt,.,19477405,pan-pri-prd,,,,,21025083,morena-pvem-pt,,,,,3449941,mc,1352516,pes,868496,rsp,1217018,fxm,44311,independientes,,,47434771,93328771,dfdf1979-on
2024,parcial pan-pri-prd,parcial morena-pvem-pt,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
