"emm","yr","inegi","ife","mun","v01","l01","v02","l02","v03","l03","v04","l04","v05","l05","v06","l06","v07","l07","v08","l08","v09","l09","v10","l10","v11","l11","v12","l12","v13","l13","v14","l14","v15","l15","v16","l16","v17","l17","v18","l18","v19","l19","v20","l20","v21","l21","v22","l22","v23","l23","v24","l24","v25","l25","lisnom","X","efec","ncoal","ncand"
"ags-18.001",2021,"1001","1001","AGUASCALIENTES",172415.85,"pan",20162,"pri",4536.15,"prd",4859,"pvem",3523.87,"pt",13612,"mc",74608.37,"morena",6254,"pla",2432.76,"pna",3149,"pes",1322,"rsp",7805,"fxm",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",682631,"",314680,2,9
"ags-18.002",2021,"1002","1002","ASIENTOS",7371.44,"pan",641,"pri",467.56,"prd",252,"pvem",514,"pt",335,"mc",12586,"morena",79,"pla",336,"pna",183,"pes",357,"rsp",273,"fxm",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",36221,"",23395,1,11
"ags-18.003",2021,"1003","1003","CALVILLO",10273.72,"pan",1444,"pri",294.28,"prd",626,"pvem",297,"pt",620,"mc",4256,"morena",3284,"pla",648,"pna",179,"pes",130,"rsp",2014,"fxm",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",48366,"",24066,1,11
"ags-18.004",2021,"1004","1004","COSIO",2232.42,"pan",2293,"pri",96.58,"prd",3187,"pvem",747,"pt",337,"mc",151,"morena",10,"pla",131,"pna",18,"pes",4,"rsp",5,"fxm",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",12212,"",9212,1,11
"ags-18.005",2021,"1005","1005","JESUS MARIA",22349.57,"pan",3786,"pri",396.43,"prd",850,"pvem",809.33,"pt",470,"mc",11747.9,"morena",376,"pla",452.78,"pna",1418,"pes",286,"rsp",1117,"fxm",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",88247,"",44059,2,9
"ags-18.006",2021,"1006","1006","PABELLON DE ARTEAGA",829.37,"pan",7023,"pri",4888.63,"prd",454,"pvem",1798.63,"pt",115,"mc",1933.47,"morena",44,"pla",138.9,"pna",282,"pes",318,"rsp",100,"fxm",100,"indep",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",32690,"",18025,2,10
"ags-18.007",2021,"1007","1007","RINCON DE ROMOS",3820.7,"pan",1522,"pri",219.3,"prd",1716,"pvem",720.39,"pt",3735,"mc",2613.21,"morena",256,"pla",2426.4,"pna",167,"pes",148,"rsp",441,"fxm",2686,"indep",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",39531,"",20471,2,10
"ags-18.008",2021,"1008","1008","SAN JOSE DE GRACIA",1149.72,"pan",649,"pri",107.28,"prd",44,"pvem",40,"pt",31,"mc",768,"morena",0,"0",13,"pna",0,"0",109,"rsp",1412,"fxm",1014,"indep",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",7309,"",5337,1,10
"ags-18.009",2021,"1009","1009","TEPEZALA",4282.91,"pan",130,"pri",343.09,"prd",4719,"pvem",132,"pt",148,"mc",1363,"morena",48,"pla",208,"pna",18,"pes",63,"rsp",35,"fxm",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",16373,"",11490,1,11
"ags-18.010",2021,"1010","1011","LLANO--EL",2135.25,"pan",175,"pri",542.75,"prd",48,"pvem",3298.45,"pt",58,"mc",479.51,"morena",15,"pla",138.04,"pna",49,"pes",135,"rsp",3714,"fxm",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",15962,"",10788,2,9
"ags-18.011",2021,"1011","1010","SAN FRANCISCO DE LOS ROMO",5878.24,"pan",7356,"pri",123.76,"prd",268,"pvem",155.27,"pt",162,"mc",3095.17,"morena",324,"pla",792.57,"pna",159,"pes",99,"rsp",89,"fxm",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",37865,"",18502,2,9
"ags-19.001",2024,"1001","1001","AGUASCALIENTES",227148.64,"pan",19849.33,"pri",8359.04,"prd",9669,"pvem",6293,"pt",32245,"mc",113040,"morena",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",732545,"",416604,1,5
"ags-19.002",2024,"1002","1002","ASIENTOS",11237.81,"pan",1005.33,"pri",2522.86,"prd",0,"0",542,"pt",761,"mc",8116,"morena",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",38773,"",24185,1,4
"ags-19.003",2024,"1003","1003","CALVILLO",14264.2,"pan",921.07,"pri",504.74,"prd",957,"pvem",596,"pt",693,"mc",7663,"morena",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",50745,"",25599,1,5
"ags-19.004",2024,"1004","1004","COSIO",1824.14,"pan",1284.54,"pri",140.32,"prd",0,"0",42,"pt",1898,"mc",503,"morena",3321,"indep",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",12824,"",9013,1,5
"ags-19.005",2024,"1005","1005","JESUS MARIA",32250.07,"pan",3666.03,"pri",1183.9,"prd",1651,"pvem",758,"pt",3825,"mc",12230,"morena",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",98708,"",55564,1,5
"ags-19.006",2024,"1006","1006","PABELLON DE ARTEAGA",5343.64,"pan",1604.24,"pri",1170.12,"prd",4754,"pvem",559,"pt",2921,"mc",4768,"morena",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",34527,"",21120,1,5
"ags-19.007",2024,"1007","1007","RINCON DE ROMOS",7883.9,"pan",793.39,"pri",447.71,"prd",444,"pvem",429,"pt",1029,"mc",9830,"morena",2386,"indep",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",41564,"",23243,1,6
"ags-19.008",2024,"1008","1008","SAN JOSE DE GRACIA",2373.66,"pan",147.97,"pri",317.37,"prd",31,"pvem",89,"pt",2180,"mc",437,"morena",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",7778,"",5576,1,5
"ags-19.009",2024,"1009","1009","TEPEZALA",1307.37,"pan",7677.5,"pri",228.13,"prd",199,"pvem",163,"pt",360,"mc",1830,"morena",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",17460,"",11765,1,5
"ags-19.010",2024,"1010","1011","LLANO--EL",2496.79,"pan",290.76,"pri",162.45,"prd",120,"pvem",3539,"pt",109,"mc",4380,"morena",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",17010,"",11098,1,5
"ags-19.011",2024,"1011","1010","SAN FRANCISCO DE LOS ROMO",3435.22,"pan",8822.03,"pri",285.75,"prd",488,"pvem",377,"pt",1150,"mc",10767,"morena",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",45230,"",25325,1,5
"bc-18.001",2021,"2001","2001","ENSENADA",15320.59,"pan",8180.32,"pri",2319.09,"prd",9011.11,"pt",3584.05,"pvem",1820,"pbc",4806,"mc",66843.84,"morena",14467,"pes",4386,"rsp",14853,"fxm",8694,"rogelio_castro_segovia",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",414808,"",154285,2,8
"bc-18.002",2021,"2002","2002","MEXICALI",68415.78,"pan",15555.18,"pri",3257.04,"prd",3628,"pt",4714,"pvem",7678,"pbc",19186,"mc",130105,"morena",34877,"pes",3153,"rsp",3244,"fxm",12299,"marco_antonio_vizcarra_calderon",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",818537,"",306112,1,10
"bc-18.003",2021,"2003","2003","TECATE",2251.39,"pan",3156.55,"pri",354.06,"prd",508,"pt",1590,"pvem",331,"pbc",943,"mc",9370,"morena",7655,"pes",709,"rsp",1997,"fxm",2368,"cesar_ivan_sanchez_alvarez",0,"0",2996,"celso_arturo_figueroa_mendel",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",88071,"",34229,1,11
