"ord","emm","mun","yr","dextra","edon","ife","inegi","part","dmujer","incumbent","race.after","runnerup","part2nd","mg","ddied","drepe","drepg","dlegacy","who","prior.inc.part","inc.part.after","notes","source"
7619,"mex-07.001","ACAMBAY",1990,0,15,"15001","15001","pri","0","SALVADOR NAVARRETE CRUZ","Term-limited-p-won","","prd",0.5951142632,0,0,0,NA,"",NA,"incumbent out","","inafed"
7620,"mex-08.001","ACAMBAY",1993,0,15,"15001","15001","pri","0","HUMBERTO POLO MARTINEZ","Term-limited-p-won","","pan",0.7645888594,0,0,0,NA,"","incumbent out","incumbent out","","inafed"
7621,"mex-09.001","ACAMBAY",1996,0,15,"15001","15001","pri","0","JOSE ELIAS SANCHEZ MARTINEZ","Term-limited-p-won","","pan",0.1390809272,0,0,0,NA,"","incumbent out","incumbent out","","inafed"
7622,"mex-10.001","ACAMBAY",2000,0,15,"15001","15001","pri","0","JESUS SERGIO ALCANTARA NUÑEZ","Term-limited-p-won","","pan",0.1456683319,0,0,0,NA,"","incumbent out","incumbent out","",""
7623,"mex-11.001","ACAMBAY",2003,0,15,"15001","15001","pri-pvem","0","FERNANDO VALENTIN VALENCIA","Term-limited-p-won","","pan",0.1018270547,0,0,0,NA,"","incumbent out","incumbent out","",""
7624,"mex-12.001","ACAMBAY",2006,0,15,"15001","15001","pri-pvem","0","ARIEL PEÑA COLIN","Term-limited-p-won","","pan-prd-pt-conve",0.0085873766,0,0,0,NA,"","incumbent out","incumbent out","",""
7625,"mex-13.001","ACAMBAY",2009,0,15,"15001","15001","pri-pvem-pna-psd-pfd","0","SALVADOR NAVARRETE CRUZ","Term-limited-p-won","","pan",0.1630131697,0,1,1,NA,"","incumbent out","incumbent out","",""
7626,"mex-14.001","ACAMBAY",2012,0,15,"15001","15001","pri-pvem-pna","0","IRINEO RUIZ GONZALEZ","Term-limited-p-won","","pan",0.2924874541,0,0,0,NA,"","incumbent out","incumbent out","",""
7627,"mex-15.001","ACAMBAY",2015,0,15,"15001","15001","pri","1","MARIA DEL CARMEN MAGDALENA PEÑA MERCADO","Out-p-lost","","pan",0.0829670095,0,0,0,NA,"","incumbent out","incumbent out","",""
7628,"mex-16.001","ACAMBAY",2018,0,15,"15001","15001","pt-morena-pes","1","ESPERANZA DOLORES GONZALEZ MARTINEZ","Reran-beaten","","pri",0.0091718551,0,0,0,NA,"","incumbent out","pt-morena-pna","",""
7629,"mex-17.001","ACAMBAY",2021,0,15,"15001","15001","pri","1","MARIBEL ALCANTARA NUÑEZ","2024","JORGE PLATA FLORES","pan",0.0369414101,0,NA,NA,NA,"","pt-morena-pna","2024","",""
7630,"mex-07.002","ACOLMAN",1990,0,15,"15002","15002","pri","0","OSCAR SANCHEZ JOAN","Term-limited-p-won","","prd",0.241781158,0,0,0,NA,"",NA,"incumbent out","","inafed"
7631,"mex-08.002","ACOLMAN",1993,0,15,"15002","15002","pri","0","JOSE RUBEN MARTINEZ FLORES","Term-limited-p-lost","","prd",0.3146548595,0,0,0,NA,"","incumbent out","incumbent out","","inafed"
7632,"mex-09.002","ACOLMAN",1996,0,15,"15002","15002","prd","0","JOSE ANTONIO SAAVEDRA CORONEL","Term-limited-p-won","","pri",0.3135608469,0,0,0,NA,"","incumbent out","incumbent out","","inafed"
7633,"mex-10.002","ACOLMAN",2000,0,15,"15002","15002","prd","0","RIGOBERTO CORTES MELGOZA","Term-limited-p-won","","pri",0.1819349492,0,0,0,NA,"","incumbent out","incumbent out","",""
7634,"mex-11.002","ACOLMAN",2003,0,15,"15002","15002","prd","0","JOSE ANTONIO SAAVEDRA CORONEL","Term-limited-p-lost","","pri-pvem",0.2070569366,0,1,1,NA,"","incumbent out","incumbent out","",""
7635,"mex-12.002","ACOLMAN",2006,0,15,"15002","15002","pri-pvem","0","DARIO ZACARIAS CAPUCHINO","Term-limited-p-won","","prd",0.0686582809,0,0,0,NA,"","incumbent out","incumbent out","",""
7636,"mex-13.002","ACOLMAN",2009,0,15,"15002","15002","pri-pvem-pna-psd-pfd","0","ROBERTO SANCHEZ CAMPOS","Term-limited-p-won","","prd",0.2521254312,0,0,0,NA,"","incumbent out","incumbent out","",""
7637,"mex-14.002","ACOLMAN",2012,0,15,"15002","15002","pri-pvem-pna","0","VICENTE ANAYA AGUILAR","Term-limited-p-won","","prd-pt",0.142560587,0,0,0,NA,"","incumbent out","incumbent out","",""
7638,"mex-15.002","ACOLMAN",2015,0,15,"15002","15002","pri-pvem-pna","0","DARIO ZACARIAS CAPUCHINO","Out-p-lost","","prd",0.3582937908,0,1,1,NA,"","incumbent out","incumbent out","",""
7639,"mex-16.002","ACOLMAN",2018,0,15,"15002","15002","pt-morena-pes","0","RIGOBERTO CORTES MELGOZA","Reelected","","pri",0.1720630059,0,1,1,NA,"","incumbent out","pt-morena-pna","",""
7640,"mex-17.002","ACOLMAN",2021,0,15,"15002","15002","pt-morena-pna","0","RIGOBERTO CORTES MELGOZA","Term-limited-2024","","pri",0.0902742841,0,NA,NA,NA,"","pt-morena-pna","incumbent out","",""
7641,"mex-07.003","ACULCO",1990,0,15,"15003","15003","pri","0","HERMENEGILDO MENDOZA CUEVAS","Term-limited-p-lost","","pan",0.5610002526,0,0,0,NA,"",NA,"incumbent out","","inafed"
7642,"mex-08.003","ACULCO",1993,0,15,"15003","15003","pan","0","JOSE GUADALUPE TOVAR LUGO","Term-limited-p-lost","","pri",0.072831752,0,0,0,NA,"","incumbent out","incumbent out","","inafed"
7643,"mex-09.003","ACULCO",1996,0,15,"15003","15003","pri","0","JESUS PADILLA SANCHEZ","Term-limited-p-won","","pan",0.2322430811,0,0,0,NA,"","incumbent out","incumbent out","","inafed"
7644,"mex-10.003","ACULCO",2000,0,15,"15003","15003","pri","0","VICENTE SOSA ALCANTARA","Term-limited-p-won","","pan",0.2809697522,0,0,0,NA,"","incumbent out","incumbent out","",""
