"ord","emm","mun","yr","dextra","edon","ife","inegi","part","dmujer","incumbent","race.after","runnerup","part2nd","mg","ddied","drepe","drepg","dlegacy","who","prior.inc.part","inc.part.after","notes","source"
15639,"que-08.001","AMEALCO DE BONFIL",1991,0,22,"22001","22001","pri","0","HECTOR RODRIGUEZ MONTOYA","Term-limited-p-won","","pan",0.6736892127,0,0,0,NA,"",NA,"incumbent out","",""
15640,"que-09.001","AMEALCO DE BONFIL",1994,0,22,"22001","22001","pri","1","MANUEL GONZALEZ SANCHEZ","Term-limited-p-lost","","pan",0.3593524503,0,0,0,NA,"","incumbent out","incumbent out","",""
15641,"que-10.001","AMEALCO DE BONFIL",1997,0,22,"22001","22001","pan","0","JAVIER RODRIGUEZ FERRUSCA","Term-limited-p-lost","","pri",0.0002726839,0,0,0,NA,"","incumbent out","incumbent out","",""
15642,"que-11.001","AMEALCO DE BONFIL",2000,0,22,"22001","22001","pri","0","FELIPE VALDEZ LICEA","Term-limited-p-won","","pan",0.06478021,0,0,0,NA,"","incumbent out","incumbent out","",""
15643,"que-12.001","AMEALCO DE BONFIL",2003,0,22,"22001","22001","pri-pvem","0","LUIS FRANCO MEJIA","Term-limited-p-won","","pan",0.0832557273,0,0,0,NA,"","incumbent out","incumbent out","",""
15644,"que-13.001","AMEALCO DE BONFIL",2006,0,22,"22001","22001","pri-pvem","0","JAVIER CAJIGA RODRIGUEZ","Term-limited-p-lost","","prd",0.0097820308,0,0,0,NA,"","incumbent out","incumbent out","",""
15645,"que-14.001","AMEALCO DE BONFIL",2009,0,22,"22001","22001","pan","0","ROSENDO ANAYA AGUILAR","Term-limited-p-won","","pri-pvem",0.0704438600685314,0,0,0,NA,"","incumbent out","incumbent out","",""
15646,"que-15.001","AMEALCO DE BONFIL",2012,0,22,"22001","22001","pan","0","GILBERTO GARCIA VALDEZ","Term-limited-p-won","","pri-pvem",0.0704438601,0,0,0,NA,"","incumbent out","incumbent out","",""
15647,"que-16.001","AMEALCO DE BONFIL",2015,0,22,"22001","22001","pan","0","ROSENDO ANAYA AGUILAR","Reelected","","pri-pt",0.06504036,0,1,1,NA,"","incumbent out","pan","",""
15648,"que-17.001","AMEALCO DE BONFIL",2018,0,22,"22001","22001","pan","0","ROSENDO ANAYA AGUILAR","Term-limited-p-lost","GUSTAVO EFRAIN MENDOZA NAVARRETE","pri-pvem",0.129261555,0,1,1,NA,"","pan","incumbent out","",""
