yr,disn,pan,pri,left,efec,lisnom,d.pan,d.pri,d.left,vhat.pan,vhat.pri,vhat.left,bhat.pan,bhat.left,dbackward,alphahat.pan,alphahat.pri,alphahat.left,betahat.pan,betahat.left
1991,101,0.247,0.616,0.031,135267,191583,-0.131,0.17,-0.126,0.39,0.446,0.081,0.045,0.072,1,0.171,0.667,0.08,1.996,1.49
1991,102,0.105,0.776,0.017,71950,121769,-0.016,0.144,-0.179,0.233,0.656,0.063,0.091,0.094,1,0.1,0.776,0.058,2.301,1.647
1991,201,0.429,0.483,0.022,76826,100223,0.135,0.053,-0.241,0.347,0.564,0.053,0.069,0.103,1,0.307,0.607,0.05,1.151,1.946
1991,202,0.482,0.45,0.026,55377,75373,0.225,0.08,-0.326,0.402,0.502,0.052,0.036,0.093,1,0.348,0.57,0.047,0.772,1.993
1991,203,0.428,0.461,0.045,105090,142576,0.154,0.044,-0.253,0.347,0.51,0.088,0.056,0.098,1,0.311,0.562,0.093,0.797,1.621
1991,204,0.38,0.527,0.024,145016,188577,0.151,0.09,-0.298,0.336,0.551,0.076,0.054,0.073,1,0.298,0.612,0.054,1.135,2.052
1991,205,0.524,0.421,0.014,59012,78047,0.236,0.007,-0.263,0.414,0.483,0.056,0.051,0.08,1,0.364,0.548,0.05,0.926,1.821
1991,206,0.522,0.411,0.029,127419,177074,0.287,0.044,-0.322,0.397,0.487,0.068,0.049,0.094,1,0.355,0.55,0.057,0.852,2.109
1991,301,0.23,0.66,0.018,58424,91929,0.017,0.11,-0.203,0.183,0.704,0.035,0.086,0.281,1,0.111,0.709,0.114,2.173,1.888
1991,302,0.279,0.686,0.008,31761,52183,0.136,0.057,-0.212,0.345,0.596,0.039,0.044,0.257,1,0.176,0.692,0.095,1.881,1.94
1991,401,0.016,0.853,0.056,61185,100308,-0.028,0.168,-0.209,0.042,0.639,0.281,0.198,0.022,1,0.052,0.785,0.125,2.172,1.242
1991,402,0.049,0.743,0.033,83853,120627,-0.105,-0.009,-0.057,0.132,0.542,0.239,0.097,-0.007,1,0.163,0.679,0.108,0.792,1.084
1991,501,0.352,0.546,0.021,112534,181246,0.16,-0.044,-0.026,0.271,0.572,0.047,0.054,0.06,1,0.318,0.603,0.038,0.133,1.282
1991,502,0.239,0.625,0.052,60197,101572,-0.035,0.194,-0.236,0.355,0.481,0.08,0.046,0.047,1,0.251,0.644,0.068,0.951,1.041
1991,503,0.304,0.65,0.013,46895,104236,-0.046,0.069,-0.056,0.396,0.514,0.066,0.021,0.031,1,0.272,0.655,0.041,0.764,1.445
1991,504,0.129,0.755,0.063,56632,104042,0.014,-0.039,-0.021,0.242,0.613,0.091,0.056,0.057,1,0.155,0.731,0.074,1.196,1.179
1991,505,0.142,0.774,0.009,17400,91474,0.04,0.014,-0.127,0.185,0.653,0.084,0.077,0.051,1,0.138,0.778,0.045,1.163,1.39
1991,506,0.137,0.587,0.176,105354,185475,0.024,0.168,-0.286,0.255,0.49,0.15,0.047,0.028,1,0.191,0.641,0.122,0.877,0.824
1991,507,0.051,0.786,0.089,46426,99621,0.013,0.208,-0.292,0.243,0.531,0.162,-0.004,0.045,1,0.092,0.727,0.137,1.374,0.929
1991,601,0.143,0.716,0.066,71275,99730,-0.024,0.195,-0.224,0.336,0.468,0.121,0.033,0.033,1,0.244,0.61,0.109,0.851,1.132
1991,602,0.144,0.595,0.148,52132,86262,0.037,0.072,-0.205,0.197,0.539,0.198,0.087,-0.014,1,0.242,0.656,0.076,0.838,1.486
1991,701,0.124,0.635,0.051,106384,212565,-0.011,-0.163,-0.007,0.251,0.46,0.2,0.041,0.042,1,0.106,0.681,0.159,1.506,1.41
1991,702,0.032,0.811,0.054,84532,127275,0.013,-0.14,0.026,0.097,0.59,0.259,0.036,0.005,1,0.033,0.757,0.151,1.793,1.045
1991,703,0.011,0.888,0.037,120186,158018,0.004,-0.088,0.022,0.058,0.634,0.275,0.053,0.016,1,0.017,0.818,0.129,2.181,1.369
1991,704,0.043,0.872,0.02,86131,115867,-0.004,-0.057,-0.003,0.18,0.589,0.173,0.024,0.067,1,0.08,0.766,0.117,1.065,1.328
1991,705,0.099,0.668,0.064,100877,160435,-0.041,0.167,-0.285,0.057,0.387,0.497,0.116,-0.047,1,0.11,0.677,0.171,1.056,1.29
1991,706,0.029,0.781,0.08,90535,152559,0.022,-0.14,0.011,0.04,0.599,0.274,0.088,0.044,1,0.02,0.78,0.173,2.28,1.513
1991,707,0.074,0.714,0.083,89644,123749,0.048,-0.194,0.02,0.049,0.572,0.336,0.125,0.023,1,0.048,0.759,0.168,1.66,1.381
1991,708,0.142,0.738,0.032,73645,134643,0.077,-0.155,-0.007,0.15,0.528,0.264,0.083,0.047,1,0.135,0.693,0.139,0.857,1.51
1991,709,0.015,0.799,0.124,86898,154725,0.01,-0.153,0.084,0.019,0.596,0.309,0.119,0.031,1,0.017,0.738,0.212,2.258,0.999
1991,801,0.313,0.631,0.01,71095,107695,-0.138,0.145,-0.046,0.32,0.572,0.038,0.052,0.115,1,0.147,0.773,0.039,2.038,1.935
1991,802,0.327,0.58,0.054,51989,96507,0.008,-0.073,0.028,0.257,0.666,0.035,0.067,0.088,1,0.219,0.698,0.051,0.873,1.062
1991,803,0.416,0.545,0.009,43204,62753,-0.07,0.069,-0.024,0.394,0.508,0.061,0.002,0.039,1,0.231,0.689,0.033,0.919,2.14
1991,804,0.448,0.513,0.009,134801,187221,-0.099,0.102,-0.029,0.389,0.493,0.062,0.034,0.058,1,0.237,0.665,0.04,1.249,2.097
1991,805,0.078,0.789,0.089,40417,72077,-0.022,-0.046,0.027,0.168,0.693,0.114,0.062,0.048,1,0.091,0.775,0.097,1.739,0.951
1991,806,0.313,0.643,0.012,75023,121060,-0.036,0.052,-0.045,0.333,0.59,0.036,0.054,0.112,1,0.217,0.709,0.04,1.459,1.601
1991,807,0.328,0.612,0.012,111535,179790,-0.104,0.119,-0.058,0.304,0.545,0.059,0.06,0.068,1,0.151,0.763,0.043,2.071,1.824
1991,808,0.403,0.558,0.01,87944,124402,-0.087,0.094,-0.03,0.371,0.517,0.056,0.009,0.062,1,0.212,0.704,0.035,1.046,2.119
