yr,ife,pan,pri,left,efec,lisnom,d.pan,d.pri,d.left,vhat.pan,vhat.pri,vhat.left,bhat.pan,bhat.left,dbackward,alphahat.pan,alphahat.pri,alphahat.left,betahat.pan,betahat.left
1994,1001,0.384,0.446,0.09,232268,287574,0.158,-0.195,0.06,0.506,0.333,0.111,-0.029,0.002,1,0.158,0.684,0.078,2.055,1.514
1994,1002,0.155,0.64,0.154,11891,16217,0.114,-0.179,0.128,0.176,0.622,0.186,0.119,0.014,1,0.037,0.845,0.057,3.532,2.212
1994,1003,0.451,0.46,0.043,16466,24528,0.265,-0.231,0.015,0.492,0.424,0.051,0.021,0.095,1,0.156,0.723,0.059,2.303,1.675
1994,1004,0.248,0.626,0.09,4452,6072,0.229,-0.243,0.078,0.41,0.548,0.037,0.003,0.069,1,0.046,0.875,0.035,2.896,1.782
1994,1005,0.351,0.56,0.04,17187,22479,0.138,-0.183,0.034,0.389,0.504,0.076,0.03,0.021,1,0.164,0.756,0.033,1.967,1.886
1994,1006,0.325,0.55,0.069,10700,14509,0.203,-0.202,0.048,0.364,0.562,0.062,0.002,0.11,1,0.119,0.702,0.079,1.609,1.216
1994,1007,0.284,0.53,0.09,13892,18503,0.236,-0.176,0.08,0.376,0.498,0.109,0.024,0.026,1,0.08,0.771,0.056,2.47,1.716
1994,1008,0.212,0.597,0.071,2780,3608,0.185,-0.233,0.065,0.222,0.65,0.086,0.098,0.121,1,0.045,0.799,0.072,3.085,1.625
1994,1009,0.202,0.624,0.117,5114,7563,0.168,-0.218,0.107,0.36,0.553,0.079,0.048,0.058,1,0.038,0.879,0.04,3.711,2.256
1994,1010,0.292,0.587,0.067,6265,8341,-0.03,0.126,-0.087,0.311,0.574,0.1,0.045,0.036,1,0.256,0.603,0.094,0.622,0.784
1994,1011,0.121,0.7,0.132,5125,7204,-0.128,0.25,-0.088,0.144,0.703,0.141,0.103,0.013,1,0.099,0.776,0.099,2.012,1.657
1994,2001,0.353,0.49,0.106,114839,149974,-0.081,0.034,0.066,0.49,0.323,0.143,-0.019,0.014,1,0.318,0.554,0.094,0.808,1.654
1994,2002,0.344,0.538,0.073,286056,364528,-0.053,0.026,0.049,0.432,0.433,0.112,0.017,0.013,1,0.297,0.614,0.051,1.15,2.037
1994,2003,0.263,0.605,0.092,24319,31485,-0.13,0.12,0.022,0.327,0.483,0.147,0.042,0.018,1,0.275,0.606,0.084,0.791,1.517
1994,2004,0.397,0.48,0.073,359530,489105,-0.117,0.057,0.049,0.511,0.354,0.1,-0.012,0.014,1,0.36,0.548,0.054,0.847,2.068
1994,2005,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,2006,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,3001,0.346,0.542,0.077,25087,33352,0.076,-0.145,0.067,0.289,0.468,0.227,0.064,0.135,1,0.172,0.676,0.115,2.012,1.954
1994,3002,0.418,0.525,0.031,15949,21906,0.125,-0.157,0.025,0.363,0.538,0.085,-0.008,0.194,1,0.176,0.721,0.068,1.739,2.096
1994,3003,0.303,0.595,0.053,73024,93218,0.088,-0.072,0.032,0.13,0.561,0.195,0.083,0.115,1,0.107,0.695,0.116,2.023,1.732
1994,3004,0.335,0.569,0.052,20902,28834,0.038,-0.058,0.044,0.26,0.461,0.114,0.027,0.169,1,0.121,0.726,0.101,2.396,2.194
1994,3005,0.44,0.544,0.009,4163,5199,0.024,0.242,-0.22,0.503,0.485,0.01,0.033,0.384,1,0.336,0.551,0.092,1.165,1.308
1994,4001,0.271,0.444,0.2,78724,101435,0.201,-0.254,0.174,0.202,0.398,0.327,0.052,-0.078,1,0.185,0.646,0.114,0.742,1.054
1994,4002,0.106,0.684,0.141,16048,21260,0.088,-0.189,0.121,0.05,0.594,0.314,0.191,-0.103,1,0.057,0.814,0.071,1.574,1.439
1994,4003,0.159,0.573,0.218,55182,80283,0.135,-0.285,0.176,0.065,0.367,0.53,0.14,-0.146,1,0.077,0.777,0.115,1.942,1.356
1994,4004,0.085,0.663,0.22,24937,32964,0.075,-0.169,0.15,0.015,0.366,0.577,0.252,-0.165,1,0.041,0.801,0.123,2.081,1.155
1994,4005,0.026,0.587,0.343,8613,10953,0.014,-0.238,0.309,0.036,0.613,0.302,0.214,-0.095,1,0.058,0.787,0.096,1.647,1.201
1994,4006,0.068,0.666,0.185,12099,16636,0.054,-0.045,0.094,0.048,0.564,0.339,0.193,-0.082,1,0.085,0.763,0.108,1.233,0.953
1994,4007,0.038,0.854,0.096,2579,3891,0.035,-0.123,0.083,0.032,0.674,0.288,0.163,0.028,1,0.024,0.871,0.081,2.162,1.327
1994,4008,0.072,0.732,0.09,3205,4057,0.055,-0.172,0.077,0.022,0.443,0.477,0.225,-0.212,1,0.059,0.86,0.036,1.782,1.675
1994,4009,0.034,0.629,0.305,17136,24588,0.025,-0.214,0.222,0.031,0.543,0.396,0.226,-0.046,1,0.026,0.789,0.158,2.787,1.068
1994,4010,0.222,0.13,0.533,1,2,0,0,0,0.222,0.13,0.533,0,0,1,0.222,0.13,0.533,0,0
1994,4011,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,4012,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,4013,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,5001,0.154,0.773,0.03,467,769,0.13,-0.193,0.029,0.442,0.543,0.013,-0.032,0.045,1,0.041,0.928,0.007,2.77,2.329
1994,5002,0.175,0.602,0.088,20448,33922,0.117,-0.119,0.058,0.479,0.368,0.103,-0.095,-0.009,1,0.083,0.763,0.074,1.739,1.267
1994,5003,0.398,0.554,0.025,6708,10204,0.183,-0.204,0.021,0.513,0.408,0.072,-0.059,-0.08,1,0.251,0.709,0.015,0.645,1.988
1994,5004,0.142,0.796,0.019,5932,9998,0.117,-0.123,0.017,0.207,0.725,0.039,-0.021,0.009,1,0.05,0.916,0.014,1.693,1.669
1994,5005,0.264,0.722,0.006,644,980,0.236,-0.245,0.005,0.288,0.699,0.009,-0.018,0.012,1,0.047,0.941,0.003,2.458,2.092
1994,5006,0.237,0.471,0.251,6398,11864,0.113,-0.294,0.219,0.179,0.487,0.33,0.016,-0.096,1,0.133,0.734,0.103,0.871,1.096
1994,5007,0.305,0.598,0.057,3383,6299,0.219,-0.212,0.051,0.336,0.595,0.061,-0.034,0.012,1,0.126,0.817,0.029,1.288,1.524
1994,5008,0.118,0.741,0.054,780,1348,0.098,-0.051,0.053,0.181,0.79,0.024,0.043,0.032,1,0.065,0.912,0.009,1.604,2.091
1994,5009,0.059,0.529,0.184,18862,26860,0.036,-0.089,0.007,0.111,0.5,0.284,0.008,-0.046,1,0.053,0.73,0.15,1.336,0.987
1994,5010,0.321,0.414,0.091,18288,33753,0.028,-0.237,0.081,0.425,0.416,0.132,-0.032,-0.048,1,0.221,0.681,0.048,1.001,1.515
1994,5011,0.093,0.818,0.036,3125,6388,0.059,-0.053,0.03,0.2,0.71,0.071,0.039,-0.001,1,0.039,0.907,0.027,2.851,1.392
1994,5012,0.108,0.823,0.043,655,1116,0.052,-0.047,-0.007,0.241,0.702,0.052,0.012,-0.05,1,0.073,0.887,0.034,1.693,0.728
1994,5013,0.087,0.774,0.101,366,522,0.086,0.163,0.06,0.076,0.798,0.071,0.048,-0.014,1,0.005,0.938,0.031,3.801,1.366
1994,5014,0.072,0.835,0.035,3141,4671,0.061,-0.122,0.024,0.086,0.801,0.06,0.065,0.075,1,0.026,0.921,0.031,2.219,1.597
1994,5015,0.171,0.798,0.022,584,834,0.143,-0.163,0.021,0.187,0.787,0.02,0.039,-0.021,1,0.031,0.951,0.007,2.854,2.04
1994,5016,0.418,0.544,0.033,658,1182,-0.181,0.148,0.032,0.326,0.648,0.024,0.032,0.132,1,0.394,0.583,0.016,0.1,1.62
