ord,edo,mun,part,NOMBRE,CARGO
1,bcs,COMONDÚ,pan-prd-prs-ph_bcs,ARACELI NIÑO LOPEZ,Propietario
2,bcs,COMONDÚ,pri,ENRIQUE RIOS CRUZ,Propietario
3,bcs,COMONDÚ,pt,JIMENA MARISOL VALENZUELA DIAZ,Propietario
4,bcs,COMONDÚ,pvem,OLGA ORALIA CARBALLO LUCERO,Propietario
5,bcs,COMONDÚ,mc,MARIA GUADALUPE MENDEZ TALAMANTES,Propietario
6,bcs,COMONDÚ,pna,MARTHA AIDE GARCIA MORALES,Propietario
7,bcs,COMONDÚ,pt-morena-pes,JOSE WALTER VALENZUELA ACOSTA,Propietario
8,bcs,COMONDÚ,bcs_coherente,MARIA CONCEPCION MARTINEZ HERNANDEZ,Propietario
9,bcs,COMONDÚ,indep,FERNANDO HOYOS AGUILAR,Propietario
10,bcs,LA PAZ,pan-prd-prs-ph_bcs,MARCO ANTONIO ALMENDARIZ PUPPO,Propietario
11,bcs,LA PAZ,pri,JOSE FELIX HEVIA AGUIAR,Propietario
12,bcs,LA PAZ,pt,ANGEL FABIAN GAXIOLA INFANTE,Propietario
13,bcs,LA PAZ,pvem,JOSE SAUL GONZALEZ NUÑEZ,Propietario
14,bcs,LA PAZ,mc,JOSUE ESTRADA FLORES,Propietario
15,bcs,LA PAZ,pna,FILEMON LEONARDO GRACIANO CHAVEZ,Propietario
16,bcs,LA PAZ,pt-morena-pes,RUBEN GREGORIO MUÑOZ ALVAREZ,Propietario
17,bcs,LA PAZ,bcs_coherente,ADAN ENRIQUE RUFFO VELARDE,Propietario
18,bcs,LORETO,pan-prd-prs-ph_bcs,ARELY ARCE PERALTA,Propietario
19,bcs,LORETO,pri,PAZ DEL ALMA OCHOA AMADOR,Propietario
20,bcs,LORETO,pt,MARIA ELBA LOMBERA ROMERO,Propietario
21,bcs,LORETO,pvem,RAMONA FERNANDEZ MURILLO,Propietario
22,bcs,LORETO,morena,JUANITA DAVIS DREW,Propietario
23,bcs,LORETO,bcs_coherente,MARIA JOSEFINA QUINTERO RODRIGUEZ,Propietario
24,bcs,LORETO,indep,BRAULIO HERRERA ALANIZ,Propietario
25,bcs,LOS CABOS,pan-prd-prs-ph_bcs,ARTURO DE LA ROSA ESCALANTE,Propietario
26,bcs,LOS CABOS,pri,ADRIANA MARCIAL CARRILLO,Propietario
27,bcs,LOS CABOS,pt,VICTOR ERNESTO IBARRA MONTOYA,Propietario
28,bcs,LOS CABOS,pvem,ALEJANDRO ENRIQUE ROJAS TIRADO,Propietario
29,bcs,LOS CABOS,mc,ISRAEL CASTRO GONZALEZ,Propietario
30,bcs,LOS CABOS,pna,AMERICA VEGA URIBE,Propietario
31,bcs,LOS CABOS,pt-morena-pes,JESUS ARMIDA CASTRO GUZMAN,Propietario
32,bcs,LOS CABOS,bcs_coherente,GUILLERMO MANZANARES SANTES,Propietario
33,bcs,MULEGE,pan-prd-prs-ph_bcs,EDITH AGUILAR VILLAVICENCIO,Propietario
34,bcs,MULEGE,pri,MARIA LAURA ROMO CAMPOS,Propietario
35,bcs,MULEGE,mc,MIRNA PATRICIA AVILA ROMERO,Propietario
36,bcs,MULEGE,pna,JOSE FELIPE PRADO BAUTISTA,Propietario
37,bcs,MULEGE,pt-morena-pes,LILIANA EDITH LYLE FRITCH,Propietario
38,bcs,MULEGE,bcs_coherente,OLGA MARIA MARTINEZ GOMEZ,Propietario
