inegi,ife,mun,pan,pri,prd,pvem,pt,mc,pna,morena,pes,rsp,fxm,pan-pri-prd,pt-morena,indep,nul,nr,valid,tot,lisnom
1,2,Calkiní,590,7393,353,418,202,7433,0,5702,147,340,1202,218,0,0,446,5,24003,448,31269
2,1,Campeche,5679,28157,895,1594,1672,50089,0,38684,859,746,521,1842,0,0,2810,33,130772,442,212325
3,3,Carmen,2743,27577,663,1142,1655,10627,0,46896,562,659,465,1098,0,0,2518,15,94102,326,182975
4,4,Champotón,912,10150,242,229,1717,7131,0,12293,262,365,89,486,0,0,1044,4,33880,277,55603
5,5,Hecelchakán,584,5171,41,56,2573,5847,0,1778,239,139,284,81,0,348,349,10,17151,463,23365
6,6,Hopelchén,501,8124,226,77,914,5152,0,5178,81,167,40,143,0,0,338,0,20603,432,28711
7,7,Palizada,37,2326,57,2,1081,679,0,1561,13,26,8,61,0,0,97,0,5851,549,7380
8,8,Tenabo,897,1561,38,109,19,449,0,2395,122,724,130,194,0,0,135,1,6639,441,8513
9,9,Escárcega,1885,4364,428,605,351,8559,0,6961,254,225,115,502,0,0,860,1,24250,446,42567
10,11,Calakmul,175,3589,95,55,649,1301,0,6719,277,280,69,134,0,0,402,3,13346,375,19722
11,10,Candelaria,6284,2742,96,161,175,1497,0,7739,277,193,102,370,0,0,691,3,19639,370,33301
12,13,Seybaplaya,85,2765,35,439,301,1674,0,2956,40,71,10,113,0,0,204,4,8493,453,11569
xxx,12,Dzitbalché,83,2483,74,80,1074,1371,0,3097,44,163,127,47,0,0,156,0,8643,480,11472
