inegi,mun,pan,pri,prd,pt,pvem,mc,morena,pes,campechelibre,espacio.dem.campeche,movimientolaborista,indep,pri.prd,pt.pvem.morena,efec,nr,nul,total
4001,CALKINI,593,1448,68,622,655,11037,8620,57,459,78,69,0,16,457,24179,5,564,24748
4002,CAMPECHE,7144,17719,688,2962,2526,63376,33277,522,1408,839,423,0,217,3350,134451,46,3576,138073
4003,CARMEN,2415,2084,380,2980,1886,26500,61122,661,669,820,300,0,43,4596,104456,28,2974,107458
4004,CHAMPOTON,4557,3125,172,1265,976,6967,13734,161,593,126,156,0,27,1120,32979,33,1449,34461
4005,HECELCHAKAN,70,203,25,428,247,8509,6816,161,65,474,45,0,2,300,17345,1,330,17676
4006,HOPELCHEN,164,9592,150,443,812,1709,7612,158,14,26,82,0,59,322,21143,4,583,21730
4007,PALIZADA,1512,1322,10,1560,18,277,639,4,1,5,9,0,10,0,5367,0,109,5476
4008,TENABO,1329,2150,16,101,259,396,2373,12,5,24,24,0,17,107,7100,6,209,7315
4009,ESCARCEGA,702,1273,100,885,629,5540,7838,128,3861,103,87,351,5,794,22296,30,1266,23592
4010,CALAKMUL,311,1850,50,414,340,969,4966,93,2745,27,32,0,27,352,12176,1,687,12864
4011,CANDELARIA,4190,208,53,758,474,6427,7430,46,15,9,26,0,3,800,20439,10,927,21376
4012,SEYBAPLAYA,582,3360,156,423,195,355,3273,20,50,0,5,357,73,185,9034,0,251,9285
4013,DZITBALCHE,58,2308,41,133,98,4087,2267,47,8,76,15,0,11,97,9246,0,256,9502
