ayuntamientos chiapas 2012
fuente iepc
* Modificado por el Tribunal de Justicia Electoral y Administrativa del Poder Judicial del Estado
** Modificado por el Tribunal Electoral del Poder Judicial de la Federación

poch = Partido Orgullo Chiapas

mun,pan,pri,prd.pt.c,pvem,panal,poch,nulos,nr,tot,dtee,dtrife
ACACOYAGUA,1345,2647,398,2355,126,53,305,4,7233,1,0
ACALA,2621,2486,1166,2688,136,126,360,3,9586,1,0
ACAPETAHUA,3919,867,221,4360,2770,112,803,9,13061,0,0
ALTAMIRANO,3575,3471,168,4762,0,31,548,17,12572,0,0
AMATAN,1079,1876,2073,3112,273,63,581,1,9058,0,0
AMATENANGO DE LA FRONTERA,338,2025,4776,5949,123,0,696,5,13912,0,0
AMATENANGO DEL VALLE,47,1158,1318,789,0,0,120,3,3435,1,0
ANGEL ALBINO CORZO,941,2384,1977,1936,2478,307,757,9,10789,1,1
ARRIAGA,2745,2414,2654,3455,3209,1904,1295,1,17677,1,0
BEJUCAL DE OCAMPO,22,256,1121,1157,0,1,116,0,2673,1,0
BELLAVISTA,397,3809,2286,1351,869,20,300,0,9032,0,0
BERRIOZABAL,2665,2248,2042,4767,2441,687,958,5,15813,1,1
BOCHIL,807,2628,2671,5905,640,128,954,76,13809,0,0
EL BOSQUE,835,2635,1777,2232,468,25,581,21,8574,0,0
CACAHOATAN,6736,9018,1351,1155,80,31,1691,4,20066,0,0
CATAZAJA,1690,3285,608,3027,298,108,567,0,9583,1,1
CINTALAPA,1155,8589,3629,12504,1462,1709,2552,10,31610,0,0
COAPILLA,194,1889,1354,672,0,9,146,0,4264,1,0
COMITAN DE DOMINGUEZ,2574,14037,6384,24860,992,1188,4668,51,54754,1,0
LA CONCORDIA,577,6591,269,8472,2749,51,1608,16,20333,0,0
COPAINALA,247,3318,346,5940,0,81,705,4,10641,0,0
CHALCHIHUITAN,107,2986,3357,85,0,16,377,65,6993,0,0
CHAMULA,2841,13094,1284,11670,0,174,3027,181,32271,0,0
CHANAL,0,1615,1512,1354,0,0,196,11,4688,1,0
CHAPULTENANGO,718,1149,678,436,327,13,164,0,3485,0,0
CHENALHO,292,7349,2002,4699,85,26,559,7,15019,0,0
CHIAPA DE CORZO,4125,13921,3585,9061,380,322,2737,24,34155,1,0
CHIAPILLA,1368,826,125,803,0,2,70,0,3194,0,0
CHICOASEN,1031,872,32,868,0,7,125,3,2938,0,0
CHICOMUSELO,613,2188,4782,4935,368,75,1391,6,14358,1,0
CHILON,918,12343,8888,19427,253,61,2286,8,44184,0,0
ESCUINTLA,1285,3670,1030,2675,1092,1771,852,3,12378,0,0
FRANCISCO LEON,1347,11,1033,917,0,5,52,0,3365,0,0
FRONTERA COMALAPA,706,5073,3051,7370,7627,211,2479,46,26563,1,0
FRONTERA HIDALGO,2292,1779,375,1060,272,11,318,0,6107,1,0
LA GRANDEZA,19,1196,21,1612,0,2,94,1,2945,0,0
HUEHUETAN,427,3950,5005,5138,312,40,1096,13,15981,1,1
HUITIUPAN,0,3295,3159,2429,0,1537,0,0,10420,0,0
HUIXTAN,192,2587,3399,2022,533,10,768,21,9532,1,1
HUIXTLA,6475,3717,1244,7244,100,360,2371,23,21534,1,1
LA INDEPENDENCIA,0,3024,3925,11226,0,90,868,12,19145,0,0
IXHUATAN,42,1291,1930,1294,0,4,299,10,4870,0,0
IXTACOMITAN,861,1737,120,1955,112,110,237,0,5132,0,0
IXTAPA,2294,4008,1482,3812,129,49,675,2,12451,1,1
IXTAPANGAJOYA,1345,1258,53,180,0,0,142,1,2979,0,0
JIQUIPILAS,2113,7186,1165,9024,0,72,1057,1,20618,0,0
JITOTOL,335,2175,1998,2269,1133,12,518,6,8446,1,0
JUAREZ,447,1565,1159,4260,1998,25,745,22,10221,0,0
LARRAINZAR,116,5044,74,3066,0,36,304,12,8652,0,0
LA LIBERTAD,1335,1055,249,983,0,38,88,0,3748,0,0
MAPASTEPEC,3733,1584,4702,3564,1796,815,1336,7,17537,1,0
LAS MARGARITAS,2444,12641,8033,26199,319,266,3006,122,53030,0,0
MAZAPA DE MADERO,70,1072,999,678,0,0,358,1,3178,1,1
MAZATAN,1026,3621,3393,3370,373,49,660,0,12492,1,1
METAPA DE DOMINGUEZ,338,840,79,816,735,157,143,1,3109,1,0
MITONTIC,75,2517,187,588,0,11,352,29,3759,0,0
MOTOZINTLA,1512,5019,8074,8559,0,334,314,42,23854,1,1
NICOLAS RUIZ,0,0,1156,0,0,0,314,7,1477,0,0
OCOSINGO,12045,12248,7812,15182,10755,2724,6053,102,66921,0,0
OCOTEPEC,38,2844,2239,4,0,0,41,0,5166,0,0
OCOZOCOAUTLA DE ESPINOSA,6756,6533,3759,7738,2971,1615,7175,32,36579,1,1
OSTUACAN,627,2367,608,2210,2418,37,631,15,8913,1,1
OSUMACINTA,816,756,74,439,0,2,44,0,2131,1,0
OXCHUC,242,6304,3510,4677,4925,33,1172,18,20881,1,0
PALENQUE,9774,6673,11016,9528,2533,438,4065,31,44058,1,1
PANTELHO,76,1971,3866,2011,0,9,303,2,8238,0,0
PANTEPEC,1839,1303,1043,1111,93,0,98,2,5489,0,0
PICHUCALCO,2879,1794,612,5037,2891,190,1062,9,14474,0,0
PIJIJIAPAN,1209,5934,2494,9189,713,836,1589,5,21969,0,0
EL PORVENIR,218,986,2727,1795,40,0,219,1,5986,0,0
PUEBLO NUEVO SOLISTAHUACAN,511,2991,3459,2916,1238,23,876,11,12025,1,1
RAYON,788,1189,983,700,0,92,246,8,4006,0,0
REFORMA,4409,5123,3678,2735,447,289,1002,45,17728,0,0
LAS ROSAS,376,1969,2806,4827,55,466,833,5,11337,0,0
SABANILLA,89,5162,6558,539,10,3,466,11,12838,1,0
SALTO DE AGUA,1460,8850,8189,5324,254,304,1571,18,25970,1,1
SAN CRISTOBAL DE LAS CASAS,9472,20934,8249,18939,1750,1344,6022,153,66863,0,0
SAN FERNANDO,2349,5267,1857,5629,275,51,772,9,16209,1,1
SAN JUAN CANCUC,1658,6809,3037,1257,203,102,595,18,13679,0,0
SAN LUCAS,839,1024,908,328,99,3,121,0,3322,1,1
SILTEPEC,2498,5483,574,2534,297,3380,1556,5,16327,0,0
SIMOJOVEL,308,4494,3998,3624,3246,28,1020,10,16728,1,1
SITALA,26,2584,2432,382,0,3,127,0,5554,1,1
SOCOLTENANGO,1527,2672,406,3338,0,330,506,4,8783,1,0
SOLOSUCHIAPA,1887,1398,224,623,0,9,166,0,4307,0,0
SOYALO,280,1126,1013,1326,1072,29,167,2,5015,0,0
SUCHIAPA,3061,3078,716,2395,472,779,498,1,11000,0,0
SUCHIATE,2942,3689,1504,3774,225,74,947,3,13158,1,1
SUNUAPA,88,266,27,614,377,10,47,0,1429,0,0
TAPACHULA,37919,53511,14354,0,6005,2652,6836,139,121416,1,1
TAPALAPA,0,1219,1202,9,0,0,118,0,2548,1,1
TAPILULA,1667,448,1061,1986,0,30,289,0,5481,0,0
TECPATAN,712,3967,652,3924,183,61,557,1,10057,0,0
TENEJAPA,609,3733,2656,7957,118,93,971,22,16159,0,0
TEOPISCA,1025,7700,1926,2259,408,248,1352,20,14938,1,0
TILA,3019,9802,2019,13394,0,56,2593,128,31011,1,1
TONALA,5491,9852,6055,6592,3661,3290,2523,13,37477,0,0
TOTOLAPA,4,1168,1670,1100,0,0,53,0,3995,0,0
LA TRINITARIA,0,7736,3135,22213,952,800,2233,33,37102,0,0
TUMBALA,485,3198,3001,6497,150,1357,904,27,15619,0,0
TUXTLA CHICO,5020,4560,2358,4574,329,0,1163,16,18020,1,0
TUXTLA GUTIERREZ,18468,43445,76509,46512,5717,7971,10794,149,209565,1,1
TUZANTAN,3835,1798,1557,4405,54,131,910,4,12694,1,0
TZIMOL,70,4260,171,2371,363,92,644,8,7979,0,0
UNION JUAREZ,1900,2323,545,1185,468,582,519,0,7522,0,0
VENUSTIANO CARRANZA,4325,4053,1861,10262,2019,313,2211,0,25044,1,0
VILLA COMALTITLAN,1878,2248,1269,3354,2877,86,904,4,12620,1,1
VILLA CORZO,6665,5383,4133,8243,174,540,1365,13,26516,1,0
VILLAFLORES,11462,4657,4342,14437,3767,383,3192,0,42240,1,0
YAJALON,1209,2970,1023,3523,233,3925,1281,18,14182,1,0
ZINACANTAN,264,10770,7677,271,54,16,613,20,19685,0,0
ALDAMA,109,1416,92,90,0,4,144,12,1867,0,0
BENEMERITO DE LAS AMERICAS,708,1052,1197,2889,1049,17,437,0,7349,0,0
MARAVILLA TENEJAPA,0,1915,451,1037,1528,11,160,0,5102,0,0
MARQUES DE COMILLAS,1356,991,848,1391,0,0,231,6,4823,0,0
MONTECRISTO DE GUERRERO,1478,352,169,1675,23,13,118,0,3828,0,0
SAN ANDRES DURAZNAL,325,366,401,620,0,1,21,24,1758,0,0
SANTIAGO EL PINAR,0,672,3,915,0,1,25,0,1616,0,0
BELISARIO DOMINGUEZ,83,131,3,108,0,10,52,0,387,0,0
EMILIANO ZAPATA,1190,705,394,1170,1034,502,251,2,5248,1,0
MEZCALAPA,585,1691,1513,2388,1846,660,621,2,9306,0,0
EL PARRAL,584,1514,1372,2187,793,40,364,2,6856,0,0
total,262781,550050,361282,570378,109052,49001,130236,2134,2034914,.,.
