ord,ID_MUNICIPIO_LOCAL,mun,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
1,1, ACACOYAGUA,PVEM,ISMAEL DIAZ BRAVO,
2,1, ACACOYAGUA,CU,HIGINIO NIÑO JIMENEZ,
3,1, ACACOYAGUA,MOR,YESENIA GARCIA HERNANDEZ,
4,1, ACACOYAGUA,PMC,HANAI NIÑO ANTONIO,
5,1, ACACOYAGUA,NAC,AURA RODRIGUEZ CAMAS,
6,1, ACACOYAGUA,PES,ELMER CAMPOS GUTIERREZ,
7,1, ACACOYAGUA,RSP,SUANI PEREZ ROBLERO,
8,1, ACACOYAGUA,SUM-PAN-PRI-PRD,SERGIO ABRAHAM BAUTISTA BLANCA,
1353,1, ACACOYAGUA,,,
9,2, ACALA,PT,DAGOBERTO SANTIAGO ROMAN FLORES,
10,2, ACALA,PVEM,NEPTALI RUIZ GARCIA,
11,2, ACALA,MC,MARIA FERNANDA ANDRADE COELLO,
12,2, ACALA,CU,RODRIGO TRINIDAD ROSALES FRANCO,
13,2, ACALA,MOR,GERARDO VICENTE GRAJALES YUCA,
14,2, ACALA,NAC,FRANCISCO RAFAEL HERNANDEZ LOPEZ,
15,2, ACALA,PPCH,MARTHA GUADALUPE SANCHEZ MOLINA,
16,2, ACALA,RSP,MARIA DEL CARMEN LOPEZ PEREZ,
17,2, ACALA,FXM,VICENTE DE JESUS COELLO ARROYO,
18,2, ACALA,CI1,ESTEBAN TORRES GONZALEZ,Nombre Apellido Apellido
19,2, ACALA,SUM-PAN-PRI-PRD,JUAN CARLOS LARA COELLO,
1260,2, ACALA,,,
20,3, ACAPETAHUA,PAN,JAIME CHOY ESPINOZA,
21,3, ACAPETAHUA,PRI,PABLO TORRES ANTONIO,
22,3, ACAPETAHUA,PRD,DEISY GARCIA MATEOS,
23,3, ACAPETAHUA,PT,CESAR MARTINEZ ANTONIO,
24,3, ACAPETAHUA,PVEM,GERARDO SANCHEZ ROJAS,
25,3, ACAPETAHUA,MC,FRANCISCO JAVIER MOLINA DIAZ,
26,3, ACAPETAHUA,CU,ADALBERTO MORENO GALLEGOS,
27,3, ACAPETAHUA,MOR,MARIA TERESA JUAREZ PINO,
28,3, ACAPETAHUA,PMC,NILDA PATRICIA VELAZCO POSADA,
29,3, ACAPETAHUA,NAC,SALWA DAVID TAMEZ,
30,3, ACAPETAHUA,PES,YOLANDA MAZARIEGOS GORDILLO,
31,3, ACAPETAHUA,RSP,CIELO VERA POSADA,
