ord,disn,munn,mun,v01,l01,v02,l02,v03,l03,v04,l04,v05,l05,v06,l06,v07,l07,v08,l08,v09,l09,v10,l10,v11,l11,v12,l12,v13,l13,v14,l14,v15,l15,nr,nul,tot,lisnom
1,11,1,AHUMADA,150,pan,0,pri,37,prd,0,pvem,0,pt,2837,mc,0,pna,0,morena,0,pes,0,pri.pna,2221,pri.pvem.pna,0,pri.pvem.pt.pna,0,0,0,0,0,0,1,128,5374,8909
23,11,2,ALDAMA,6863,pan,2562,pri,591,prd,41,pvem,38,pt,0,mc,96,pna,174,morena,110,pes,0,pri.pna,0,pri.pvem.pna,54,pri.pvem.pt.pna,0,0,0,0,0,0,0,223,10752,18678
59,20,3,ALLENDE,2289,pan,0,pri,102,prd,0,pvem,0,pt,0,mc,0,pna,0,morena,101,pes,0,pri.pna,2432,pri.pvem.pna,0,pri.pvem.pt.pna,0,0,0,0,0,0,2,91,5017,7280
80,11,4,AQUILES SERDÁN,660,pan,0,pri,82,prd,3023,pvem,0,pt,206,mc,0,pna,74,morena,0,pes,2039,pri.pna,0,pri.pvem.pna,0,pri.pvem.pt.pna,0,0,0,0,0,0,0,195,6279,10327
98,1,5,ASCENSIÓN,3276,pan,3848,pri,68,prd,56,pvem,75,pt,405,mc,64,pna,57,morena,0,pes,0,pri.pna,0,pri.pvem.pna,124,pri.pvem.pt.pna,0,0,0,0,0,0,1,210,8184,17014
131,13,6,BACHÍNIVA,1639,pan,1530,pri,107,prd,14,pvem,8,pt,0,mc,30,pna,0,morena,0,pes,0,pri.pna,0,pri.pvem.pna,57,pri.pvem.pt.pna,0,0,0,0,0,0,1,103,3489,5582
150,22,7,BALLEZA,3282,pan,4335,pri,14,prd,24,pvem,16,pt,0,mc,40,pna,0,morena,22,pes,0,pri.pna,0,pri.pvem.pna,240,pri.pvem.pt.pna,0,0,0,0,0,0,3,389,8365,12851
174,22,8,BATOPILAS,737,pan,0,pri,0,prd,0,pvem,0,pt,35,mc,0,pna,0,morena,0,pes,2643,pri.pna,0,pri.pvem.pna,0,pri.pvem.pt.pna,0,0,0,0,0,0,7,559,3981,8459
191,13,9,BOCOYNA,2962,pan,0,pri,107,prd,0,pvem,104,pt,3697,mc,0,pna,0,morena,1758,pes,0,pri.pna,3209,pri.pvem.pna,0,pri.pvem.pt.pna,0,0,0,0,0,0,4,748,12589,20561
233,11,10,BUENAVENTURA,4111,pan,4445,pri,147,prd,39,pvem,47,pt,377,mc,78,pna,76,morena,0,pes,0,pri.pna,0,pri.pvem.pna,66,pri.pvem.pt.pna,0,0,0,0,0,0,1,230,9617,17751
271,20,11,CAMARGO,13454,pan,6511,pri,392,prd,65,pvem,88,pt,438,mc,336,pna,233,morena,151,pes,0,pri.pna,0,pri.pvem.pna,95,pri.pvem.pt.pna,0,0,0,0,0,0,9,348,22120,37310
344,22,12,CARICHÍ,1057,pan,0,pri,819,prd,0,pvem,0,pt,783,mc,0,pna,164,morena,0,pes,1441,pri.pna,0,pri.pvem.pna,0,pri.pvem.pt.pna,0,0,0,0,0,0,3,367,4634,7058
363,1,13,CASAS GRANDES,1219,pan,332,pri,867,prd,46,pvem,219,pt,1130,mc,76,pna,955,morena,0,pes,0,pri.pna,0,pri.pvem.pna,34,pri.pvem.pt.pna,0,0,0,0,0,0,18,199,5095,9716
387,20,14,CORONADO,612,pan,0,pri,0,prd,0,pvem,306,pt,0,mc,0,pna,9,morena,0,pes,0,pri.pna,569,pri.pvem.pna,0,pri.pvem.pt.pna,0,0,0,0,0,0,1,23,1520,1890
396,11,15,COYAME DEL SOTOL,843,pan,683,pri,6,prd,2,pvem,2,pt,0,mc,10,pna,6,morena,0,pes,0,pri.pna,0,pri.pvem.pna,11,pri.pvem.pt.pna,0,0,0,0,0,0,0,14,1577,2150
401,20,16,LA CRUZ,743,pan,940,pri,26,prd,13,pvem,8,pt,205,mc,91,pna,68,morena,0,pes,0,pri.pna,0,pri.pvem.pna,38,pri.pvem.pt.pna,0,0,0,0,0,0,0,51,2183,3330
408,14,17,CUAUHTÉMOC,20654,pan,12912,pri,975,prd,802,pvem,475,pt,5202,mc,1090,pna,1259,morena,984,pes,0,pri.pna,0,pri.pvem.pna,276,pri.pvem.pt.pna,6263,Carlos.Tena.Nevárez,0,0,0,0,90,1680,52662,121142
638,13,18,CUSIHUIRIACHI,348,pan,0,pri,157,prd,199,pvem,405,pt,328,mc,0,pna,0,morena,343,pes,960,pri.pna,0,pri.pvem.pna,0,pri.pvem.pt.pna,0,0,0,0,0,0,0,138,2878,5164
652,18,19,CHIHUAHUA,154028,pan,75688,pri,3106,prd,4030,pvem,2858,pt,4676,mc,6604,pna,8666,morena,3905,pes,0,pri.pna,0,pri.pvem.pna,1742,pri.pvem.pt.pna,74830,Luis.E.Terrazas.Seyffert,0,0,0,0,705,7148,347986,651314
1862,13,20,CHÍNIPAS,630,pan,2503,pri,0,prd,6,pvem,6,pt,0,mc,2,pna,0,morena,0,pes,0,pri.pna,0,pri.pvem.pna,28,pri.pvem.pt.pna,0,0,0,0,0,0,2,66,3243,5146
