inegi,mun,pan,lab,pri,lab,prd,lab,pvem,lab,pt,lab,mc,lab,morena,lab,elige,lab,pes,lab,rsp,lab,fxm,lab,indep,lab,indep,lab,pan-pri-prd,lab,pri-prd,lab,pvem-pt-morena,lab,pt-morena,lab,VOT..TOTAL,VOT..TOTAL.1,VOT..TOTAL.2,VOT..TOTAL.3,nr,nul,VOTACIÓN.TOTAL.EMITIDA
9002,AZCAPOTZALCO,59865,pan,22206,pri,4384,prd,5506,pvem,2870,pt,4809,mc,73237,morena,1243,elige,3152,pes,1613,rsp,17981,fxm,,,,,2602,pan-pri-prd,,,,,902,pt-morena,120,0,0,125,2,7,329
9003,COYOACÁN,111016,pan,39082,pri,21147,prd,5581,pvem,4472,pt,10097,mc,115046,morena,2438,elige,2480,pes,1255,rsp,3538,fxm,,,,,6307,pan-pri-prd,,,,,1397,pt-morena,196,0,0,95,6,4,324
9004,CUAJIMALPA DE MORELOS,23799,pan,45155,pri,1954,prd,2540,pvem,1692,pt,3219,mc,26929,morena,570,elige,1773,pes,492,rsp,1004,fxm,,,,,1910,pan-pri-prd,,,,,410,pt-morena,198,0,0,149,0,10,404
9005,GUSTAVO A. MADERO,93518,pan,65992,pri,48324,prd,14644,pvem,10830,pt,14533,mc,221338,morena,4684,elige,9261,pes,6148,rsp,7226,fxm,9154,indep_rop,,,5864,pan-pri-prd,,,,,2601,pt-morena,44,0,0,162,0,0,231
9006,IZTACALCO,43211,pan,22373,pri,14305,prd,15472,pvem,2785,pt,4900,mc,65360,morena,1164,elige,2874,pes,1741,rsp,2980,fxm,2777,indep_prmc,,,,,528,pri-prd,,,929,pt-morena,0,78,0,134,0,6,356
9007,IZTAPALAPA,88579,pan,70938,pri,36419,prd,20577,pvem,21084,pt,17774,mc,366688,morena,5054,elige,10566,pes,3780,rsp,7752,fxm,,,,,5990,pan-pri-prd,,,,,5924,pt-morena,59,0,0,118,1,12,216
9008,LA MAGDALENA CONTRERAS,20334,pan,32255,pri,2189,prd,1823,pvem,2136,pt,3067,mc,40115,morena,832,elige,2281,pes,854,rsp,2187,fxm,,,,,1879,pan-pri-prd,,,815,pvem-pt-morena,,,150,0,84,0,0,6,253
9009,MILPA ALTA,1596,pan,18656,pri,682,prd,2599,pvem,1337,pt,1165,mc,21875,morena,566,elige,2492,pes,562,rsp,3110,fxm,,,,,589,pan-pri-prd,,,,,451,pt-morena,141,0,0,124,0,9,327
9010,ÁLVARO OBREGÓN,106614,pan,44124,pri,25457,prd,5654,pvem,4213,pt,8447,mc,100505,morena,2022,elige,4072,pes,1492,rsp,6458,fxm,3036,indep_agp,,,6543,pan-pri-prd,,,1859,pvem-pt-morena,,,124,0,105,0,0,11,264
9011,TLÁHUAC,10087,pan,28183,pri,14249,prd,8583,pvem,2613,pt,2662,mc,55355,morena,1080,elige,3484,pes,1354,rsp,2054,fxm,,,,,,,1377,pri-prd,,,745,pt-morena,0,129,0,159,0,15,352
9012,TLALPAN,75347,pan,34700,pri,9037,prd,4830,pvem,4702,pt,28463,mc,109183,morena,2032,elige,2547,pes,1230,rsp,11170,fxm,,,,,3911,pan-pri-prd,,,,,1558,pt-morena,366,0,0,23,0,0,399
9013,XOCHIMILCO,37043,pan,19649,pri,4239,prd,6949,pvem,3113,pt,7036,mc,61543,morena,1127,elige,2365,pes,2048,rsp,2342,fxm,5121,indep_haac,,,2692,pan-pri-prd,,,,,708,pt-morena,210,0,0,139,0,17,416
9014,BENITO JUÁREZ,162049,pan,13531,pri,2121,prd,1672,pvem,1587,pt,3867,mc,45724,morena,624,elige,964,pes,632,rsp,1022,fxm,,,,,,,,,,,634,pt-morena,0,0,0,88,0,14,354
9015,CUAUHTÉMOC,62156,pan,47267,pri,7793,prd,5242,pvem,4515,pt,8229,mc,90330,morena,1891,elige,3959,pes,2077,rsp,2934,fxm,2692,indep_rgs,,,3984,pan-pri-prd,,,,,1373,pt-morena,115,0,0,192,1,4,374
9016,MIGUEL HIDALGO,88081,pan,14431,pri,2558,prd,2778,pvem,4289,pt,3497,mc,68416,morena,632,elige,925,pes,662,rsp,942,fxm,662,indep_ecr,900,indep_efva,2261,pan-pri-prd,,,2043,pvem-pt-morena,,,142,0,159,0,0,9,324
9017,VENUSTIANO CARRANZA,34791,pan,28564,pri,20220,prd,3497,pvem,4154,pt,6026,mc,104907,morena,1117,elige,2627,pes,1777,rsp,2946,fxm,,,,,3342,pan-pri-prd,,,,,1325,pt-morena,130,0,0,184,0,9,345
