ord,yr,mun,emm,edon,inegi,ife,status,dy,mo,Cand-pan-pri-prd,pty,Cand-pvem-pt-morena-rsp,pty
1,2022,Canatlán,dgo-18.001,10,10001,10001,,5,jun,,pan,,pvem
2,2022,Canelas,dgo-18.002,10,10002,10002,,5,jun,,no coal,,morena
3,2022,Coneto de Comonfort,dgo-18.003,10,10003,10003,,5,jun,,prd,,morena
4,2022,Cuencamé,dgo-18.004,10,10004,10004,,5,jun,,pri,,morena
5,2022,Durango,dgo-18.005,10,10005,10005,,5,jun,,pan,,pt
6,2022,General Simón Bolívar,dgo-18.006,10,10006,10006,,5,jun,,no coal,,pt
7,2022,Gómez Palacio,dgo-18.007,10,10007,10007,,5,jun,,pri,BETZABE MARTINEZ,morena
8,2022,Guadalupe Victoria,dgo-18.008,10,10008,10008,,5,jun,,prd,,pvem
9,2022,Guanaceví,dgo-18.009,10,10009,10009,,5,jun,,no coal,,no coal
10,2022,Hidalgo,dgo-18.010,10,10010,10010,,5,jun,,no coal,,pt
11,2022,Indé,dgo-18.011,10,10011,10011,,5,jun,,pan,,morena
12,2022,Lerdo,dgo-18.012,10,10012,10012,,5,jun,,pri,SANJUANA TERESA GONZALEZ,morena
13,2022,Mapimí,dgo-18.013,10,10013,10013,,5,jun,,pri,,morena
14,2022,Mezquital,dgo-18.014,10,10014,10014,,5,jun,,no coal,,pvem
15,2022,Nazas,dgo-18.015,10,10015,10015,,5,jun,,pan,,morena
16,2022,Nombre de Dios,dgo-18.016,10,10016,10016,,5,jun,,prd,,pt
17,2022,Ocampo,dgo-18.017,10,10017,10018,,5,jun,,pri,,morena
18,2022,Oro--El,dgo-18.018,10,10018,10019,,5,jun,,pan,,morena
19,2022,Otáez,dgo-18.019,10,10019,10020,,5,jun,,no coal,,morena
20,2022,Pánuco de Coronado,dgo-18.020,10,10020,10021,,5,jun,,pri,,morena
21,2022,Peñón Blanco,dgo-18.021,10,10021,10022,,5,jun,,pan,,morena
22,2022,Poanas,dgo-18.022,10,10022,10023,,5,jun,,pan,,pvem
23,2022,Pueblo Nuevo,dgo-18.023,10,10023,10024,,5,jun,,no coal,,morena
24,2022,Rodeo,dgo-18.024,10,10024,10025,,5,jun,,prd,,morena
25,2022,San Bernardo,dgo-18.025,10,10025,10026,,5,jun,,no coal,,morena
26,2022,San Dimas,dgo-18.026,10,10026,10027,,5,jun,,pan,,morena
27,2022,San Juan de Guadalupe,dgo-18.027,10,10027,10028,,5,jun,,no coal,,morena
28,2022,San Juan del Río,dgo-18.028,10,10028,10029,,5,jun,,pri,,morena
29,2022,San Luis del Cordero,dgo-18.029,10,10029,10030,,5,jun,,no coal,,morena
30,2022,San Pedro del Gallo,dgo-18.030,10,10030,10031,,5,jun,,pan,,morena
31,2022,Santa Clara,dgo-18.031,10,10031,10032,,5,jun,,pri,,morena
32,2022,Santiago Papasquiaro,dgo-18.032,10,10032,10033,,5,jun,,pan,,morena
33,2022,Súchil,dgo-18.033,10,10033,10034,,5,jun,,pan,,pt
34,2022,Tamazula,dgo-18.034,10,10034,10035,,5,jun,,pri,,morena
35,2022,Tepehuanes,dgo-18.035,10,10035,10036,,5,jun,,pri,,morena
36,2022,Tlahualilo,dgo-18.036,10,10036,10037,,5,jun,,no coal,,morena
37,2022,Topia,dgo-18.037,10,10037,10038,,5,jun,,pan,,morena
38,2022,Vicente Guerrero,dgo-18.038,10,10038,10039,,5,jun,,pan,,pvem
39,2022,Nuevo Ideal,dgo-18.039,10,10039,10017,,5,jun,,no coal,,morena
