ord,yr,mun,emm,edon,inegi,ife,status,dy,mo,Cand-pan-pri-prd,sobrenombre,mujhom,pty,Cand-pvem-pt-morena-rsp,pty,Cand-pan,sobrenombre,mujhom,Cand-pri,sobrenombre,g,Cand-prd,mujhom,Cand-pvem,g,CAND-PT,g,Cand-morena,g
1,2022,Canatlán,dgo-18.001,10,10001,10001,,5,jun,VERONICA GONZALEZ OLGUIN,,mujer,pan,MARIA DE LOS ANGELES ROJAS RIVERA,pvem,,,,,,,,,,,,,,
2,2022,Canelas,dgo-18.002,10,10002,10002,,5,jun,,,,no coal,YAZMIN ARRIETA VIZCARRA,morena,FRANCISCO JAVIER CARDENAS GAMBOA,,hombre,YENNY TRINIDAD CERVANTES VIZCARRA,,mujer,,,,,,,,
3,2022,Coneto de Comonfort,dgo-18.003,10,10003,10003,,5,jun,GERINO MORALES ARRIOLA,,hombre,prd,MARIA DEL SOCORRO PARRA HERNANDEZ,morena,,,,,,,,,,,,,,
4,2022,Cuencamé,dgo-18.004,10,10004,10004,,5,jun,FABIOLA BUGARIN ESPINOZA,,mujer,pri,NORMA ELIZABETH SOTELO OCHOA,morena,,,,,,,,,,,,,,
5,2022,Durango,dgo-18.005,10,10005,10005,,5,jun,JOSE ANTONIO OCHOA RODRIGUEZ,TOÑO OCHOA,hombre,pan,ALEJANDRO GONZALEZ YAÑEZ,pt,,,,,,,,,,,,,,
6,2022,General Simón Bolívar,dgo-18.006,10,10006,10006,,5,jun,,,,no coal,MIRIAM TOVAR ALONSO,pt,SERGIO CERDA MORENO,SERGIO CERDA,hombre,SILVIA RANGEL ORONA,,mujer,,,,,,,,
7,2022,Gómez Palacio,dgo-18.007,10,10007,10007,,5,jun,JUANA LETICIA HERRERA ALE,,mujer,pri,BETZABE MARTINEZ ARANGO,morena,,,,,,,,,,,,,,
8,2022,Guadalupe Victoria,dgo-18.008,10,10008,10008,,5,jun,DAVID RAMOS ZEPEDA,,hombre,prd,GERARDO VILLARREAL SOLIS,pvem,,,,,,,,,,,,,,
9,2022,Guanaceví,dgo-18.009,10,10009,10009,,5,jun,,,,no coal,,no coal,ROSA ICELA TRUJILLO SERRANO,ROSY,mujer,RAMON MANUEL SALAZAR CELIS,CHACHO,hombre,,,DANIA GUADALUPE RIVERA AGUIRRE DIANA,mujer,ADRIANA QUIÑONEZ ZUÑIGA,mujer,MARCELA RIVERA DE LA O,mujer
10,2022,Hidalgo,dgo-18.010,10,10010,10010,,5,jun,,,,no coal,FRANCISCA TAGLE PEREZ,pt,ELIA LIZETH ARREOLA POBLANO,,mujer,JAVIER MARTINEZ TRUJILLO,,hombre,JOSE LUIS COVARRUBIAS FAUDOA,hombre,,,,,,
11,2022,Indé,dgo-18.011,10,10011,10011,,5,jun,JUAN JOSÉ CORRAL MIRANDA,,hombre,pan,JOSE REMEDIOS OCHOA MARTINEZ,morena,,,,,,,,,,,,,,
12,2022,Lerdo,dgo-18.012,10,10012,10012,,5,jun,HOMERO MARTINEZ CABRERA,,hombre,pri,SANJUANA TERESA GONZALEZ ALVARADO,morena,,,,,,,,,,,,,,
13,2022,Mapimí,dgo-18.013,10,10013,10013,,5,jun,MARTHA EUGENIA CASTRO GONZALEZ,,mujer,pri,FERNANDO REVERTE GRANADOS,morena,,,,,,,,,,,,,,
14,2022,Mezquital,dgo-18.014,10,10014,10014,,5,jun,,,,no coal,SANTOS GALINDO MENDOZA,pvem,MARIA GUADALUPE GARCIA GOMEZ,,mujer,IVAN SOTO MENDIA,,hombre,FLORINA MENDOZA SOTO,mujer,,,,,,
15,2022,Nazas,dgo-18.015,10,10015,10015,,5,jun,MARIA DEL SOCORRO PALACIO JAQUEZ,COCO PALACIOS,mujer,pan,DIANA BERENICE GONZALEZ TORRES,morena,,,,,,,,,,,,,,
16,2022,Nombre de Dios,dgo-18.016,10,10016,10016,,5,jun,NANCI CAROLINA VASQUEZ LUNA,,mujer,prd,JUAN FERNANDO SOLIS RIOS,pt,,,,,,,,,,,,,,
17,2022,Ocampo,dgo-18.017,10,10017,10018,,5,jun,MARICELA BARRAZA GARCIA,,mujer,pri,JOSE HERRERA LEOS,morena,,,,,,,,,,,,,,
18,2022,Oro--El,dgo-18.018,10,10018,10019,,5,jun,OCTAVIO CARRETE CARRETE,DR. CARRETE,hombre,pan,ARMANDO GUTIERREZ SILLAS,morena,,,,,,,,,,,,,,
19,2022,Otáez,dgo-18.019,10,10019,10020,,5,jun,,,,no coal,HECTOR HERRERA NUÑEZ,morena,ISMAEL MEJORADO BRETADO,,hombre,MARIA DEL ROCIO PANIAGUA DIAZ,,mujer,BRISEIDA YOSELIN NUÑEZ NUÑEZ,mujer,,,,,,
20,2022,Pánuco de Coronado,dgo-18.020,10,10020,10021,,5,jun,GABRIELA GARCIA BRECEDA,,mujer,pri,ROGELIO FLORES GUERRERO,morena,,,,,,,,,,,,,,
21,2022,Peñón Blanco,dgo-18.021,10,10021,10022,,5,jun,RITA ESTHER LOZANO REYES,MTRA. RITA,mujer,pan,DIAMANTINA FEMAT OCHOA,morena,,,,,,,,,,,,,,
22,2022,Poanas,dgo-18.022,10,10022,10023,,5,jun,IRMA ARACELI AISPURO AISPURO,MAESTRA ARACELI,mujer,pan,ARMANDO GARCIA MEZA,pvem,,,,,,,,,,,,,,
23,2022,Pueblo Nuevo,dgo-18.023,10,10023,10024,,5,jun,,,,no coal,NANCY FLORES ORNELAS,morena,ABNER VICENTE BORJA FLORES,ABNER BORJA,hombre,ADRIAN NOEL CHAPARRO GANDARA,,hombre,IRASEMA SILVA RODRIGUEZ,mujer,,,,,,
24,2022,Rodeo,dgo-18.024,10,10024,10025,,5,jun,MARIA DE LA LUZ AMAYA PARRA,MARY AMAYA,mujer,prd,MAIRA BEATRIZ ALVAREZ ALDACO,morena,,,,,,,,,,,,,,
25,2022,San Bernardo,dgo-18.025,10,10025,10026,,5,jun,,,,no coal,MANUEL EULOGIO RODRIGUEZ AGUIRRE,morena,MARTHA CATALINA SOTO ANAYA,,mujer,MARIA RUTILA VILLA LERMA,,mujer,JESUS ARIEL CABRIALES MENDEZ,hombre,,,,,,
26,2022,San Dimas,dgo-18.026,10,10026,10027,,5,jun,JESUS ALEJANDRO GURROLA ROMERO,ALEJANDRO GURROLA AG,hombre,pan,ARMANDO BARRON ALVARADO,morena,,,,,,,,,,,,,,
27,2022,San Juan de Guadalupe,dgo-18.027,10,10027,10028,,5,jun,,,,no coal,LUZ MARIA CASTAÑEDA URIBE,morena,NANCI MAGALI ESQUIVEL HERNANDEZ,,mujer,ANA FAVIOLA MORALES WEVER,,mujer,MARCO ANTONIO QUIROZ LOMAS,hombre,,,,,,
28,2022,San Juan del Río,dgo-18.028,10,10028,10029,,5,jun,HUGO ALBERTO GANDARA,,hombre,pri,GLORIA GONZALEZ ARANGO,morena,,,,,,,,,,,,,,
29,2022,San Luis del Cordero,dgo-18.029,10,10029,10030,,5,jun,,,,no coal,MARIA GUADALUPE CHAVARRIA CORCHADO,morena,MARIA MAYELA RUIZ,MAYE RUIZ,mujer,ANDRES RUBIO CASTRO,EL PROFE ANDRES,hombre,MARGARITA SANTILLANO ORTIZ,mujer,,,,,,
30,2022,San Pedro del Gallo,dgo-18.030,10,10030,10031,,5,jun,REGINALDO CARRILLO VALDEZ,,hombre,pan,GILBERTO GARCIA RUIZ,morena,,,,,,,,,,,,,,
31,2022,Santa Clara,dgo-18.031,10,10031,10032,,5,jun,MARIA ABIGAIL FRAYRE CARRANZA,,mujer,pri,SANDRA ALICIA MARTINEZ AGUILAR,morena,,,,,,,,,,,,,,
32,2022,Santiago Papasquiaro,dgo-18.032,10,10032,10033,,5,jun,JULIAN CESAR RIVAS B. NEVAREZ,CESAR RIVAS,hombre,pan,SOSE DE JESUS GUTIERREZ ACOSTA,morena,,,,,,,,,,,,,,
33,2022,Súchil,dgo-18.033,10,10033,10034,,5,jun,YESICA NATALIA MIER GOMEZ,,mujer,pan,RODOLFO ALONSO VIDALES,pt,,,,,,,,,,,,,,
34,2022,Tamazula,dgo-18.034,10,10034,10035,,5,jun,LEOPOLDO NAPOLEON HERRERA QUIÑONEZ,,hombre,pri,RICARDO OCHOA BELTRAN,morena,,,,,,,,,,,,,,
35,2022,Tepehuanes,dgo-18.035,10,10035,10036,,5,jun,MARICELA CORRAL LOPEZ,,mujer,pri,DORA ELIA ENRIQUES MONARREZ,morena,,,,,,,,,,,,,,
36,2022,Tlahualilo,dgo-18.036,10,10036,10037,,5,jun,,,,no coal,pending,morena,SERGIO HUMBERTO NEVAREZ RODRIGUEZ,SERGIO NEVAREZ JR.,hombre,FLOR YESENIA CARDOZA FARIAS,,mujer,JESUS FRANCO HUERTA,hombre,,,,,,
