Búsqueda Elecciones

Diputados Federales 1979-1994:1991-

AÑO,ESTADO,No DISTRITO,DISTRITO,PAN,PRI,PRD,PT,PVEM,COALICIONES,OTROS,Votos Efectivos,No Registrados,Anulados,Total de Votos,Lista Nominal,
1991,Aguascalientes,1001,Aguascalientes,32905,82299,4247,1458,2415,0,11715,135039,0,0,0,191588,
1991,Aguascalientes,1002,Jesús María,7724,55328,1234,406,276,0,7095,72063,0,0,0,121765,
1991,Baja California,2001,Mexicali,32428,36466,1717,1348,960,0,3986,76905,0,0,0,100218,
1991,Baja California,2002,Tijuana,27375,25468,1324,249,457,0,1799,56672,0,0,0,77217,
1991,Baja California,2003,Ensenada,44713,48166,4819,390,1300,0,5662,105050,0,0,0,142594,
1991,Baja California,2004,Mexicali,54148,75135,3529,2526,1014,0,8759,145111,0,0,0,188583,
1991,Baja California,2005,Tijuana,30029,24083,684,202,417,0,2026,57441,0,0,0,78062,
1991,Baja California,2006,Tijuana,67192,52879,3784,2158,614,0,4564,131191,0,0,0,181476,
1991,Baja California Sur,3001,La Paz,13314,38292,1066,398,451,0,4912,58433,0,0,0,91933,
1991,Baja California Sur,3002,Mulegè,8802,21658,267,161,41,0,822,31751,0,0,31751,52179,
1991,Campeche,4001,Carmen,833,52595,3432,193,216,0,4343,61612,0,0,0,100406,
1991,Campeche,4002,Campeche,4132,62211,2739,134,609,0,14028,83853,0,0,0,120720,
1991,Chiapas,7001,Tuxtla,12984,66850,5235,937,807,0,19219,106032,0,0,0,261843,
1991,Chiapas,7002,Sn. C. de las Casas,2734,68338,4591,261,351,0,8266,84541,0,0,0,160100,
1991,Chiapas,7003,C. de Dominguez,1286,105755,4362,340,125,0,7525,119393,0,0,0,204296,
1991,Chiapas,7004,Pichucalco,3754,74420,1718,89,18,0,5564,85563,0,0,0,148170,
1991,Chiapas,7005,Tapachula,9908,67269,6440,262,55,0,16960,100894,0,0,0,200745,
1991,Chiapas,7006,Palenque,2989,70117,7059,582,87,0,9803,90637,0,0,0,185514,
1991,Chiapas,7007,Huixtla,6669,63928,7500,260,42,0,11582,89981,0,0,0,154284,
1991,Chiapas,7008,Tonalá,10240,53643,2369,459,22,0,6375,73108,0,0,0,143225,
