edon,disn,pan,pri,prd,pvem,pt,mc,morena,indep,pan.pri.prd,pvem.pt.morena,nr,nul,tot,lisnom,cab,fuente
1,101,74830,23971,6565,8769,7587,15288,71065,,3768,3168,137,7178,222326,364676,JESUS MARIA,ine computos distritales pre trife
1,102,72198,8873,4829,5787,3624,20862,63580,,4163,4625,218,4533,193292,347196,AGUASCALIENTES,ine computos distritales pre trife
1,103,120511,14465,3473,6466,3483,16793,62028,,0,4506,230,9149,241104,385495,AGUASCALIENTES,ine computos distritales pre trife
2,201,48257,8753,1451,6802,3726,15030,77248,,2347,0,153,7249,171016,331719,MEXICALI,ine computos distritales pre trife
2,202,33786,7401,1434,8147,5581,14428,85145,,1665,0,149,8575,166311,342529,MEXICALI,ine computos distritales pre trife
2,203,23621,9988,2952,11088,10034,13802,84747,,1532,0,353,10939,169056,334438,ENSENADA,ine computos distritales pre trife
2,204,9204,4324,1490,11484,16245,14399,105946,,653,0,203,9940,173888,364426,TIJUANA,ine computos distritales pre trife
2,205,39133,11502,2476,11858,12983,18945,89821,,2218,0,304,9864,199104,401515,TIJUANA,ine computos distritales pre trife
2,206,27962,10203,1815,14042,11688,18058,88852,,1699,0,256,10127,184702,380391,TIJUANA,ine computos distritales pre trife
2,207,21719,7061,1730,10091,6718,13874,82931,,1090,0,247,9712,155173,327244,MEXICALI,ine computos distritales pre trife
2,208,15468,5577,1801,11868,9254,14880,95305,,975,6403,214,4255,166000,358519,TIJUANA,ine computos distritales pre trife
2,209,11628,8957,1647,13310,7704,15959,87019,,782,0,194,9979,157179,357047,TECATE,ine computos distritales pre trife
3,301,51525,8188,1887,9609,9811,15450,82032,,4366,9322,146,5845,198181,345208,LA PAZ,ine computos distritales pre trife
3,302,35640,4191,1719,6766,14198,8970,51730,,2048,6668,177,4953,137060,268422,SAN JOSE DEL CABO,ine computos distritales pre trife
4,401,9225,33563,1541,7440,6985,84744,80725,,1649,6823,156,6752,239603,347794,SAN FRANCISCO DE CAMPECHE,ine computos distritales pre trife
4,402,10433,9522,1114,6215,7873,56572,98541,,867,8693,113,6291,206234,346824,CIUDAD DEL CARMEN,ine computos distritales pre trife
5,501,4742,80832,4066,5987,8566,6410,72042,,1593,5417,46,5018,194719,328757,PIEDRAS NEGRAS,ine computos distritales pre trife
5,502,6209,71098,5523,7484,14198,5072,78416,,879,4449,68,5542,198938,290808,SAN PEDRO,ine computos distritales pre trife
5,503,14359,85278,5209,11390,8160,7704,74760,,1317,3526,45,4907,216655,329926,MONCLOVA,ine computos distritales pre trife
5,504,19032,88668,1953,6683,4216,13177,70149,,2909,4428,103,4110,215428,330576,SALTILLO,ine computos distritales pre trife
5,505,21779,70930,1759,10016,3866,5763,66995,,2209,6592,69,3472,193450,276852,TORREON,ine computos distritales pre trife
5,506,14187,66594,1917,5453,4598,5885,73263,,1648,6564,66,3427,183602,270346,TORREON,ine computos distritales pre trife
5,507,8687,75226,2074,6829,4590,11835,81839,,1809,5103,88,4083,202163,326821,SALTILLO,ine computos distritales pre trife
5,508,6459,63224,2883,7292,5999,5158,71561,,909,4073,41,4061,171660,256718,RAMOS ARIZPE,ine computos distritales pre trife
6,601,32231,31081,3091,8932,6401,32595,55643,,4665,6648,192,5840,187319,308001,COLIMA,ine computos distritales pre trife
6,602,14500,16615,3205,11323,4586,21548,66305,,2140,6064,113,4864,151263,276286,VALLE DE LAS GARZAS,ine computos distritales pre trife
7,701,4227,5757,1806,81942,21984,11216,64217,,445,2629,140,13608,207971,284181,PALENQUE,ine computos distritales pre trife
7,702,5358,37687,3916,27856,22538,5335,61683,,600,751,59,15458,181241,255637,BOCHIL,ine computos distritales pre trife
7,703,3264,5572,1641,41192,38756,5661,88446,,280,1854,216,8709,195591,288804,OCOSINGO,ine computos distritales pre trife
7,704,8018,14910,6117,23925,20849,13665,89793,,701,2319,117,19611,200025,282148,PICHUCALCO,ine computos distritales pre trife
7,705,7541,64900,3972,10698,19779,15360,56615,,1534,2250,216,15033,197898,315208,SAN CRISTOBAL DE LAS CASAS,ine computos distritales pre trife
7,706,11472,8465,2323,33064,25437,14555,72267,,1536,4983,160,11260,185522,319720,TUXTLA GUTIERREZ,ine computos distritales pre trife
7,707,7304,8857,1881,44187,14159,10132,96013,,693,0,109,11958,195293,334559,TONALA,ine computos distritales pre trife
7,708,5555,10806,1968,51349,25057,7904,62674,,1025,3320,76,11119,180853,273652,COMITAN DE DOMINGUEZ,ine computos distritales pre trife
7,709,24170,11970,2011,8391,6213,21726,71608,10032,3160,5951,265,8084,173581,339540,TUXTLA GUTIERREZ,ine computos distritales pre trife
7,710,9731,10584,3687,38319,9691,12546,84318,,1056,2090,155,14725,186902,324001,VILLAFLORES,ine computos distritales pre trife
7,711,3446,7868,2462,48041,17419,5824,81723,,417,1402,83,15017,183702,292312,LAS MARGARITAS,ine computos distritales pre trife
7,712,11126,11904,2087,32811,16802,15352,76276,,1389,0,155,13763,181665,313366,TAPACHULA,ine computos distritales pre trife
7,713,6799,20023,2926,43597,23545,9781,60342,,1250,3189,61,14002,185515,321433,HUEHUETAN,ine computos distritales pre trife
8,801,13244,6634,1135,6893,5019,15018,95088,,1089,7462,92,3532,155206,305759,JUAREZ,ine computos distritales pre trife
8,802,6420,5068,1150,5131,5422,8499,84947,,752,6389,96,2958,126832,292461,JUAREZ,ine computos distritales pre trife
8,803,12093,8559,1592,8147,6630,11300,94023,,1461,9708,156,4988,158657,355913,JUAREZ,ine computos distritales pre trife
8,804,50675,15296,2013,7886,6468,15228,75494,,3702,8613,212,3867,189454,345517,JUAREZ,ine computos distritales pre trife
8,805,62617,27226,4015,6540,4724,16722,56985,,5121,4976,70,5300,194296,356137,DELICIAS,ine computos distritales pre trife
8,806,104206,18531,3484,5953,3421,15029,61070,,5805,5515,135,3859,227008,371404,CHIHUAHUA,ine computos distritales pre trife
8,807,46413,21856,2716,6721,7997,21031,60239,,4237,5570,68,7911,184759,366477,CUAUHTEMOC,ine computos distritales pre trife
8,808,73049,17623,3674,8703,6477,13965,70561,,5159,7920,141,4744,212016,383927,CHIHUAHUA,ine computos distritales pre trife
8,809,27794,39495,1987,8464,5715,21937,54432,,4324,3450,86,9707,177391,304829,HIDALGO DEL PARRAL,ine computos distritales pre trife
9,901,32301,14608,4677,11761,8058,19287,118599,,4198,13120,236,5879,232724,346230,GUSTAVO A. MADERO,ine computos distritales pre trife
9,902,72074,31832,6720,12075,8937,26945,103918,,9059,12227,430,6938,291155,411124,GUSTAVO A. MADERO,ine computos distritales pre trife
9,903,66336,22793,5461,13381,8292,24882,111223,,7335,12489,290,5263,277745,384044,AZCAPOTZALCO,ine computos distritales pre trife
9,904,25190,12081,4838,11514,7768,16402,101529,,3516,12141,205,4835,200019,302032,IZTAPALAPA,ine computos distritales pre trife
9,905,53861,18037,5636,12141,8678,21274,93798,,6254,12357,219,6106,238361,349499,TLALPAN,ine computos distritales pre trife
9,906,71186,26478,5276,10883,6967,18269,88204,,6697,10817,327,5483,250587,345995,LA MAGDALENA CONTRERAS,ine computos distritales pre trife
9,907,51563,27787,10572,12861,8755,27695,122486,,7824,13454,280,6722,289999,412931,GUSTAVO A. MADERO,ine computos distritales pre trife
9,908,74949,21351,12145,11531,9205,22734,98749,,7141,10949,420,6148,275322,379210,COYOACAN,ine computos distritales pre trife
9,909,29412,17494,5642,9948,6632,29083,88604,,4392,9876,206,6211,207500,318695,TLAHUAC,ine computos distritales pre trife
9,910,95874,17138,4115,8620,6023,18111,71206,,7355,8339,258,3657,240696,329179,MIGUEL HIDALGO,ine computos distritales pre trife
9,911,59391,27458,6996,13004,9051,25610,113810,,8124,12497,320,6279,282540,404600,VENUSTIANO CARRANZA,ine computos distritales pre trife
9,912,70027,29983,6953,9736,7209,23148,86526,,9057,11097,496,5928,260160,379246,CUAUHTEMOC,ine computos distritales pre trife
9,913,56801,21358,5619,12673,8376,24607,100452,,7154,11602,368,5865,254875,364050,IZTACALCO,ine computos distritales pre trife
9,914,81035,21875,8353,12463,8640,8437,96968,,8289,11076,433,6272,263841,362268,TLALPAN,ine computos distritales pre trife
9,915,156886,20196,6531,6560,4899,20012,58493,,10330,6052,418,4738,295115,384081,BENITO JUAREZ,ine computos distritales pre trife
9,916,51880,17204,5062,10777,6485,19982,90847,,6269,10746,262,4972,224486,322946,ALVARO OBREGON,ine computos distritales pre trife
9,917,77740,18223,4556,23974,6557,21571,79693,,5925,9912,299,5286,253736,352783,ALVARO OBREGON,ine computos distritales pre trife
9,918,44336,17865,8678,14411,9214,22259,114047,,5947,13616,271,6065,256709,373185,IZTAPALAPA,ine computos distritales pre trife
9,919,81948,21681,8071,10000,6369,19891,77888,,7901,8952,231,4680,247612,333475,COYOACAN,ine computos distritales pre trife
9,920,29983,19841,10787,14893,10658,19946,132832,,4949,15954,202,6399,266444,405048,IZTAPALAPA,ine computos distritales pre trife
9,921,33789,21728,5407,11318,9264,30862,90574,,4882,11277,232,8732,228065,354364,XOCHIMILCO,ine computos distritales pre trife
9,922,13146,8289,4437,10648,7386,12747,108710,,2123,14080,146,4980,186692,304052,IZTAPALAPA,ine computos distritales pre trife
10,1001,24126,41377,1996,7006,9175,8552,70950,,3322,5795,102,5749,178150,341482,VICTORIA DE DURANGO,ine computos distritales pre trife
10,1002,15724,47652,2483,6141,6873,12101,84814,,3332,9627,91,4155,192993,342707,GOMEZ PALACIO,ine computos distritales pre trife
10,1003,19364,40892,8092,14813,7764,8941,78059,,3118,8621,94,6188,195946,357604,LERDO,ine computos distritales pre trife
10,1004,39953,43199,2300,6161,12661,23755,57501,,5389,7428,112,5091,203550,355825,VICTORIA DE DURANGO,ine computos distritales pre trife
11,1101,58434,19827,3299,9594,5614,11592,49232,,2356,2260,133,6629,168970,294341,SAN LUIS DE LA PAZ,ine computos distritales pre trife
11,1102,49381,16038,1507,8975,6631,14804,73408,,1789,3664,144,6152,182493,340704,SAN MIGUEL DE ALLENDE,ine computos distritales pre trife
11,1103,121850,8380,1235,7147,2538,14661,49477,,3539,4158,165,3552,216702,333949,LEON,ine computos distritales pre trife
11,1104,59710,18722,1574,15282,5102,10663,48269,,0,2913,169,6088,168492,292768,GUANAJUATO,ine computos distritales pre trife
11,1105,82925,6304,1043,6701,2260,12741,51310,,2701,4278,131,3385,173779,307387,LEON,ine computos distritales pre trife
11,1106,86035,6530,1131,6515,2437,12201,50809,,0,3984,119,4798,174559,300446,LEON,ine computos distritales pre trife
11,1107,67037,22071,850,7672,3161,8116,38190,,1990,2333,63,3775,155258,273927,SAN FRANCISCO DEL RINCON,ine computos distritales pre trife
11,1108,52761,10651,6334,8067,5228,15251,87669,,1718,4830,186,5147,197842,343828,SALAMANCA,ine computos distritales pre trife
11,1109,66666,6106,1162,6004,2986,15018,59515,,2091,3703,75,3755,167081,311508,IRAPUATO,ine computos distritales pre trife
11,1110,52281,8638,1612,21856,4601,24679,79292,,1685,4542,125,5781,205092,373354,URIANGATO,ine computos distritales pre trife
11,1111,94141,8957,1397,7710,2876,15134,57814,,0,4708,124,5551,198412,330401,LEON,ine computos distritales pre trife
11,1112,65377,9717,1492,7627,3311,20169,81023,,2877,6117,145,3663,201518,342706,CELAYA,ine computos distritales pre trife
11,1113,59367,13094,2310,9251,3307,10683,75459,,1605,3988,53,5156,184273,357069,VALLE DE SANTIAGO,ine computos distritales pre trife
11,1114,53199,13117,1514,10364,3604,10618,64335,,1934,3676,110,5779,168250,322921,ACAMBARO,ine computos distritales pre trife
11,1115,56207,5789,1274,5196,3297,12938,66924,,2001,4692,103,3525,161946,305995,IRAPUATO,ine computos distritales pre trife
12,1201,13068,21731,10286,13464,10639,10592,118695,,1845,4805,164,9917,215206,360826,CD. ALTAMIRANO,ine computos distritales pre trife
