inegi,ife,PARTIDO_CI,CANDIDATURA
1,1,PAN,Briseida Anabel Magdaleno González
1,1,PRI,Juan Antonio Negrete Martínez
1,1,PRD,Marisela Espinosa Negrete
1,1,PVEM,María Verónica Hurtado Ramírez
1,1,PT,Ma. Lourdes Negrete Santacruz
1,1,MC,Ana Teresa García Rizo
1,1,MORENA,Job Eduardo Gallardo Santellano
2,2,PAN,Claudia Silva Campos
2,2,PRI,Claudia Silva Campos
2,2,PRD,Claudia Silva Campos
2,2,PVEM,Paulet Fernández Martínez
2,2,PT,Mayra Alcantar León
2,2,MC,Tonathiu Albarrán Martínez
2,2,MORENA,Olga Lidia Tirado Zúñiga
3,3,PAN,María Verónica Agundis Estrada
3,3,PRI,Mauricio Trejo Pureco
3,3,PRD,Laura Lizbeth Aguilar León
3,3,PVEM,Mariana Verónica Arzola Zarate
3,3,PT,Ma. Guadalupe Serrato Monzón
3,3,MC,Dulce María Perales Betancourt
3,3,MORENA,Osvaldo García Arteaga
3,3,CI,Raúl Eugenio Ramírez Riba
4,4,PAN,Guadalupe Monserrat Mendoza Cano
4,4,PRI,Guadalupe Monserrat Mendoza Cano
4,4,PRD,Guadalupe Monserrat Mendoza Cano
4,4,PVEM,Kenia Laura Patiño Loyola
4,4,MC,Iván Ortiz Mandujano
4,4,MORENA,Evelyn Arteaga Vázquez
5,5,PAN,José Luis Oliveros Usabiaga
5,5,PRI,José Luis Oliveros Usabiaga
5,5,PRD,José Luis Oliveros Usabiaga
5,5,PVEM,José Juan Bravo Valenzuela
5,5,PT,Rosa María Moreno Hernández
5,5,MC,Consuelo Camargo Olvera
5,5,MORENA,Benito Juárez Arvizu
6,6,PAN,José Luis Rivas Loyola
6,6,PRI,J. Miguel Romero Sandoval
6,6,PRD,María del Carmen Orozco García
6,6,PT,Juan Manuel Espinoza Cervantes
6,6,MORENA,Tatiana Dorado Mejía
7,7,PAN,Francisco Javier Mendoza Márquez
7,7,PRI,Francisco Javier Mendoza Márquez
7,7,PRD,Francisco Javier Mendoza Márquez
7,7,PVEM,Jorge Enrique Velázquez Centeno
7,7,PT,Jorge Alberto Acuña Dávalos
7,7,MC,Luis Guillermo Ortiz Alva
7,7,MORENA,Juan Miguel Ramirez Sanchez
8,8,PAN,Blanca Haydee Preciado Pérez
8,8,PRI,Gustavo Adolfo Alfaro Reyes
8,8,PVEM,Ana María Hernández Ayala
8,8,PT,Renato García González
8,8,MC,Liliana Lozano Rodríguez
8,8,MORENA,Mayra de Jesús Méndez Carvajal
9,9,PAN,Claudio Santoyo Cabello
9,9,PRI,Viridiana Yunuen Ramírez Estrada
9,9,PRD,Miguel Ángel Prado Camacho
9,9,PVEM,Claudia Elisa Rodríguez Moreno
9,9,PT,Felipe Vargas Vazquez
9,9,MC,Karim Isidro Flores Pérez
9,9,MORENA,Gilberto Zarate Nieves
10,10,PAN,Luis Fernando Velázquez Esquivel
10,10,PRI,Aurelio Cano Chaparro
10,10,PVEM,Argelia Soto Ruiz
10,10,MORENA,Edgar del Ángel García
11,11,PAN,Marlene de Anda Oliva
11,11,PRI,Marlene de Anda Oliva
11,11,PRD,Marlene de Anda Oliva
11,11,PVEM,Carlos Romero Villegas
11,11,PT,Dante Darío Rodríguez Juárez
11,11,MC,Marco Mauricio Estefanía Torres
11,11,MORENA,María de la Cruz Mata Medina
12,12,PAN,Ana Rosa Bueno Macías
12,12,PRI,Mauricio Arce Canchola
12,12,PVEM,Lorenzo Olmedo Rojas
12,12,PT,Humberto Hernández Martínez
12,12,MORENA,Rodolfo Bravo Ornelas
13,13,PAN,Christian Flavio Ríos Galicia
