ife,inegi,MUNICIPIO_LOCAL,pan,1,pri,2,prd,3,pvem,4,pt,5,mc,6,morena,7,somos,8,pes,9,hagamos,10,futuro,11,rsp,12,fxm,13,indep,14,nr,nul,lisnom
14001,14001,ACATIC,3024,pan,924,pri,0,prd,56,pvem,0,pt,1957,mc,342,morena,0,somos,0,pes,2086,hagamos,0,futuro,0,rsp,351,fxm,0,,0,225,17012
14002,14002,ACATLAN DE JUAREZ,783,pan,395,pri,0,prd,199,pvem,0,pt,2720,mc,2257,morena,0,somos,1593,pes,999,hagamos,0,futuro,23,rsp,781,fxm,0,,1,147,17917
14003,14003,AHUALULCO DE MERCADO,495,pan,4482,pri,0,prd,0,pvem,198,pt,5203,mc,846,morena,0,somos,0,pes,712,hagamos,0,futuro,0,rsp,0,fxm,0,,0,123,17828
14004,14004,AMACUECA,17,pan,714,pri,308,prd,0,pvem,0,pt,1561,mc,408,morena,0,somos,0,pes,101,hagamos,0,futuro,0,rsp,0,fxm,0,,0,47,4621
14005,14005,AMATITAN,983,pan,875,pri,862,prd,863,pvem,0,pt,1371,mc,1928,morena,0,somos,11,pes,402,hagamos,85,futuro,59,rsp,129,fxm,0,,0,96,11787
14006,14006,AMECA,1700,pan,6448,pri,187,prd,568,pvem,0,pt,10602,mc,3111,morena,0,somos,137,pes,938,hagamos,558,futuro,0,rsp,385,fxm,0,,58,462,50902
14007,14007,SAN JUANITO DE ESCOBEDO,960,pan,507,pri,0,prd,17,pvem,851,pt,840,mc,609,morena,0,somos,87,pes,110,hagamos,0,futuro,0,rsp,0,fxm,0,,1,75,7494
14008,14008,ARANDAS,5020,pan,4028,pri,0,prd,0,pvem,232,pt,10643,mc,1448,morena,0,somos,250,pes,6652,hagamos,0,futuro,100,rsp,1419,fxm,0,,25,832,60510
14009,14009,EL ARENAL,1195,pan,522,pri,0,prd,24,pvem,1976,pt,1320,mc,766,morena,145,somos,0,pes,2171,hagamos,669,futuro,0,rsp,575,fxm,0,,0,104,15090
14010,14010,ATEMAJAC DE BRIZUELA,1618,pan,302,pri,0,prd,7,pvem,0,pt,604,mc,1183,morena,0,somos,23,pes,78,hagamos,0,futuro,0,rsp,0,fxm,0,,0,47,5018
14011,14011,ATENGO,1159,pan,1274,pri,0,prd,0,pvem,0,pt,132,mc,78,morena,0,somos,0,pes,763,hagamos,0,futuro,0,rsp,0,fxm,0,,0,48,4573
14012,14012,ATENGUILLO,14,pan,409,pri,0,prd,0,pvem,0,pt,1104,mc,73,morena,0,somos,13,pes,646,hagamos,0,futuro,0,rsp,0,fxm,0,,1,44,3521
14013,14013,ATOTONILCO EL ALTO,5335,pan,7207,pri,74,prd,754,pvem,225,pt,4402,mc,2205,morena,0,somos,703,pes,575,hagamos,482,futuro,170,rsp,208,fxm,6,ind_rhca,11,524,49705
14014,14014,ATOYAC,881,pan,929,pri,55,prd,0,pvem,0,pt,1454,mc,256,morena,0,somos,32,pes,628,hagamos,0,futuro,0,rsp,160,fxm,0,,0,92,7106
14015,14015,AUTLAN DE NAVARRO,1287,pan,8751,pri,174,prd,0,pvem,158,pt,6793,mc,4149,morena,0,somos,239,pes,829,hagamos,46,futuro,135,rsp,646,fxm,0,,5,434,51869
14016,14016,AYOTLAN,178,pan,3328,pri,0,prd,76,pvem,317,pt,5386,mc,830,morena,0,somos,352,pes,591,hagamos,0,futuro,5145,rsp,210,fxm,0,,1,313,30600
14017,14017,AYUTLA,985,pan,84,pri,0,prd,0,pvem,58,pt,2931,mc,2005,morena,0,somos,134,pes,113,hagamos,36,futuro,0,rsp,0,fxm,0,,0,133,10512
