inegi,ife,MUNICIPIO,pan,pri,prd,pt,pvem,mc,morena,pna,pes,rsp,fxm,pan-pri-prd,pt-morena-pna,indep,indep2,nr,nul,tot,lisnom,fuente
15001,15001,ACAMBAY DE RUIZ CASTAÑEDA,8750,9866,118,187,916,182,4944,320,3540,0,1324,,63,,,2,748,30960,48380,iee 4sep2021
15002,15002,ACOLMAN,12723,13516,390,557,2045,560,16929,335,639,1232,586,,181,,,28,915,50636,87279,iee 4sep2021
15003,15003,ACULCO,551,8279,185,0,5204,433,0,0,318,3195,274,204,3306,,,55,604,22608,34643,iee 4sep2021
15004,15004,ALMOLOYA DE ALQUISIRAS,177,6157,55,0,159,141,0,0,0,57,47,139,1067,,,141,352,8492,12193,iee 4sep2021
15005,15005,ALMOLOYA DE JUAREZ,5053,24217,2137,2655,14098,800,13855,699,1136,974,992,,714,,,228,1903,69461,119160,iee 4sep2021
15006,15006,ALMOLOYA DEL RIO,59,874,378,0,1539,298,0,0,222,168,492,40,1082,,,769,174,6095,8866,iee 4sep2021
15007,15007,AMANALCO,298,2409,255,219,594,3411,2678,104,1838,301,906,141,61,,,0,446,13661,18836,iee 4sep2021
15008,15008,AMATEPEC,197,7477,1803,0,144,0,0,0,0,0,0,145,3415,,,8,457,13646,20568,iee 4sep2021
15009,15009,AMECAMECA,3465,7996,484,228,3602,2549,5856,113,1223,759,699,,35,,,68,597,27674,43027,iee 4sep2021
15010,15010,APAXCO,1949,2238,268,0,2299,88,0,0,61,584,6429,,472,,,4,346,14738,22555,iee 4sep2021
15011,15011,ATENCO,589,6129,2319,213,589,1660,7493,292,223,85,1276,,66,4005,,12,492,25443,47691,iee 4sep2021
15012,15012,ATIZAPAN,871,1940,349,101,66,24,750,25,539,709,150,,12,,,3,228,5767,8944,iee 4sep2021
15013,15013,ATIZAPAN DE ZARAGOZA,81315,29335,2776,2579,7387,5678,66735,2290,2616,1640,3783,3101,1133,,,232,4468,215068,411231,iee 4sep2021
15014,15014,ATLACOMULCO,1498,13650,217,1559,3761,1814,11404,487,743,522,7493,402,278,2105,,21,962,46916,79186,iee 4sep2021
15015,15015,ATLAUTLA,300,3810,495,185,408,1025,3824,133,810,2401,214,,47,796,,8,301,14757,22341,iee 4sep2021
15016,15016,AXAPUSCO,2968,5357,485,1631,197,760,1250,126,66,183,854,,,,,4,303,14184,19039,iee 4sep2021
15017,15017,AYAPANGO,127,786,1975,64,319,88,1144,13,0,17,25,,6,,,1,95,4660,6197,iee 4sep2021
15018,15018,CALIMAYA,7730,3236,335,1415,1535,341,7032,389,172,421,259,448,181,1880,,12,613,25999,41658,iee 4sep2021
15019,15019,CAPULHUAC,1629,3888,2698,0,494,76,0,0,222,411,1658,,2493,,,14,300,13883,26898,iee 4sep2021
