munn,inegi,ife,MUNICIPIO,pan,x,pri,x,prd,x,pt,x,pvem,x,mc,x,morena,x,pes,x,pmm,x,mich1,x,txm,x,indep1,x,indep2,x,pvem.pt.morena,x,pvem.pt,x,pt.morena,x,pvem.morena,x,pan.pri.prd,x,pan.pri,x,pan.prd,x,pri.prd,x,prd.pes,x,pt.pes,x,nr,nul,lisnom
1,16001,16001,Acuitzio,443,pan,114,pri,63,prd,547,pt,125,pvem,187,mc,256,morena,133,pes,1040,pmm,11,mich1,164,txm,242,indep1,,,138,pvem.pt.morena,,,,,,,,,79,pan.pri,,,,,,,,,2,146,5508
2,16002,16002,Aguililla,17,pan,51,pri,29,prd,79,pt,1420,pvem,,,396,morena,,,,,,,,,,,,,,,,,54,pt.morena,,,13,pan.pri.prd,,,,,,,,,,,3,176,5559
3,16003,16003,Álvaro Obregón,116,pan,925,pri,85,prd,1025,pt,209,pvem,1141,mc,363,morena,1010,pes,66,pmm,,,,,,,,,,,,,,,,,122,pan.pri.prd,,,,,,,,,,,0,178,8575
4,16004,16004,Angamacutiro,79,pan,1093,pri,251,prd,139,pt,341,pvem,,,1408,morena,,,,,,,18,txm,,,,,371,pvem.pt.morena,,,,,,,221,pan.pri.prd,,,,,,,,,,,0,114,6294
5,16005,16005,Angangueo,12,pan,371,pri,43,prd,635,pt,48,pvem,466,mc,243,morena,8,pes,1,pmm,,,,,,,,,187,pvem.pt.morena,,,,,,,,,49,pan.pri,,,,,,,,,0,99,4563
6,16006,16006,Apatzingán,710,pan,1146,pri,1041,prd,454,pt,631,pvem,3724,mc,4836,morena,105,pes,10,pmm,91,mich1,43,txm,,,,,758,pvem.pt.morena,,,,,,,352,pan.pri.prd,,,,,,,,,,,12,520,48816
7,16007,16007,Áporo,9,pan,166,pri,85,prd,30,pt,4,pvem,222,mc,144,morena,15,pes,26,pmm,,,197,txm,,,,,39,pvem.pt.morena,,,,,,,,,,,,,,,6,prd.pes,,,0,52,1527
8,16008,16008,Aquila,34,pan,196,pri,165,prd,75,pt,4320,pvem,,,292,morena,,,,,2,mich1,28,txm,,,,,,,,,,,,,2,pan.pri.prd,,,,,,,,,,,1,388,8404
9,16009,16009,Ario,1777,pan,496,pri,182,prd,296,pt,1445,pvem,2128,mc,658,morena,,,1,pmm,58,mich1,25,txm,,,,,485,pvem.pt.morena,,,,,,,,,423,pan.pri,,,,,,,,,1,333,15102
10,16010,16010,Arteaga,71,pan,347,pri,147,prd,297,pt,118,pvem,90,mc,1487,morena,25,pes,,,,,,,,,,,223,pvem.pt.morena,,,,,,,,,8,pan.pri,,,,,1,prd.pes,,,8,232,7518
11,16011,16011,Briseñas,169,pan,428,pri,143,prd,16,pt,42,pvem,569,mc,288,morena,4,pes,,,,,,,,,,,,,,,,,38,pvem.morena,,,,,,,50,pri.prd,,,,,1,39,3374
12,16012,16012,Buenavista,188,pan,1699,pri,725,prd,178,pt,152,pvem,,,1554,morena,28,pes,,,41,mich1,1178,txm,,,,,145,pvem.pt.morena,,,,,,,,,,,,,,,,,,,1,283,16176
13,16013,16013,Carácuaro,5,pan,22,pri,1279,prd,25,pt,51,pvem,,,134,morena,27,pes,,,,,,,,,,,23,pvem.pt.morena,,,,,,,,,,,,,,,24,prd.pes,,,0,115,3612
14,16014,16014,Coahuayana,121,pan,148,pri,684,prd,82,pt,295,pvem,194,mc,325,morena,250,pes,769,pmm,,,41,txm,,,,,110,pvem.pt.morena,,,,,,,78,pan.pri.prd,,,,,,,,,,,0,107,6147
15,16015,16015,Coalcomán de Vázquez Pallares,31,pan,152,pri,1049,prd,27,pt,195,pvem,977,mc,130,morena,198,pes,,,,,,,,,,,61,pvem.pt.morena,,,,,,,,,9,pan.pri,,,,,4,prd.pes,,,2,134,6849
16,16016,16016,Coeneo,20,pan,39,pri,1602,prd,212,pt,156,pvem,853,mc,1622,morena,,,,,,,,,,,,,271,pvem.pt.morena,,,,,,,,,1,pan.pri,,,,,,,,,0,225,10188
17,16017,16017,Contepec,369,pan,2179,pri,449,prd,349,pt,164,pvem,27,mc,2282,morena,88,pes,128,pmm,,,38,txm,,,,,468,pvem.pt.morena,,,,,,,357,pan.pri.prd,,,,,,,,,,,2,354,12615
18,16018,16018,Copándaro,7,pan,486,pri,166,prd,83,pt,47,pvem,812,mc,376,morena,,,,,,,,,,,,,141,pvem.pt.morena,,,,,,,,,,,,,132,pri.prd,,,,,1,93,4096
19,16019,16019,Cotija,1194,pan,161,pri,769,prd,68,pt,155,pvem,809,mc,428,morena,,,,,,,12,txm,,,,,85,pvem.pt.morena,,,,,,,,,128,pan.pri,,,,,,,,,5,183,8981
20,16020,16020,Cuitzeo,1711,pan,305,pri,1003,prd,1148,pt,97,pvem,55,mc,570,morena,217,pes,15,pmm,440,mich1,249,txm,,,,,219,pvem.pt.morena,,,,,,,,,,,,,116,pri.prd,,,,,0,250,12501
21,16021,16021,Charapan,,,95,pri,493,prd,79,pt,36,pvem,,,337,morena,393,pes,276,pmm,237,mich1,17,txm,,,,,32,pvem.pt.morena,,,,,,,,,,,,,,,,,,,0,120,2859
22,16022,16022,Charo,458,pan,265,pri,267,prd,278,pt,153,pvem,1669,mc,857,morena,,,25,pmm,,,15,txm,1346,indep1,,,189,pvem.pt.morena,,,,,,,2,pan.pri.prd,,,,,,,,,,,4,212,9289
23,16023,16023,Chavinda,295,pan,430,pri,293,prd,29,pt,32,pvem,735,mc,690,morena,22,pes,,,,,,,,,,,,,,,,,,,,,,,,,146,pri.prd,,,,,1,110,5834
25,16025,16025,Chilchota,17,pan,824,pri,1042,prd,546,pt,132,pvem,1167,mc,1822,morena,157,pes,321,pmm,,,71,txm,,,,,288,pvem.pt.morena,,,,,,,,,,,,,,,,,,,0,208,13169
26,16026,16026,Chinicuila,1,pan,16,pri,3,prd,12,pt,200,pvem,,,35,morena,226,pes,,,,,,,4,indep1,,,61,pvem.pt.morena,,,,,,,5,pan.pri.prd,,,,,,,,,,,0,16,1769
27,16027,16027,Chucándiro,28,pan,55,pri,463,prd,14,pt,90,pvem,,,99,morena,,,,,,,4,txm,,,,,46,pvem.pt.morena,,,,,,,124,pan.pri.prd,,,,,,,,,,,0,36,2279
28,16028,16028,Churintzio,874,pan,64,pri,161,prd,50,pt,17,pvem,,,460,morena,,,,,,,,,,,,,121,pvem.pt.morena,,,,,,,41,pan.pri.prd,,,,,,,,,,,1,43,3904
29,16029,16029,Churumuco,51,pan,2077,pri,153,prd,221,pt,373,pvem,6,mc,288,morena,14,pes,52,pmm,,,,,,,,,46,pvem.pt.morena,,,,,,,158,pan.pri.prd,,,,,,,,,,,0,164,5712
30,16030,16030,Ecuandureo,1133,pan,240,pri,176,prd,194,pt,60,pvem,,,490,morena,,,,,,,,,,,,,185,pvem.pt.morena,,,,,,,218,pan.pri.prd,,,,,,,,,,,8,108,5937
31,16031,16031,Epitacio Huerta,1111,pan,497,pri,392,prd,393,pt,150,pvem,52,mc,432,morena,7,pes,,,,,11,txm,,,,,,,,,,,,,,,,,,,,,2,prd.pes,,,0,145,5419
32,16032,16032,Erongarícuaro,,,1128,pri,236,prd,53,pt,40,pvem,,,1691,morena,489,pes,,,,,,,,,,,,,9,pvem.pt,,,,,,,,,,,175,pri.prd,,,,,0,289,4628
33,16033,16033,Gabriel Zamora,73,pan,102,pri,619,prd,1402,pt,409,pvem,118,mc,1036,morena,65,pes,318,pmm,,,,,,,,,194,pvem.pt.morena,,,,,,,,,,,,,11,pri.prd,,,,,0,150,8676
34,16034,16034,Hidalgo,2804,pan,3215,pri,1218,prd,4961,pt,760,pvem,4057,mc,4658,morena,391,pes,,,,,41,txm,,,,,,,569,pvem.pt,,,,,1516,pan.pri.prd,,,,,,,,,,,42,1555,48005
35,16035,16035,La Huacana,115,pan,826,pri,573,prd,1788,pt,196,pvem,,,2990,morena,42,pes,,,,,,,,,,,661,pvem.pt.morena,,,,,,,39,pan.pri.prd,,,,,,,,,,,1,409,11799
36,16036,16036,Huandacareo,129,pan,77,pri,920,prd,152,pt,79,pvem,204,mc,908,morena,38,pes,390,pmm,,,,,,,,,212,pvem.pt.morena,,,,,,,,,2,pan.pri,,,,,7,prd.pes,,,14,73,5402
37,16037,16037,Huaniqueo,33,pan,30,pri,638,prd,186,pt,530,pvem,70,mc,305,morena,59,pes,67,pmm,,,30,txm,,,,,,,,,,,,,,,1,pan.pri,,,,,,,,,1,103,3876
38,16038,16038,Huetamo,,,332,pri,5702,prd,167,pt,185,pvem,204,mc,1789,morena,138,pes,57,pmm,1,mich1,127,txm,,,,,191,pvem.pt.morena,,,,,,,,,,,,,,,3,prd.pes,,,1,412,18012
39,16039,16039,Huiramba,30,pan,238,pri,63,prd,439,pt,10,pvem,42,mc,183,morena,825,pes,23,pmm,86,mich1,38,txm,,,,,,,,,,,,,,,,,,,43,pri.prd,,,46,pt.pes,0,103,3681
