REPORTE DE LA ELECCIÓN DE AYUNTAMIENTOS POR MUNICIPIO Computos Morelos Proceso Electoral 2020-2021 IMPEPAC Viernes 17 de Septiembre de 2021 19:44:17,
MUNICIPIO,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_psd,cc_pan_humanista,coal_prd_pri,cc_prd_psd,cc_morena_na_es,cand_ind_agustin_toledano_amaro,cand_ind_celso_nieto_estrada,cand_ind_pedro_antonio_montenegro_morgado,no_registrados,num_votos_nulos,Tot.Votos,L.N./%P.C.
AMACUZAC,15,,,362,1015,1677,279,10,10,10,2,272,9,1838,178,41,2277,6,4,5,2,331,1,,,297,,,,,,0,169,8810,13645
,0.17%,,,4.11%,11.52%,19.04%,3.17%,0.11%,0.11%,0.11%,0.02%,3.09%,0.10%,20.86%,2.02%,0.47%,25.85%,0.07%,0.05%,0.06%,0.02%,3.76%,0.01%,,,3.37%,,,,,,0.00%,1.92%,100%,64.57%
ATLATLAHUCAN,2583,,,615,86,84,652,1487,10,83,165,1969,574,9,1077,5,2,114,234,132,5,59,14,,,294,,,2072,,,4,240,12569,18497
,20.55%,,,4.89%,0.68%,0.67%,5.19%,11.83%,0.08%,0.66%,1.31%,15.67%,4.57%,0.07%,8.57%,0.04%,0.02%,0.91%,1.86%,1.05%,0.04%,0.47%,0.11%,,,2.34%,,,16.49%,,,0.03%,1.91%,100%,67.95%
AXOCHIAPAN,23,,,1009,924,3387,4270,34,1003,127,1979,24,58,17,2,26,111,80,281,23,3,2134,10,,,357,,,,,,1,361,16244,27124
,0.14%,,,6.21%,5.69%,20.85%,26.29%,0.21%,6.17%,0.78%,12.18%,0.15%,0.36%,0.10%,0.01%,0.16%,0.68%,0.49%,1.73%,0.14%,0.02%,13.14%,0.06%,,,2.20%,,,,,,0.01%,2.22%,100%,59.89%
AYALA,12764,,,815,411,353,,267,371,170,196,2200,,,17,69,287,340,22,167,170,36,151,,,1107,,12713,,,,7,1043,33676,64805
,37.90%,,,2.42%,1.22%,1.05%,,0.79%,1.10%,0.50%,0.58%,6.53%,,,0.05%,0.20%,0.85%,1.01%,0.07%,0.50%,0.50%,0.11%,0.45%,,,3.29%,,37.75%,,,,0.02%,3.10%,100%,51.97%
COATLAN DEL RIO,25,,,8,4,20,254,3,53,102,538,4,6,24,5,754,858,1,0,228,2,5,0,,,254,,,,2717,,1,196,6062,8369
,0.41%,,,0.13%,0.07%,0.33%,4.19%,0.05%,0.87%,1.68%,8.87%,0.07%,0.10%,0.40%,0.08%,12.44%,14.15%,0.02%,0.00%,3.76%,0.03%,0.08%,0.00%,,,4.19%,,,,44.82%,,0.02%,3.23%,100%,72.43%
CUAUTLA,,5631,1301,695,1825,10266,17709,6408,1440,1689,6519,,473,65,617,272,2634,257,391,134,267,317,359,,7690,,,,,,,51,2271,69281,146670
,,8.13%,1.88%,1.00%,2.63%,14.82%,25.56%,9.25%,2.08%,2.44%,9.41%,,0.68%,0.09%,0.89%,0.39%,3.80%,0.37%,0.56%,0.19%,0.39%,0.46%,0.52%,,11.10%,,,,,,,0.07%,3.28%,100%,47.24%
CUERNAVACA,,11036,5462,1675,5592,2026,,794,840,13124,,1030,,,9655,1799,2351,1423,497,840,907,4700,746,48619,,,,37320,,,,242,5388,156066,319681
,,7.07%,3.50%,1.07%,3.58%,1.30%,,0.51%,0.54%,8.41%,,0.66%,,,6.19%,1.15%,1.51%,0.91%,0.32%,0.54%,0.58%,3.01%,0.48%,31.15%,,,,23.91%,,,,0.16%,3.45%,100%,48.82%
EMILIANO ZAPATA,,,,4290,1676,461,4884,173,5035,112,274,,1399,60,4978,1034,79,45,82,227,19,319,326,,7455,1065,,,,,,7,923,34923,67407
,,,,12.28%,4.80%,1.32%,13.99%,0.50%,14.42%,0.32%,0.78%,,4.01%,0.17%,14.25%,2.96%,0.23%,0.13%,0.23%,0.65%,0.05%,0.91%,0.93%,,21.35%,3.05%,,,,,,0.02%,2.64%,100%,51.81%
HUITZILAC,143,,,2239,62,353,213,540,969,398,6,20,1883,1,1061,114,238,11,1,2,4,4,3,,,3036,,,,,,0,310,11611,15982
,1.23%,,,19.28%,0.53%,3.04%,1.83%,4.65%,8.35%,3.43%,0.05%,0.17%,16.22%,0.01%,9.14%,0.98%,2.05%,0.09%,0.01%,0.02%,0.03%,0.03%,0.03%,,,26.15%,,,,,,0.00%,2.67%,100%,72.65%
JANTETELCO,33,,,17,445,8,90,455,3891,3,24,1688,7,1,6,1,42,2400,6,0,0,0,25,,,23,,,,,,1,145,9311,13151
,0.35%,,,0.18%,4.78%,0.09%,0.97%,4.89%,41.79%,0.03%,0.26%,18.13%,0.08%,0.01%,0.06%,0.01%,0.45%,25.78%,0.06%,0.00%,0.00%,0.00%,0.27%,,,0.25%,,,,,,0.01%,1.56%,100%,70.80%
JIUTEPEC,7648,,,1725,1435,6542,24953,1665,8333,3015,419,882,1288,479,555,555,545,119,92,964,131,651,215,,,12907,,,,,,48,2665,77831,170522
,9.83%,,,2.22%,1.84%,8.41%,32.06%,2.14%,10.71%,3.87%,0.54%,1.13%,1.65%,0.62%,0.71%,0.71%,0.70%,0.15%,0.12%,1.24%,0.17%,0.84%,0.28%,,,16.58%,,,,,,0.06%,3.42%,100%,45.64%
JOJUTLA,288,625,92,193,199,88,14624,100,320,84,746,404,380,4029,2648,70,107,116,27,111,9,39,6,,,,,,,,,8,675,25988,47872
,1.11%,2.40%,0.35%,0.74%,0.77%,0.34%,56.27%,0.38%,1.23%,0.32%,2.87%,1.55%,1.46%,15.50%,10.19%,0.27%,0.41%,0.45%,0.10%,0.43%,0.03%,0.15%,0.02%,,,,,,,,,0.03%,2.60%,100%,54.29%
JONACATEPEC,23,,,961,1235,572,226,1724,3,548,8,475,364,4,511,25,1063,87,18,89,29,506,1,,,103,,,,,,0,154,8729,12333
,0.26%,,,11.01%,14.15%,6.55%,2.59%,19.75%,0.03%,6.28%,0.09%,5.44%,4.17%,0.05%,5.85%,0.29%,12.18%,1.00%,0.21%,1.02%,0.33%,5.80%,0.01%,,,1.18%,,,,,,0.00%,1.76%,100%,70.78%
MAZATEPEC,4,2234,4,25,7,2342,63,160,28,10,0,6,3,4,4,4,1,0,1069,1,0,0,2,,,,,,,,,0,91,6062,8318
,0.07%,36.85%,0.07%,0.41%,0.12%,38.63%,1.04%,2.64%,0.46%,0.16%,0.00%,0.10%,0.05%,0.07%,0.07%,0.07%,0.02%,0.00%,17.63%,0.02%,0.00%,0.00%,0.03%,,,,,,,,,0.00%,1.50%,100%,72.88%
MIACATLAN,890,,,12,28,41,401,10,1801,6,24,5,10,1749,3,10,2,3,6,0,0,339,0,,,3181,,,,,,1,175,8697,12541
,10.23%,,,0.14%,0.32%,0.47%,4.61%,0.11%,20.71%,0.07%,0.28%,0.06%,0.11%,20.11%,0.03%,0.11%,0.02%,0.03%,0.07%,0.00%,0.00%,3.90%,0.00%,,,36.58%,,,,,,0.01%,2.01%,100%,69.35%
OCUITUCO,3121,399,,98,872,619,107,23,4,531,,2622,14,1068,32,0,1,5,49,2,407,214,28,,,,73,,,,,1,164,10454,13671
,29.85%,3.82%,,0.94%,8.34%,5.92%,1.02%,0.22%,0.04%,5.08%,,25.08%,0.13%,10.22%,0.31%,0.00%,0.01%,0.05%,0.47%,0.02%,3.89%,2.05%,0.27%,,,,0.70%,,,,,0.01%,1.57%,100%,76.47%
PUENTE DE IXTLA,58,1121,2570,15,1608,3979,4367,21,28,54,371,22,75,33,494,302,2351,311,187,11,14,746,15,,,,,,,,,0,400,19153,31392
,0.30%,5.85%,13.42%,0.08%,8.40%,20.77%,22.80%,0.11%,0.15%,0.28%,1.94%,0.11%,0.39%,0.17%,2.58%,1.58%,12.27%,1.62%,0.98%,0.06%,0.07%,3.89%,0.08%,,,,,,,,,0.00%,2.09%,100%,61.01%
TEMIXCO,2785,2404,829,849,9376,2582,,204,2438,1337,212,241,,,751,1149,719,172,525,380,150,1346,151,,,,,9741,,,,19,1464,39824,89775
,6.99%,6.04%,2.08%,2.13%,23.54%,6.48%,,0.51%,6.12%,3.36%,0.53%,0.61%,,,1.89%,2.89%,1.81%,0.43%,1.32%,0.95%,0.38%,3.38%,0.38%,,,,,24.46%,,,,0.05%,3.68%,100%,44.36%
TEPALCINGO,18,234,157,572,1705,93,1202,73,222,1955,17,813,27,2384,411,8,8,9,14,9,10,777,238,,,,,,,,,576,829,12361,21070
,0.15%,1.89%,1.27%,4.63%,13.79%,0.75%,9.72%,0.59%,1.80%,15.82%,0.14%,6.58%,0.22%,19.29%,3.32%,0.06%,0.06%,0.07%,0.11%,0.07%,0.08%,6.29%,1.93%,,,,,,,,,4.66%,6.71%,100%,58.67%
TEPOZTLAN,222,,,47,4860,5503,3149,53,571,181,637,17,122,6,190,469,3,30,324,182,10,9,2,,,473,,,,,,9,398,17467,30764
,1.27%,,,0.27%,27.82%,31.51%,18.03%,0.30%,3.27%,1.04%,3.65%,0.10%,0.70%,0.03%,1.09%,2.69%,0.02%,0.17%,1.85%,1.04%,0.06%,0.05%,0.01%,,,2.71%,,,,,,0.05%,2.28%,100%,56.78%
TETECALA,10,37,395,5,415,1787,,6,7,1,1,3,,,0,0,4,1,0,0,0,0,0,,,,,2400,,,,0,104,5176,6513
,0.19%,0.71%,7.63%,0.10%,8.02%,34.52%,,0.12%,0.14%,0.02%,0.02%,0.06%,,,0.00%,0.00%,0.08%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,46.37%,,,,0.00%,2.01%,100%,79.47%
TETELA DEL VOLCAN,19,,,133,47,2059,,1284,1013,2,15,474,,,37,3,1,123,14,14,0,0,0,,,20,,2151,,,,2,108,7519,9946
,0.25%,,,1.77%,0.63%,27.38%,,17.08%,13.47%,0.03%,0.20%,6.30%,,,0.49%,0.04%,0.01%,1.64%,0.19%,0.19%,0.00%,0.00%,0.00%,,,0.27%,,28.61%,,,,0.03%,1.44%,100%,75.60%
TLALNEPANTLA,8,,,3,10,51,35,9,1209,3,641,4,7,1,804,2,108,74,0,43,400,324,2,,,33,,,,,,0,103,3874,5220
,0.21%,,,0.08%,0.26%,1.32%,0.90%,0.23%,31.21%,0.08%,16.55%,0.10%,0.18%,0.03%,20.75%,0.05%,2.79%,1.91%,0.00%,1.11%,10.33%,8.36%,0.05%,,,0.85%,,,,,,0.00%,2.66%,100%,74.21%
TLALTIZAPAN,,2286,,48,2167,237,9076,123,127,309,,,184,5344,27,28,160,21,297,363,48,479,113,,193,,731,,,,,14,546,22921,39020
,,9.97%,,0.21%,9.45%,1.03%,39.60%,0.54%,0.55%,1.35%,,,0.80%,23.31%,0.12%,0.12%,0.70%,0.09%,1.30%,1.58%,0.21%,2.09%,0.49%,,0.84%,,3.19%,,,,,0.06%,2.38%,100%,58.74%
TLAQUILTENANGO,1846,1515,181,431,577,23,4498,116,2802,25,301,105,109,201,831,50,325,51,80,27,3,163,75,,,,,,,,,1,353,14689,25553
,12.57%,10.31%,1.23%,2.93%,3.93%,0.16%,30.62%,0.79%,19.08%,0.17%,2.05%,0.71%,0.74%,1.37%,5.66%,0.34%,2.21%,0.35%,0.54%,0.18%,0.02%,1.11%,0.51%,,,,,,,,,0.01%,2.40%,100%,57.48%
TLAYACAPAN,,,,90,23,68,1483,29,329,203,4,,13,10,506,186,1809,178,539,1,2248,5,5,,84,147,,,,,2051,2,166,10179,14566
,,,,0.88%,0.23%,0.67%,14.57%,0.28%,3.23%,1.99%,0.04%,,0.13%,0.10%,4.97%,1.83%,17.77%,1.75%,5.30%,0.01%,22.08%,0.05%,0.05%,,0.83%,1.44%,,,,,20.15%,0.02%,1.63%,100%,69.88%
TOTOLAPAN,17,,,8,8,1311,365,11,5,13,0,4,1944,1,13,0,215,0,117,277,0,1256,4,,,175,,,,,,0,148,5892,8376
,0.29%,,,0.14%,0.14%,22.25%,6.19%,0.19%,0.08%,0.22%,0.00%,0.07%,32.99%,0.02%,0.22%,0.00%,3.65%,0.00%,1.99%,4.70%,0.00%,21.32%,0.07%,,,2.97%,,,,,,0.00%,2.51%,100%,70.34%
XOCHITEPEC,1155,7679,358,129,2835,714,7087,55,89,92,77,51,31,39,5024,356,4,35,428,119,8,30,45,,,,,,,,,3,774,27217,53465
,4.24%,28.21%,1.32%,0.47%,10.42%,2.62%,26.04%,0.20%,0.33%,0.34%,0.28%,0.19%,0.11%,0.14%,18.46%,1.31%,0.01%,0.13%,1.57%,0.44%,0.03%,0.11%,0.17%,,,,,,,,,0.01%,2.84%,100%,50.91%
YAUTEPEC,,1357,391,495,218,620,,158,6442,5101,629,,,,45,109,20,204,76,165,19,4466,192,,1468,,,15961,,,,18,1061,39215,80375
,,3.46%,1.00%,1.26%,0.56%,1.58%,,0.40%,16.43%,13.01%,1.60%,,,,0.11%,0.28%,0.05%,0.52%,0.19%,0.42%,0.05%,11.39%,0.49%,,3.74%,,,40.70%,,,,0.05%,2.71%,100%,48.79%
