"","ord","munn","mun","demn","nr","nul","v01","l01","v02","l02","v03","l03","v04","l04","v05","l05","v06","l06","v07","l07","demar"
"1",1,18001,"Acaponeta",1,0,56,0,"pan",842,"pri-pvem-panal",994,"prd",421,"pt",6,"prs",20,"mc",0,"indep",18001.01
"6",6,18001,"Acaponeta",2,0,51,0,"pan",945,"pri-pvem-panal",1469,"prd",122,"pt",19,"prs",7,"mc",0,"indep",18001.02
"13",13,18001,"Acaponeta",3,1,45,0,"pan",997,"pri-pvem-panal",924,"prd",50,"pt",188,"prs",97,"mc",0,"indep",18001.03
"19",19,18001,"Acaponeta",4,0,41,0,"pan",890,"pri-pvem-panal",850,"prd",104,"pt",40,"prs",201,"mc",0,"indep",18001.04
"24",24,18001,"Acaponeta",5,1,79,0,"pan",1294,"pri-pvem-panal",1293,"prd",94,"pt",15,"prs",23,"mc",0,"indep",18001.05
"37",37,18001,"Acaponeta",6,0,110,0,"pan",1443,"pri-pvem-panal",1280,"prd",194,"pt",43,"prs",15,"mc",0,"indep",18001.06
"45",45,18001,"Acaponeta",7,0,66,0,"pan",1161,"pri-pvem-panal",815,"prd",187,"pt",157,"prs",15,"mc",0,"indep",18001.07
"60",60,18002,"Ahuacatlán",1,0,10,314,"pan",316,"pri-pvem-panal",0,"prd",133,"pt",217,"prs",0,"mc",0,"indep",18002.01
"62",62,18002,"Ahuacatlán",2,0,75,672,"pan",1287,"pri-pvem-panal",0,"prd",393,"pt",329,"prs",0,"mc",0,"indep",18002.02
"69",69,18002,"Ahuacatlán",3,0,32,767,"pan",512,"pri-pvem-panal",0,"prd",134,"pt",120,"prs",0,"mc",0,"indep",18002.03
"73",73,18002,"Ahuacatlán",4,1,23,579,"pan",556,"pri-pvem-panal",0,"prd",195,"pt",144,"prs",0,"mc",0,"indep",18002.04
"78",78,18002,"Ahuacatlán",5,0,41,462,"pan",517,"pri-pvem-panal",0,"prd",78,"pt",387,"prs",0,"mc",0,"indep",18002.05
"83",83,18003,"Amatlán de Cañas",1,7,33,818,"pan",1070,"pri-pvem-panal",0,"prd",44,"pt",0,"prs",0,"mc",0,"indep",18003.01
"88",88,18003,"Amatlán de Cañas",2,1,10,299,"pan",659,"pri-pvem-panal",0,"prd",29,"pt",0,"prs",0,"mc",0,"indep",18003.02
"93",93,18003,"Amatlán de Cañas",3,4,65,318,"pan",524,"pri-pvem-panal",0,"prd",448,"pt",0,"prs",0,"mc",0,"indep",18003.03
"97",97,18003,"Amatlán de Cañas",4,2,47,720,"pan",482,"pri-pvem-panal",0,"prd",96,"pt",0,"prs",0,"mc",0,"indep",18003.04
"100",100,18003,"Amatlán de Cañas",5,2,28,395,"pan",579,"pri-pvem-panal",0,"prd",17,"pt",0,"prs",0,"mc",0,"indep",18003.05
"107",107,18020,"Bahía de Banderas",1,2,135,0,"pan",2330,"pri-pvem-panal",1548,"prd",98,"pt",22,"prs",1086,"mc",0,"indep",18020.01
"118",118,18020,"Bahía de Banderas",2,11,107,0,"pan",1447,"pri-pvem-panal",1207,"prd",90,"pt",18,"prs",1128,"mc",0,"indep",18020.02
"128",128,18020,"Bahía de Banderas",3,122,198,0,"pan",1814,"pri-pvem-panal",991,"prd",160,"pt",1005,"prs",1345,"mc",0,"indep",18020.03
"141",141,18020,"Bahía de Banderas",4,12,129,0,"pan",1873,"pri-pvem-panal",1271,"prd",322,"pt",38,"prs",1268,"mc",0,"indep",18020.04
"154",154,18020,"Bahía de Banderas",5,4,70,0,"pan",982,"pri-pvem-panal",674,"prd",101,"pt",11,"prs",740,"mc",0,"indep",18020.05
