ID_ESTADO,MUNICIPIOwrong,mun,PARTIDO_CI,puesto,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
18,1,,C_PAN_PRI_PRD,presidente,EFRAÍN ARELLANO NÚÑEZ,MARIA CELIA VILLELA RUIZ
18,1,,C_PT_PVEM_MORENA_NAN,presidente,MANUEL RAMON SALCEDO OSUNA,RODOLFO CESAR MARTÍNEZ LUNA
18,1,,MC,presidente,SAULO ALFONSO LORA AGUILAR,SERGIO SÁNCHEZ DÍAZ
18,1,,MLN,presidente,CLAUDIA ZELINA GARCÍA HERNÁNDEZ,ANITA FLORES FONSECA
18,1,,PES,presidente,JAMILETH ESMERALDA GARCÍA MUÑOZ,RITA ISABEL DOLORES RIOS
18,1,,RSP,presidente,YRMA ELIZABETH RIVERA PERALTA,MARISELA CASTAÑEDA ARELLANO
18,1,,FXM,presidente,NORA HILDA RUIZ LOZANO,ABRIS GUADALUPE VALDIVIA SALGADO
18,2,,C_PAN_PRI_PRD,presidente,JOSÉ DE JESÚS BERNAL LAMAS,JOSÉ RODRÍGUEZ BERNAL
18,2,,C_PT_PVEM_MORENA_NAN,presidente,LUCRECIA DE JESÚS ALDUENDA ECHEAGARAY,LETICIA MEDELLÍN FUENTES
18,2,,MC,presidente,PALOMA YANELY ARCINIEGA HERNÁNDEZ,MARÍA DEL CARMEN DURAN MONTERO
18,2,,VIVA,presidente,MARIA MARICELA GÓMEZ GONZÁLEZ,MARITZA GUADALUPE CEDANO ARIAS
18,2,,MLN,presidente,GLADYS AZUCENA GODÍNEZ VILLEGAS,SARA MA. GARCÍA LLANAS
18,2,,RSP,presidente,MARÍA SALAZAR LÓPEZ,ELVIRA ARELLANO RUIZ
18,3,,C_PAN_PRI_PRD,presidente,MARIA DE JESUS RODRÍGUEZ ARENAS,EMILIA RENTERÍA VARGAS
18,3,,C_PT_PVEM_MORENA_NAN,presidente,JESUS RAFAEL SANDOVAL DÍAZ,MARIA DE JESUS RODRÍGUEZ BARRERA
18,3,,MC,presidente,SELENE GUADALUPE CARRILLO GONZÁLEZ,FELIPA DE JESUS RIVERA CASTELLÓN
18,3,,MLN,presidente,MANUEL HUMBERTO GARCÍA LÓPEZ,RUBEN RODRÍGUEZ RIVERA
18,3,,PES,presidente,JOSE IGNACIO BECERRA LEPE,LUIS FERNANDO SALAS ORTIZ
18,3,,RSP,presidente,FRANCISCO LÓPEZ SÁNCHEZ,JUAN ESTRADA GÓMEZ
18,3,,FXM,presidente,GUSTAVO QUINTERO MONTEON,J. MOISES GARCÍA GONZÁLEZ
18,4,,C_PAN_PRI_PRD,presidente,JAIME ALONSO CUEVAS TELLO,GERMÁN GONZÁLEZ REGALADO
18,4,,C_PT_PVEM_MORENA_NAN,presidente,CARMINA YADIRA REGALADO MARDUEÑO,LIA SARAÍ CASTRO DÍAZ DE LEÓN
18,4,,MC,presidente,MARÍA DE LOURDES RUIZ NIEVES,EDNA XITLALY ÁLVAREZ MONTES
18,4,,VIVA,presidente,KARINA TERESA DE JESÚS POLANCO GONZÁLEZ,ROSARIO DEL CÁRMEN GUILLÉN GIL
18,4,,MLN,presidente,VÍCTOR HUGO MENDOZA COVARRUBIAS,HUGO IVÁN HERNÁNDEZ VERA
18,4,,PES,presidente,LESLIE MONSERRAT OROZCO VERDÍN,BLANCA NIEVES ESPARZA GARCÍA
18,4,,RSP,presidente,PAOLA MANJARREZ LAMAS,KENNIA MARIEL FLORES GARCÍA
18,4,,FXM,presidente,GRACIELA PATRICIA MARGARITA SANDOVAL RODRÍGUEZ,SILVIA VALADEZ MUÑOZ
18,5,,C_PAN_PRI_PRD,presidente,CARMEN MARTÍNEZ MADRIGAL,GLORIA LETICIA GUTIÉRREZ LEÓN
18,5,,C_PT_PVEM_MORENA_NAN,presidente,ROMINA CHANG AGUILAR,ANNIKO CRISTINA RUVALCABA OROZCO
18,5,,MC,presidente,MANUEL GRADILLA RODRÍGUEZ,JUAN JOSÉ RODRÍGUEZ TEJEDA
18,5,,MLN,presidente,NESTOR AGUAYO DURAN,RAMON IGNACIO MALDONADO ULLOA
18,5,,PES,presidente,MA. GUADALUPE GUTIERREZ FLORES,MARIA OFELIA HERNANDEZ OCHOA
18,5,,RSP,presidente,PIEDAD GRICELDA RIVAS SALAZAR,PAULINA FLORES MEZA
18,5,,FXM,presidente,EFRAIN ADALBERTO CUEVA ZEPEDA,ALFREDO CANDELARIO PÉREZ CORONA
18,6,,C_PAN_PRI_PRD,presidente,OLGA LILIA MALDONADO DADO,IRAN JESABEL OLIMON SÁNCHEZ
18,6,,C_PT_PVEM_MORENA_NAN,presidente,VICENTE RANGEL CERVANTES,VERÓNICA PARTIDA GUERRERO
