ord,inegi,ife,MUNICIPIO,pan,1,pri,2,prd,3,pvem,4,pt,5,mc,6,pup,7,pna,8,psd,9,morena,10,pes,11,prs,12,pan-prd,13,pri-pvem,14,pna-psd,15,indep,16,indep2,17,indep3,18,indep4,19,indep5,20,nr,nul,tot,ord,mun,emm,inegi,ife,st
1,20002,20002,ACATLAN DE PEREZ FIGUEROA,13174,pan,7479,pri,454,prd,302,pvem,298,pt,112,mc,0,pup,82,pna,43,psd,732,morena,0,pes,0,prs,477,pan-prd,110,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,4,452,23719,1,Acatlán de Pérez Figueroa,oax-16.002,20002,20002,ok
2,20004,20005,ASUNCION CUYOTEPEJI,277,pan,313,pri,1,prd,3,pvem,0,pt,0,mc,0,pup,0,pna,0,psd,48,morena,0,pes,0,prs,1,pan-prd,5,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,0,9,657,2,Asunción Cuyotepeji,oax-16.004,20004,20005,ok
3,20005,20006,ASUNCION IXTALTEPEC,103,pan,4672,pri,2467,prd,127,pvem,15,pt,0,mc,0,pup,1012,pna,0,psd,183,morena,7,pes,0,prs,101,pan-prd,64,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,0,192,8943,3,Asunción Ixtaltepec,oax-16.005,20005,20006,ok
4,20006,20007,ASUNCION NOCHIXTLAN,229,pan,1359,pri,927,prd,86,pvem,1483,pt,78,mc,282,pup,0,pna,2502,psd,930,morena,0,pes,0,prs,56,pan-prd,43,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,1,283,8259,4,Asunción Nochixtlán,oax-16.006,20006,20007,ok
5,20007,20008,ASUNCION OCOTLAN,148,pan,649,pri,36,prd,19,pvem,8,pt,0,mc,0,pup,587,pna,0,psd,14,morena,0,pes,0,prs,41,pan-prd,10,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,0,68,1580,5,Asunción Ocotlán,oax-16.007,20007,20008,ok
6,20009,20011,AYOTZINTEPEC,100,pan,1887,pri,1309,prd,11,pvem,12,pt,3,mc,69,pup,0,pna,0,psd,236,morena,0,pes,0,prs,46,pan-prd,35,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,0,92,3800,6,Ayotzintepec,oax-16.009,20009,20011,ok
7,20010,20012,EL BARRIO DE LA SOLEDAD,1316,pan,2636,pri,134,prd,70,pvem,30,pt,858,mc,0,pup,26,pna,108,psd,475,morena,0,pes,380,prs,41,pan-prd,59,pri-pvem,0,pna-psd,184,indep,0,indep2,0,indep3,0,indep4,0,indep5,0,180,6497,7,Barrio de la Soledad--El,oax-16.010,20010,20012,ok
8,20013,20017,CIENEGA DE ZIMATLAN,67,pan,881,pri,639,prd,5,pvem,3,pt,4,mc,0,pup,0,pna,89,psd,14,morena,0,pes,0,prs,16,pan-prd,0,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,0,28,1746,8,Ciénega de Zimatlán,oax-16.013,20013,20017,ok
9,20014,20041,CIUDAD IXTEPEC,209,pan,2385,pri,672,prd,141,pvem,3750,pt,39,mc,60,pup,77,pna,0,psd,5471,morena,82,pes,150,prs,49,pan-prd,93,pri-pvem,0,pna-psd,52,indep,0,indep2,0,indep3,0,indep4,0,indep5,5,335,13570,9,Ciudad Ixtepec,oax-16.014,20014,20041,ok
10,20021,20024,COSOLAPA,749,pan,3259,pri,60,prd,183,pvem,40,pt,2027,mc,0,pup,23,pna,36,psd,80,morena,0,pes,38,prs,24,pan-prd,200,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,0,255,6974,10,Cosolapa,oax-16.021,20021,20024,ok
11,20023,20026,CUILAPAM DE GUERRERO,792,pan,1249,pri,2724,prd,66,pvem,365,pt,1001,mc,82,pup,624,pna,325,psd,922,morena,112,pes,208,prs,251,pan-prd,27,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,6,336,9090,11,Cuilápam de Guerrero,oax-16.023,20023,20026,ok
12,20025,20015,CHAHUITES,82,pan,1362,pri,400,prd,74,pvem,667,pt,2799,mc,0,pup,0,pna,17,psd,55,morena,0,pes,0,prs,44,pan-prd,38,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,0,136,5674,12,Chahuites,oax-16.025,20025,20015,ok
13,20026,20016,CHALCATONGO DE HIDALGO,31,pan,578,pri,980,prd,513,pvem,405,pt,32,mc,108,pup,693,pna,112,psd,381,morena,0,pes,0,prs,15,pan-prd,0,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,0,294,4142,13,Chalcatongo de Hidalgo,oax-16.026,20026,20016,ok
14,20028,20028,HEROICA CIUDAD DE EJUTLA DE CRESPO,4484,pan,2766,pri,147,prd,73,pvem,434,pt,101,mc,170,pup,96,pna,454,psd,1233,morena,159,pes,0,prs,162,pan-prd,51,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,0,480,10810,14,Heroica Ciudad de Ejutla de Crespo,oax-16.028,20028,20028,ok
15,20030,20030,EL ESPINAL,16,pan,1352,pri,223,prd,19,pvem,34,pt,11,mc,1466,pup,0,pna,0,psd,1951,morena,0,pes,0,prs,11,pan-prd,22,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,0,76,5181,15,Espinal--El,oax-16.030,20030,20030,ok
16,20032,20031,FRESNILLO DE TRUJANO,6,pan,144,pri,160,prd,1,pvem,7,pt,2,mc,0,pup,2,pna,10,psd,168,morena,0,pes,0,prs,7,pan-prd,3,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,0,14,524,16,Fresnillo de Trujano,oax-16.032,20032,20031,ok
17,20034,20032,GUADALUPE DE RAMIREZ,0,pan,233,pri,0,prd,2,pvem,356,pt,2,mc,0,pup,38,pna,0,psd,122,morena,0,pes,0,prs,0,pan-prd,1,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,0,19,773,17,Guadalupe de Ramírez,oax-16.034,20034,20032,ok
18,20039,20037,HEROICA CIUDAD DE HUAJUAPAN DE LEON,5372,pan,6475,pri,1262,prd,241,pvem,469,pt,631,mc,201,pup,437,pna,132,psd,6694,morena,0,pes,67,prs,209,pan-prd,138,pri-pvem,0,pna-psd,586,indep,138,indep2,688,indep3,498,indep4,0,indep5,7,637,24882,18,Heroica Ciudad de Huajuapan de León,oax-16.039,20039,20037,ok
19,20040,20038,HUAUTEPEC,0,pan,1645,pri,0,prd,39,pvem,84,pt,0,mc,60,pup,0,pna,0,psd,1340,morena,0,pes,0,prs,0,pan-prd,10,pri-pvem,0,pna-psd,0,indep,0,indep2,0,indep3,0,indep4,0,indep5,0,107,3285,19,Huautepec,oax-16.040,20040,20038,ok
