ord,ife,inegi,PARTIDO_CI,CANDIDATURA PROPIETARIA,CANDIDATURA_SUPLENTE,win,tmp
9,21001,21001,MORENA,DAVID MELENDEZ LOPEZ,JOSE LORENZO LUCIO LORANCA JUAREZ,MORENA,.
24,21002,21002,PES,JUAN CRUZ BELLO,OSVALDO CRUZ AGUILERA,PES,.
26,21003,21003,PAN,ARTURO CAJICA GOMEZ,PEDRO GARCIA NUÑEZ,PAN-PRD,.
43,21004,21004,PVEM,CARLOS ALEJANDRO VALDEZ TENORIO,JOSE LUIS FLORES SALAZAR,PVEM-PT-MORENA,chg
51,21005,21005,PAN,ALVARO TAPIA CASTILLO,TOMAS CAMPOS GUZMAN,PAN-PRI-PRD,.
64,21006,21006,MORENA,PEDRO LUIS CRUZ BONILLA,MANUEL DE JESUS CRUZ,MORENA,.
67,21007,21007,PAN,CECILIA HERNANDEZ ORDUÑA,CIRILA FAVIOLA ALVAREZ ZENTENO,PAN-PRI,.
2236,21008,21008,.,.,.,0,chg
94,21009,21009,PSI,YAZMIN CASTILLO ONOFRE,REGINA BRAVO MARTINEZ,PSI,.
97,21010,21010,PAN,SERGIO SANDOVAL PANIAGUA,JOSE FELICIANO HERNANDEZ,PAN,.
111,21011,21011,PRI,GABRIELA JANET MENDEZ GARCIA,LUISA JUSTINA ALACAIDE REYNOSO,PRI,.
123,21012,21012,MORENA,REYNALDO LOMELI ESCOBAR,JORGE LOMELI MORA,MORENA,.
134,21013,21013,NAP,MIGUEL RAFAEL FELICIANO,JACOB PABLO FAUSTINO,PNA,.
142,21014,21014,MC,PERFECTO BAZAN GALINDO,MARIA DOLORES NIETO JUSTO,MC,.
151,21015,21015,PVEM,JOSE BENIGNO TARCISIO VELEZ NOLASCO,JOSE LUIS ZAMBRANO DIAZ,PVEM-PT-MORENA,chg
167,21016,21016,MORENA,AMANDO NAVA ARROYO,JOSE MIGUEL HERRERA VICTORIA,MORENA,.
172,21017,21017,PRI,CARLOS HERRERA GONZALEZ,FAUSTO MORENO SALAZAR,PRI-PRD-PSI,.
183,21018,21018,PAN,JUAN LUNA LUNA,HERMINIO JIMENEZ LOPEZ,PAN-PRI-PRD,.
194,21019,21019,PVEM,MARTHA ALATRISTE LEON,CINAYINI CARRASCO COLOTLA,PVEM-PT-MORENA,chg
210,21020,21020,PSI,ELFEGO GALINDO ROSAS,JESUS TENORIO DURAN,PSI,.
220,21021,21021,PSI,TERESA ANGEL RODRIGUEZ,MARIA DE LOS ANGELES ESPINOZA MENDEZ,PSI,.
227,21022,21022,PRD,REYES DOMINGUEZ ALDAMA,TAURINO MEDEL RAMIREZ,PRD,.
239,21023,21023,MC,JOSE LUIS LOPEZ CASTILLO,JOSE ERIC AVILA MARTINEZ,MC,.
247,21024,21024,PRD,MARCO ANTONIO MONGE ZUÑIGA,RAFAEL HERNANDEZ GOMEZ,PAN-PRD,.
253,21025,21025,PVEM,JAVIER BECERRIL GALICIA,MARCO ANTONIO RIVERA GARCES,PVEM,.
263,21026,21026,MC,FERNANDO CASTELLANOS HERNANDEZ,CESAR MEDINA CRISTOBAL,MC,.
270,21027,21027,PAN,REYNALDA CRISTINA CABANZO MENDEZ,NORMA HERNANDEZ GARCIA,PAN-PRD,.
286,21028,21028,MORENA,NOE GARCIA FRANCISCO,AMADO GONZALEZ VELAZQUEZ,MORENA,.
302,21030,21029,PVEM,ANTONIA PEREZ DIAZ,LUCIA LUNA CAMPOS,PVEM,.
318,21031,21030,PES,ANTONIO PEREZ GUZMAN,BENJAMIN MARQUEZ SERAFIN,PES,.
328,21032,21031,RSP,ABEL CHAVEZ OREA,PASCUAL OREA SANCHEZ,RSP,.
334,21033,21032,PCPP,EFREN ATEMPA RAMALES,MOISES ZAMORA RODRIGUEZ,PCPP,.
338,21034,21033,PAN,MINERVA DOMINGUEZ GALLARES,SINDI DOMINGUEZ GALLARES,PAN,.
347,21035,21034,PAN,GERARDO SANCHEZ AGUILAR,OCTAVIANO RAMIREZ GALINDO,PAN-PRD,.
364,21036,21035,PVEM,IGNACIO HERNANDEZ SANCHEZ,OSCAR HERNANDEZ SANCHEZ,PVEM-PT-MORENA,chg
376,21037,21036,PT,RODOLFO GARCIA LOPEZ,OMAR AGUILAR BONILLA,PT-PSI,.
388,21038,21037,MORENA,SILVIA JIMENEZ GONZALEZ,DEISY MELCHOR CASTILLO,MORENA,.
394,21039,21038,MC,OSCAR SANCHEZ SANCHEZ,RAYMUNDO ROSAS CRUZ,MC,.
401,21040,21039,PT,GERARDO CORTES CABALLERO,JUAN MORENO GARCIA,PT-MORENA-PSI,.
415,21041,21040,PCPP,JOSE DANIEL TORRES GARCIA,MACEDONIO VAZQUEZ RUIZ,PCPP,.
422,21042,21041,PAN,FILOMENO SARMIENTO TORRES,ANASTACIO DIONICIO COSME TORRES,PAN-PRI-PRD,.
437,21043,21042,PRI,MARCOS SOLIS CARRERA,ENRIQUE CARRERA ROMERO,PRI-PCPP,.
446,21044,21043,PRI,GERSON CALIXTO DATTOLI,JOSE DE LOS SANTOS HERNANDEZ,PRI-PRD,.
459,21045,21044,PRI,IVAN CONRADO CAMACHO ROMERO,IVAN CONRADO CAMACHO MORENO,PRI-PRD,.
473,21046,21045,MC,URUVIEL GONZALEZ VIEYRA,ANGEL GUTIERREZ MENDOZA,MC-PSI,.
488,21047,21046,PSI,JOSE IGNACIO RODRIGUEZ PEREZ,GENARO JIMENEZ LOPEZ,PSI,.
497,21048,21047,PVEM,ISABEL PATRICIA BRAVO GONZALEZ,VERENA RUIZ ZUÑIGA,PVEM-PT-MORENA,chg
508,21049,21048,PVEM,SALVADOR DOMINGUEZ ROJAS,OMAR JUAREZ RAMIREZ,PVEM-PT-MORENA,.
517,21050,21049,PRI,ARTEMIO HERNANDEZ GARRIDO,JOSE MORENO BARRIOS,PRI-PRD,.
528,21051,21050,PRI,PABLO GALINDO HERNANDEZ,MAURICIO FLORES HERNANDEZ,PRI-PRD,.
542,21052,21051,PVEM,JOSEFINA JUAREZ SILVA,ENEIDA CEDILLO SALAZAR,PVEM-PT-MORENA,chg
550,21053,21052,PAN,MARIA DEL ROSARIO RODRIGUEZ ESPINOZA,HERMINIA LIMA SANDOVAL,PAN,.
559,21054,21053,PAN,LORENZO RIVERA NAVA,JOSE PEDRO LECONA ROMERO,PAN-PRI-PRD-PCPP-PSI-PNA,.
579,21055,21054,PSI,AARON BONILLA PAULINO,JORGE PORFIRIO VENTURA UBALDO,MC-PSI,.
586,21056,21055,PRD,CARMELO ENRIQUEZ PONCE,LAZARO ALEJANDRO TORRALBA REYES,PRD,.
595,21057,21056,PT,CELSO HERREROS AMIGON,LEONIDES RAMIREZ MOZO,PT-PSI,.
603,21058,21057,PVEM,TEODOCIO ESTEBAN CERCAS FRANCO,AMBROSIO SOTO ORTIZ,PVEM,.
614,21059,21058,MC,FERNANDO AMBROSIO PERALTA,GUSTAVO AMBROSIO PERALTA,MC,.
623,21060,21059,PRI,MARIA AZUCENA ZAFRA CHINO,ROSA MARIA SOSA GASPAR,PRI,.
638,21061,21060,NAP,ROSALIO TLACOMULCO DEMETRIO,GERARDO MENESES TLAPAYA,PNA,.
645,21062,21061,PT,DELFINO HERNANDEZ HERNANDEZ,PEDRO HERNANDEZ SANCHEZ,PT,.
650,21063,21062,PAN,ALICIA VARGAS MELO,LUCIA MONTERROSAS HERRERA,PAN-PRD,.
664,21064,21063,MORENA,ISAAC RODRIGUEZ OCHOA,FEDERICO LOPEZ NIETO,MORENA,.
670,21065,21064,PRD,GILDARDO VARGAS GARCIA,TIGRIO NOE AVILA LECHUGA,PAN-PRD,.
683,21066,21065,PVEM,RICARDO GONZALEZ DE LA CRUZ,ABUNDIO AGUILAR VAZQUEZ,PVEM-PT-MORENA-PCPP,chg
693,21067,21066,PRI,ANAI YOSENIA HERRERA MARTINEZ,ELVIA MARTINEZ REYES,PRI,.
698,21068,21067,PAN,AURELIO FLORES SOLANO,ELIAS HERNANDEZ FLORES,PAN-PRI-PRD-PSI,.
710,21069,21068,PAN,JOSE MANUEL RODRIGUEZ CRUZ,REGULO JUAREZ MARQUEZ,PAN,.
720,21070,21069,PRI,RAUL MARIN ESPINOZA,PAOLA UROZA ROJAS,PRI-PRD,.
735,21071,21070,MORENA,JAVIER VAZQUEZ RODRIGUEZ,JOSE RODRIGUEZ MIRANDA,MORENA,.
747,21072,21071,NAP,ROGELIO LOPEZ ANGULO,ALEJANDRO AMADOR SARMIENTO,PNA,.
752,21073,21072,PRI,RAFAEL LARA MARTINEZ,JESUS GARCIA GARCIA,PRI,.
761,21074,21073,PRI,MARIA GUADALUPE ESPINOZA SANCHEZ,JAZMIN GUTIERREZ SANCHEZ,PRI,.
