ord,inegi,ife,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
1,21049,21050,PAN,ROQUE MORALES ITURBIDE,DAGOBERTO SOLARES CRUZ
2,21049,21050,PRI,ROQUE MORALES ITURBIDE,DAGOBERTO SOLARES CRUZ
3,21049,21050,PRD,ROQUE MORALES ITURBIDE,DAGOBERTO SOLARES CRUZ
4,21049,21050,PT,NOE GARRIDO HERNANDEZ,RAFAEL CRUZ SALINAS
5,21049,21050,PVEM,CARLOS COMONFORT CRUZ,FILIBERTO HERNANDEZ GARRIDO
6,21049,21050,MC,CLAUDIA PEREZ SANCHEZ,SANDRA MICHEL CANTE RAMIRES
7,21049,21050,PSI,FAUSTINO MORENO ROLDAN,JESUS PADILLA HERRERA
8,21049,21050,MORENA,ADAN SOTO ROJO,JUANA MARQUEZ RAMIREZ
9,21049,21050,NAP,NOE GARRIDO HERNANDEZ,RAFAEL CRUZ SALINAS
10,21049,21050,C_PAN_PRI_PRD,ROQUE MORALES ITURBIDE,DAGOBERTO SOLARES CRUZ
11,21049,21050,C_PAN_PRI,ROQUE MORALES ITURBIDE,DAGOBERTO SOLARES CRUZ
12,21049,21050,C_PAN_PRD,ROQUE MORALES ITURBIDE,DAGOBERTO SOLARES CRUZ
13,21049,21050,C_PRI_PRD,ROQUE MORALES ITURBIDE,DAGOBERTO SOLARES CRUZ
14,21049,21050,C_PT_NAP,NEO GARRIDO HERNANDEZ,NEO GARRIDO HERNANDEZ
15,21057,21058,PAN,FILIBERTO RICAÑO HURTADO,GAUDENCIO SERRANO MEZA
16,21057,21058,PRI,FILIBERTO RICAÑO HURTADO,GAUDENCIO SERRANO MEZA
17,21057,21058,PRD,FILIBERTO RICAÑO HURTADO,GAUDENCIO SERRANO MEZA
18,21057,21058,PT,LUCERO SOFIA DIEGO ACUNDO,RUFINA HERNANDEZ MUÑOZ
19,21057,21058,MC,ALBERTO ORDAZ GONZALEZ,HECTOR MARTINEZ GONZALEZ
20,21057,21058,MORENA,FELIX CERCAS MANILLA,MARIO FRANCISCO MIRANDA GOMEZ
21,21057,21058,C_PAN_PRI_PRD,FILIBERTO RICAÑO HURTADO,GAUDENCIO SERRANO MEZA
22,21057,21058,C_PAN_PRI,FILIBERTO RICAÑO HURTADO,GAUDENCIO SERRANO MEZA
23,21057,21058,C_PAN_PRD,FILIBERTO RICAÑO HURTADO,GAUDENCIO SERRANO MEZA
24,21057,21058,C_PRI_PRD,FILIBERTO RICAÑO HURTADO,GAUDENCIO SERRANO MEZA
