inegi,ife,mun,ID_MUNICIPIO,MUNICIPIO,pan,tmp,pri,tmp,prd,tmp,pvem,tmp,pt,tmp,mc,tmp,morena,tmp,mas,tmp,cqr,tmp,pes,tmp,rsp,tmp,fxm,tmp,indep,tmp,pan-prd-cqr,tmp,pan-pri-prd-cqr,tmp,pvem-pt-morena-mas,tmp,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL
23001,23002,Cozumel,2,COZUMEL,2241,pan,13512,pri,313,prd,602,pvem,526,pt,332,mc,16295,morena,348,mas,227,cqr,470,pes,510,rsp,496,fxm,612,indep,,,665,pan-pri-prd-cqr,721,pvem-pt-morena-mas,34,995,38899,70987
23002,23003,Felipe Carrillo Puerto,3,FELIPE C. PUERTO,910,pan,9598,pri,1538,prd,785,pvem,2025,pt,948,mc,16106,morena,804,mas,424,cqr,482,pes,210,rsp,413,fxm,,,,,658,pan-pri-prd-cqr,868,pvem-pt-morena-mas,32,955,36756,55894
23003,23004,Isla Mujeres,4,ISLA MUJERES,5531,pan,919,pri,95,prd,609,pvem,311,pt,124,mc,4025,morena,64,mas,385,cqr,166,pes,110,rsp,71,fxm,,,,,452,pan-pri-prd-cqr,277,pvem-pt-morena-mas,1,327,13467,21729
23004,23007,Othón P. Blanco,7,OTHON P. BLANCO ,10234,pan,7213,pri,1572,prd,711,pvem,1002,pt,6078,mc,26480,morena,923,mas,1236,cqr,1553,pes,9225,rsp,3393,fxm,3999,indep,,,1094,pan-pri-prd-cqr,794,pvem-pt-morena-mas,1163,2863,79533,174372
23005,23001,Benito Juárez,1,BENITO JUAREZ,41219,pan,14508,pri,10405,prd,16806,pvem,3687,pt,7395,mc,75568,morena,2572,mas,2243,cqr,8263,pes,1579,rsp,42795,fxm,3877,indep,1397,pan-prd-cqr,,,2475,pvem-pt-morena-mas,539,9909,245237,630987
23006,23005,José María Morelos,5,JOSE MA. MORELOS,915,pan,1221,pri,3164,prd,1038,pvem,688,pt,4330,mc,8101,morena,197,mas,376,cqr,514,pes,290,rsp,150,fxm,,,,,316,pan-pri-prd-cqr,,,3,703,22006,27940
23007,23006,Lázaro Cárdenas,6,LAZARO CARDENAS ,6872,pan,233,pri,74,prd,580,pvem,489,pt,54,mc,2667,morena,3839,mas,36,cqr,184,pes,125,rsp,307,fxm,,,,,,,415,pvem-pt-morena-mas,0,375,16250,21905
23008,23008,Solidaridad,8,SOLIDARIDAD,17836,pan,4610,pri,1437,prd,1629,pvem,1738,pt,8163,mc,18120,morena,627,mas,1245,cqr,1159,pes,1619,rsp,12481,fxm,4290,indep,,,1251,pan-pri-prd-cqr,792,pvem-pt-morena-mas,488,3399,80884,229306
23009,23009,Tulum,9,TULUM,2528,pan,1612,pri,2086,prd,215,pvem,1492,pt,240,mc,8664,morena,274,mas,1445,cqr,1091,pes,124,rsp,95,fxm,,,,,585,pan-pri-prd-cqr,570,pvem-pt-morena-mas,76,547,21644,35739
23010,23010,Bacalar,10,BACALAR,1958,pan,5839,pri,350,prd,169,pvem,3690,pt,664,mc,3296,morena,148,mas,418,cqr,185,pes,243,rsp,913,fxm,,,,,368,pan-pri-prd-cqr,398,pvem-pt-morena-mas,0,530,19169,31916
23011,23011,Puerto Morelos,11,PUERTO MORELOS,607,pan,322,pri,41,prd,2732,pvem,919,pt,380,mc,1027,morena,107,mas,19,cqr,2615,pes,292,rsp,1525,fxm,,,6,pan-prd-cqr,,,234,pvem-pt-morena-mas,5,419,11250,21792
