edon,PAN,PRI,PRD,PVEM,PT,MC,MORENA,pan.pri.prd,pvem.pt.morena,nr,nul,tot,lisnom
1,281800,45446,14398,21294,14967,44686,198024,13813,12486,506,17062,664482,1099895
2,226913,65223,15028,160834,77496,129202,784547,12473,,1685,84366,1557767,3201669
3,93203,13995,3595,14386,18952,28612,134920,6772,14915,280,11087,340717,614054
4,19704,41348,2581,12937,14442,152483,176430,2206,15300,237,13001,450669,695055
5,89881,603512,25208,61412,54305,64401,600842,13495,39339,534,35281,1588210,2414779
6,48580,50796,6573,20949,9538,63904,115773,7307,12177,250,10523,346370,585647
7,117611,229430,36672,524408,259450,139562,942872,15442,,1556,194358,2461361,3947162
8,396888,152413,19996,67434,55369,128583,682450,31103,62302,995,47187,1644720,3089200
9,1313723,441841,131518,383327,193215,402941,2179268,141842,275171,5561,121626,5590033,7969314
10,101064,182439,14332,32152,37260,49477,293268,15597,31179,365,20599,777732,1401054
11,1083431,163808,27018,132935,56080,196448,940451,,60578,1681,88410,2750840,4843368
12,50914,172064,82325,141956,96045,197363,675365,13122,,3566,117758,1550478,2651380
13,109196,176148,20659,123920,163512,138000,723005,11825,,964,79563,1546792,2390948
14,723323,333059,32452,208403,91566,1052491,1166933,53530,91255,3408,104242,3860662,6640163
15,1037122,1315914,131704,499882,286096,840278,3662238,118991,298607,6700,232249,8429781,13042882
16,299713,199092,127308,147647,137000,257578,674578,37532,77341,2654,101644,2062087,3708926
17,148458,72835,25359,83105,56967,128974,386078,13544,26861,924,43691,986796,1553630
18,65675,41110,9038,50314,24974,97514,206120,7044,19894,492,21554,543729,952808
19,465096,293044,14247,109151,81618,818838,621495,38236,57786,1384,60330,2561225,4475131
20,78376,156254,49701,241986,218345,112010,904385,,,1441,127231,1889729,3119594
21,526773,252378,42598,288744,192547,274448,1388352,48779,115629,2240,149189,3281677,4990849
22,441230,68843,10907,68025,26866,77603,437134,22819,,1071,61504,1216002,1904027
23,93476,35157,15700,130648,28202,83183,374308,8220,28604,843,27920,826261,1461855
24,199034,97859,22651,526706,29357,101286,276459,20978,,1092,89281,1364703,2190293
25,147917,155916,13991,119514,64226,85853,652774,17921,,652,71139,1329903,2364053
26,125214,147604,12762,51787,107220,127029,513623,20383,,671,64112,1170405,2294040
27,24317,35922,85903,78370,63286,84537,664508,5932,,683,69679,1113137,1812804
28,365024,58936,12922,185163,49394,113027,742661,19696,,910,78268,1626001,2853592
29,63804,66663,21649,88038,67532,77904,298928,6204,,436,48155,739313,1042685
30,601648,314783,70064,192451,104236,282822,1781880,67747,150987,1929,109977,3678524,6089181
31,379679,106716,9135,67314,38638,72043,521865,15736,33897,605,37396,1283024,1768125
32,86418,140220,34461,51055,43821,105158,245914,14137,17085,777,31550,770596,1270087
