ord,inegi,mun,Casilla,PAN,PRI,PRD,PVEM,PT,MC,MORENA,indep,pan-pri-prd,nr,nul,SUM_COALICIÓN,DIFERENCIA,TOTAL
1,1,aguascalientes,64 B1,137,10,1,9,4,13,75,,3,0,12,151,76,264
2,1,aguascalientes,64 C1,156,8,1,4,3,24,69,,7,0,0,172,103,272
3,1,aguascalientes,68 B1,230,17,8,11,4,40,121,,12,0,19,267,146,462
4,1,aguascalientes,69 B1,150,18,5,4,1,24,64,,6,0,6,179,115,278
5,1,aguascalientes,69 C1,164,13,10,7,1,22,57,,7,0,3,194,137,284
6,1,aguascalientes,70 B1,230,10,1,6,2,33,99,,5,0,8,246,147,394
7,1,aguascalientes,78 B1,138,9,4,2,7,21,53,,3,0,14,154,101,251
8,1,aguascalientes,78 C1,133,12,1,8,4,16,55,,3,0,11,149,94,243
9,1,aguascalientes,80 B1,209,14,5,8,8,30,119,,12,0,19,240,121,424
10,1,aguascalientes,80 C1,221,16,11,13,2,32,115,,13,1,21,261,146,445
11,1,aguascalientes,80 C2,207,20,5,17,5,32,122,,11,1,17,243,121,437
12,1,aguascalientes,80 C3,198,17,1,17,7,39,129,,5,1,25,221,92,439
13,1,aguascalientes,80 C4,217,10,4,12,10,30,112,,12,0,12,243,131,419
14,1,aguascalientes,80 C5,200,18,4,8,2,28,140,,6,0,9,228,88,415
15,1,aguascalientes,80 C6,224,19,3,11,6,42,107,,9,0,17,255,148,438
16,1,aguascalientes,80 E1,221,13,5,8,4,32,88,,7,0,4,246,158,382
17,1,aguascalientes,80 E1 C1,200,20,6,9,5,27,90,,11,0,18,237,147,386
18,1,aguascalientes,80 E1 C2,190,23,0,12,5,37,90,,11,1,13,224,134,382
19,1,aguascalientes,80 E1 C3,210,25,3,5,5,25,121,,10,2,11,248,127,417
20,1,aguascalientes,80 E1 C4,205,20,6,8,4,29,116,,6,1,12,237,121,407
21,1,aguascalientes,84 B1,128,25,7,16,8,25,113,,7,0,23,167,54,352
22,1,aguascalientes,84 C1,126,18,6,13,11,25,144,,8,1,18,158,14,370
23,1,aguascalientes,84 C2,146,18,11,7,8,19,137,,4,0,31,179,42,381
24,1,aguascalientes,85 B1,128,20,10,11,6,23,119,,15,1,15,173,54,348
25,1,aguascalientes,85 C1,116,12,9,12,6,24,111,,9,0,18,146,35,317
26,1,aguascalientes,85 C2,112,18,11,10,8,15,111,,9,0,19,150,39,313
27,1,aguascalientes,85 C3,116,22,7,13,8,32,104,,8,0,20,153,49,330
28,1,aguascalientes,85 C4,114,19,11,12,6,28,116,,9,0,5,153,37,320
29,1,aguascalientes,85 C5,136,15,12,9,11,23,119,,13,0,12,176,57,350
30,1,aguascalientes,86 B1,144,18,10,12,10,24,103,,15,0,23,187,84,359
31,1,aguascalientes,86 C1,159,15,8,14,8,41,97,,2,0,12,184,87,356
32,1,aguascalientes,86 C2,164,11,10,10,5,38,109,,8,0,17,193,84,372
33,1,aguascalientes,86 C3,119,11,6,9,7,30,87,,14,0,14,150,63,297
34,1,aguascalientes,86 C4,138,9,10,11,11,27,83,,13,0,22,170,87,324
35,1,aguascalientes,86 C5,171,9,6,11,4,25,112,,8,0,16,194,82,362
36,1,aguascalientes,86 C6,143,16,13,8,12,36,103,,9,0,15,181,78,355
37,1,aguascalientes,86 C7,149,16,16,16,7,42,89,,3,0,12,184,95,350
38,1,aguascalientes,86 E1,141,12,9,10,8,27,132,,5,0,13,167,35,357
39,1,aguascalientes,86 E1 C1,144,13,9,11,5,27,114,,8,0,16,174,60,347
40,1,aguascalientes,86 E1 C2,162,15,3,14,2,34,124,,7,0,16,187,63,377
41,1,aguascalientes,86 E1 C3,150,21,9,8,7,38,107,,3,0,23,183,76,366
42,1,aguascalientes,86 E1 C4,148,9,5,12,7,35,124,,18,0,16,180,56,374
43,1,aguascalientes,86 E1 C5,140,17,0,13,6,32,121,,8,0,23,165,44,360
44,1,aguascalientes,86 E1 C6,165,5,8,7,4,28,112,,11,0,22,189,77,362
45,1,aguascalientes,86 E1 C7,178,17,6,17,5,30,103,,12,1,16,213,110,385
46,1,aguascalientes,86 E1 C8,162,12,4,14,7,39,124,,8,0,13,186,62,383
47,1,aguascalientes,86 E1 C9,143,13,9,12,5,27,113,,8,0,17,173,60,347
48,1,aguascalientes,86 E1 C10,152,15,17,15,5,23,123,,7,0,15,191,68,372
49,1,aguascalientes,87 B1,231,18,8,13,10,49,134,,9,0,14,266,132,486
50,1,aguascalientes,87 C1,221,18,5,11,7,39,128,,10,2,10,254,126,451
51,1,aguascalientes,87 C2,215,31,9,11,12,41,150,,7,0,20,262,112,496
52,1,aguascalientes,88 B1,178,18,5,6,5,22,113,,0,0,16,201,88,363
53,1,aguascalientes,88 C1,182,20,8,12,8,30,128,,5,0,11,215,87,404
54,1,aguascalientes,89 B1,121,9,8,12,3,22,116,,9,2,19,147,31,321
55,1,aguascalientes,89 C1,134,16,16,11,8,24,97,,4,0,19,170,73,329
56,1,aguascalientes,90 B1,264,19,2,15,5,48,93,,13,0,12,298,205,471
57,1,aguascalientes,90 C1,305,18,5,2,7,33,99,,7,0,13,335,236,489
58,1,aguascalientes,90 C2,257,16,6,8,11,43,100,,11,0,11,290,190,463
59,1,aguascalientes,90 C3,303,17,8,4,8,44,82,,12,0,11,340,258,489
60,1,aguascalientes,90 C4,261,13,8,10,5,33,106,,17,2,18,299,193,473
61,1,aguascalientes,91 B1,200,9,3,7,4,26,64,,9,0,8,221,157,330
62,1,aguascalientes,91 C1,188,15,3,8,6,27,82,,7,0,6,213,131,342
63,1,aguascalientes,92 B1,150,8,5,7,1,22,78,,9,0,12,172,94,292
64,1,aguascalientes,92 C1,154,10,5,8,5,23,62,,8,1,9,177,115,285
65,1,aguascalientes,93 B1,198,14,7,5,6,30,91,,5,0,7,224,133,363
66,1,aguascalientes,93 C1,198,16,2,7,8,34,85,,16,0,13,232,147,379
67,1,aguascalientes,94 B1,148,5,3,8,6,27,111,,14,1,23,170,59,346
68,1,aguascalientes,95 B1,129,13,5,9,6,19,90,,8,0,11,155,65,290
69,1,aguascalientes,95 C1,137,20,4,9,4,26,66,,16,0,9,177,111,291
70,1,aguascalientes,96 B1,229,23,3,16,6,46,109,,12,0,16,267,158,460
71,1,aguascalientes,96 C1,220,21,3,14,4,40,121,,11,0,12,255,134,446
72,1,aguascalientes,96 C2,226,18,1,9,2,42,110,,9,1,16,254,144,434
73,1,aguascalientes,96 C3,214,25,5,8,11,51,121,,15,0,15,259,138,465
74,1,aguascalientes,97 B1,47,10,10,23,8,18,66,,5,0,8,72,6,195
75,1,aguascalientes,97 C1,73,12,8,18,5,8,75,,4,0,19,97,22,222
76,1,aguascalientes,99 B1,142,10,6,12,3,25,107,,7,0,0,165,58,312
77,1,aguascalientes,99 C1,123,16,9,13,6,18,92,,13,0,7,161,69,297
78,1,aguascalientes,99 C2,114,11,12,13,4,29,94,,11,1,19,148,54,308
79,1,aguascalientes,100 B1,103,12,3,10,6,16,84,,6,0,6,124,40,246
80,1,aguascalientes,100 C1,99,16,7,12,2,23,112,,6,0,20,128,16,297
