MUNICIPIO,DISTRITO,SECCION,TIPO,PAN,PRI,PRD,PVEM,PT,PBC,TRANS,MC,MORENA,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,NO REGISTRADOS,VOTO NULO,TOTAL VOTOS,LISTA NOMINAL,% DE PARTICIP.,% DE ABST.,fuente
MEXICALI,I,549,B1,28,12,5,3,4,5,4,31,81,0,0,0,0,0,0,0,0,0,0,2,0,6,181,460,39.34,60.66,INSTITUTO ESTATAL ELECTORAL DE BAJA CALIFORNIA
MEXICALI,I,549,E1,32,9,0,3,4,2,4,11,61,1,0,0,1,0,0,0,0,0,0,1,0,6,135,562,24.02,75.98,RESULTADOS DEL CÓMPUTO FINAL DE LAS ELECCIONES DE GUBERNATURA  BASADOS EN LA CAPTURA REALIZADA DURANTE EL ESCRUTINIO Y COMPUTO DE LA VOTACIÓN EN LOS CONSEJOS DISTRITALES DEL PROCESO ELECTORAL 2018-2019
MEXICALI,I,550,B1,42,4,11,3,10,3,4,13,70,0,0,0,0,0,0,0,0,1,1,0,0,4,166,400,41.5,58.5,
MEXICALI,I,550,C1,48,7,6,3,5,5,7,25,66,0,0,0,0,0,0,0,0,0,0,0,0,9,181,400,45.25,54.75,
MEXICALI,I,550,E1,62,11,0,5,5,4,7,27,55,0,0,0,0,1,0,0,0,0,0,1,0,4,182,513,35.47,64.53,
MEXICALI,I,551,B1,48,6,2,3,5,0,5,8,52,0,0,0,0,0,0,0,0,0,0,0,0,2,131,407,32.18,67.82,
MEXICALI,I,551,C1,44,11,2,3,6,4,5,8,51,0,0,0,1,0,0,0,0,0,0,0,0,7,142,407,34.88,65.12,
MEXICALI,I,551,E1,37,3,3,3,4,4,7,16,46,1,0,0,0,0,0,0,0,0,2,1,1,3,131,281,46.61,53.39,
MEXICALI,I,552,B1,86,2,4,7,8,2,8,13,67,0,0,0,0,0,0,0,0,0,0,0,0,12,209,733,28.51,71.49,
MEXICALI,I,552,C1,89,7,4,1,5,1,8,18,77,0,0,0,0,0,0,0,0,0,1,2,0,11,224,732,30.6,69.4,
MEXICALI,I,553,B1,57,10,5,2,1,1,4,7,8,0,0,0,0,0,0,0,0,0,0,0,0,3,98,490,20,80,
MEXICALI,I,553,C1,50,6,3,1,0,2,3,7,46,1,0,0,0,0,0,0,1,0,0,0,0,0,120,490,24.48,75.52,
MEXICALI,I,553,E1,85,25,3,4,7,0,1,8,38,0,0,0,0,0,0,0,0,0,0,0,0,7,178,392,45.4,54.6,
MEXICALI,I,553,E1 C1,86,15,4,3,0,3,2,4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,163,391,41.68,58.32,
MEXICALI,I,554,B1,72,20,4,7,3,3,11,11,84,0,0,0,0,1,0,0,0,0,1,1,0,13,231,722,31.99,68.01,
MEXICALI,I,554,C1,73,22,8,4,4,1,8,10,60,0,0,0,1,0,0,0,0,0,0,1,0,4,196,721,27.18,72.82,
MEXICALI,I,555,B1,37,12,7,3,3,3,3,8,75,0,0,0,0,0,0,0,0,1,2,1,0,15,170,685,24.81,75.19,
MEXICALI,I,555,C1,68,12,7,0,2,3,4,9,87,1,0,0,0,0,1,0,0,0,0,0,0,12,206,685,30.07,69.93,
MEXICALI,I,555,C2,66,11,5,3,1,2,7,12,65,0,0,0,0,0,0,0,0,0,0,0,0,7,179,685,26.13,73.87,
MEXICALI,I,556,B1,78,4,6,3,2,4,6,18,72,1,0,0,0,0,0,0,60,0,0,0,0,18,272,511,53.22,46.78,
MEXICALI,I,556,C1,83,9,2,7,6,8,2,17,57,0,0,0,0,0,0,1,0,0,0,1,0,16,209,511,40.9,59.1,
MEXICALI,I,556,E1,100,7,5,2,3,0,12,12,50,0,0,0,0,0,0,0,0,0,1,3,0,10,205,458,44.75,55.25,
MEXICALI,I,556,E1 C1,100,8,7,9,3,1,7,12,43,0,0,0,0,0,0,0,0,0,0,0,0,10,200,458,43.66,56.34,
MEXICALI,I,557,B1,30,6,8,3,4,3,4,29,46,0,0,0,0,0,0,0,0,0,1,1,0,8,143,435,32.87,67.13,
MEXICALI,I,558,B1,65,7,10,1,5,6,9,16,93,0,0,0,0,0,0,0,0,0,0,0,0,11,223,688,32.41,67.59,
MEXICALI,I,558,C1,66,3,7,7,6,2,16,15,70,0,0,0,0,0,0,0,0,1,1,4,0,4,202,687,29.4,70.6,
MEXICALI,I,558,C2,79,10,5,4,5,3,6,20,92,0,0,0,0,1,0,0,1,0,0,1,0,12,239,687,34.78,65.22,
MEXICALI,I,559,B1,50,7,23,0,5,1,9,24,67,1,2,0,0,1,0,0,0,0,0,3,0,10,203,584,34.76,65.24,
MEXICALI,I,559,C1,86,8,16,2,4,0,10,18,74,0,1,0,1,3,0,0,0,0,0,1,0,10,234,583,40.13,59.87,
MEXICALI,I,560,B1,59,11,7,5,9,1,2,22,95,0,0,1,0,0,1,1,0,0,0,1,0,12,227,583,38.93,61.07,
MEXICALI,I,560,C1,91,15,16,4,4,2,6,20,86,7,0,0,0,0,0,0,0,2,2,3,0,10,268,583,45.96,54.04,
MEXICALI,I,561,B1,108,9,18,7,6,7,5,15,91,1,0,0,0,0,0,0,0,0,1,2,0,17,287,698,41.11,58.89,
MEXICALI,I,561,C1,76,17,14,6,6,4,7,23,82,0,0,0,0,0,0,0,0,0,1,0,0,9,245,698,35.1,64.9,
MEXICALI,I,562,B1,70,4,6,6,7,3,4,11,68,1,0,0,0,0,0,0,0,0,0,0,0,6,186,586,31.74,68.26,
MEXICALI,I,562,C1,79,8,7,3,7,5,9,14,71,1,1,0,0,0,0,0,0,0,0,0,0,5,210,586,35.83,64.17,
MEXICALI,I,562,C2,69,5,9,2,3,1,3,14,80,0,1,0,0,0,0,0,0,0,0,0,0,7,194,586,33.1,66.9,
MEXICALI,I,563,B1,38,7,26,4,9,3,5,38,82,0,0,0,0,0,0,0,1,0,1,1,0,13,228,589,38.7,61.3,
MEXICALI,I,563,E1,25,2,4,0,2,0,3,56,70,1,0,0,0,0,0,0,0,0,0,0,0,6,169,469,36.03,63.97,
