Municipio,Sección,Casilla,Partido Acción Nacional,Partido Revolucionario Institutcional,Partido de la Revolución Democrática,Partido del Trabajo,Partido Verde Ecologista de México,Movimiento Ciudadano,Nueva Alianza,Chiapas Unido,Morena,Encuentro Social,Podemos Mover a Chiapas,Candidato Independiente,No registrados,Votos Nulos,Total de Votos,Lista Nominal,% Participación Ciudadana
10 - BEJUCAL DE OCAMPO,113,BASICA,-,-,-,-,0,-,1,97,120,-,94,-,0,2,314,512,0.61328125
10 - BEJUCAL DE OCAMPO,113,CONTIGUA 1,-,-,-,-,0,-,0,139,102,-,76,-,0,0,317,511,0.620352250489237
10 - BEJUCAL DE OCAMPO,113,EXTRAORDINARIA 1,-,-,-,-,1,-,1,94,95,-,107,-,0,1,299,478,0.625523012552301
10 - BEJUCAL DE OCAMPO,114,BASICA,-,-,-,-,1,-,3,92,120,-,123,-,1,4,344,707,0.486562942008487
10 - BEJUCAL DE OCAMPO,114,CONTIGUA 1,-,-,-,-,1,-,3,117,126,-,111,-,0,5,363,706,0.514164305949009
10 - BEJUCAL DE OCAMPO,114,CONTIGUA 2,-,-,-,-,0,-,5,111,124,-,131,-,0,5,376,706,0.532577903682719
10 - BEJUCAL DE OCAMPO,115,BASICA,-,-,-,-,3,-,1,145,101,-,58,-,0,4,312,636,0.490566037735849
10 - BEJUCAL DE OCAMPO,115,CONTIGUA 1,-,-,-,-,2,-,0,178,102,-,46,-,0,10,338,635,0.532283464566929
10 - BEJUCAL DE OCAMPO,115,EXTRAORDINARIA 1,-,-,-,-,3,-,0,63,174,-,50,-,0,3,293,467,0.627408993576017
16 - CATAZAJA,186,BASICA,-,0,-,124,-,2,-,1,195,2,-,-,0,5,329,477,0.689727463312369
16 - CATAZAJA,186,CONTIGUA 1,-,2,-,98,-,7,-,0,216,0,-,-,0,7,330,477,0.691823899371069
16 - CATAZAJA,186,EXTRAORDINARIA 1,-,1,-,69,-,3,-,0,81,0,-,-,0,9,163,292,0.558219178082192
16 - CATAZAJA,187,BASICA,-,0,-,181,-,0,-,1,240,1,-,-,3,9,435,620,0.701612903225807
16 - CATAZAJA,187,CONTIGUA 1,-,0,-,157,-,1,-,4,247,3,-,-,2,8,422,620,0.680645161290323
16 - CATAZAJA,187,CONTIGUA 2,-,0,-,141,-,3,-,0,259,0,-,-,1,6,410,620,0.661290322580645
16 - CATAZAJA,188,BASICA,-,2,-,54,-,7,-,3,334,6,-,-,0,2,408,507,0.804733727810651
16 - CATAZAJA,188,CONTIGUA 1,-,0,-,72,-,4,-,4,266,1,-,-,0,4,351,507,0.692307692307692
16 - CATAZAJA,188,EXTRAORDINARIA 1,-,0,-,102,-,3,-,3,249,2,-,-,0,1,360,434,0.829493087557604
16 - CATAZAJA,189,BASICA,-,2,-,91,-,9,-,7,227,2,-,-,0,6,344,578,0.595155709342561
16 - CATAZAJA,189,EXTRAORDINARIA 1,-,2,-,68,-,2,-,4,112,2,-,-,0,4,194,284,0.683098591549296
16 - CATAZAJA,190,BASICA,-,1,-,136,-,2,-,2,297,4,-,-,0,7,449,587,0.764906303236797
16 - CATAZAJA,191,BASICA,-,0,-,83,-,1,-,5,249,1,-,-,0,6,345,551,0.626134301270418
16 - CATAZAJA,192,BASICA,-,2,-,204,-,7,-,8,262,2,-,-,0,9,494,645,0.765891472868217
16 - CATAZAJA,192,CONTIGUA 1,-,1,-,177,-,4,-,3,269,3,-,-,0,11,468,644,0.726708074534162
16 - CATAZAJA,193,BASICA,-,0,-,120,-,6,-,6,337,1,-,-,0,6,476,604,0.788079470198676
16 - CATAZAJA,193,CONTIGUA 1,-,1,-,134,-,3,-,4,331,3,-,-,0,0,476,603,0.7893864013267
16 - CATAZAJA,193,EXTRAORDINARIA 1,-,0,-,195,-,1,-,3,197,1,-,-,0,6,403,506,0.796442687747035
16 - CATAZAJA,193,EXTRAORDINARIA 2,-,2,-,146,-,7,-,5,210,1,-,-,0,3,374,486,0.769547325102881
16 - CATAZAJA,194,BASICA,-,3,-,104,-,4,-,3,247,1,-,-,0,18,380,520,0.730769230769231
16 - CATAZAJA,194,CONTIGUA 1,-,1,-,105,-,7,-,7,243,3,-,-,0,5,371,519,0.714836223506744
16 - CATAZAJA,194,EXTRAORDINARIA 1,-,2,-,138,-,3,-,2,121,1,-,-,0,2,269,385,0.698701298701299
16 - CATAZAJA,194,EXTRAORDINARIA 1 CONTIGUA 1,-,2,-,109,-,6,-,3,128,2,-,-,0,1,251,385,0.651948051948052
16 - CATAZAJA,195,BASICA,-,0,-,32,-,4,-,5,181,4,-,-,0,7,233,380,0.613157894736842
16 - CATAZAJA,195,CONTIGUA 1,-,0,-,51,-,2,-,2,184,1,-,-,0,0,240,379,0.633245382585752
16 - CATAZAJA,196,BASICA,-,1,-,172,-,7,-,5,268,3,-,-,0,9,465,689,0.67489114658926
29 - CHICOASEN,436,BASICA,87,-,-,-,-,-,-,47,162,3,-,79,1,12,391,532,0.734962406015038
29 - CHICOASEN,436,CONTIGUA 1,78,-,-,-,-,-,-,47,143,10,-,89,0,20,387,531,0.728813559322034
29 - CHICOASEN,436,CONTIGUA 2,90,-,-,-,-,-,-,36,163,8,-,56,0,15,368,531,0.693032015065913
29 - CHICOASEN,437,BASICA,85,-,-,-,-,-,-,115,157,3,-,72,0,16,448,667,0.671664167916042
29 - CHICOASEN,437,CONTIGUA 1,89,-,-,-,-,-,-,124,151,2,-,66,0,23,455,667,0.68215892053973
29 - CHICOASEN,437,CONTIGUA 2,103,-,-,-,-,-,-,71,196,5,-,59,0,18,452,667,0.677661169415292
29 - CHICOASEN,438,BASICA,61,-,-,-,-,-,-,80,322,14,-,23,0,15,515,671,0.767511177347243
70 - EL PORVENIR,1034,BASICA,-,1,0,11,-,1,5,161,116,0,212,-,2,3,512,712,0.719101123595506
70 - EL PORVENIR,1034,CONTIGUA 1,-,3,1,4,-,0,9,146,119,1,226,-,2,4,515,711,0.724331926863572
70 - EL PORVENIR,1034,CONTIGUA 2,-,3,1,6,-,0,8,191,115,1,188,-,0,0,513,711,0.721518987341772
70 - EL PORVENIR,1034,EXTRAORDINARIA 1,-,3,6,3,-,2,1,71,104,0,76,-,0,2,268,372,0.720430107526882
70 - EL PORVENIR,1035,BASICA,-,0,1,1,-,0,72,85,86,0,50,-,0,0,295,386,0.764248704663213
70 - EL PORVENIR,1035,CONTIGUA 1,-,0,0,1,-,0,65,60,107,0,58,-,0,0,291,385,0.755844155844156
70 - EL PORVENIR,1035,EXTRAORDINARIA 1,-,4,4,4,-,5,14,121,216,0,86,-,1,4,459,643,0.713841368584759
70 - EL PORVENIR,1036,BASICA,-,0,1,1,-,1,5,77,158,1,85,-,0,3,332,513,0.647173489278752
70 - EL PORVENIR,1036,CONTIGUA 1,-,3,0,3,-,3,4,106,156,1,87,-,0,2,365,513,0.711500974658869
70 - EL PORVENIR,1036,CONTIGUA 2,-,1,0,8,-,1,3,86,170,0,86,-,1,8,364,512,0.7109375
70 - EL PORVENIR,1036,EXTRAORDINARIA 1,-,0,0,0,-,0,1,104,64,0,37,-,0,0,206,269,0.765799256505576
70 - EL PORVENIR,1037,BASICA,-,2,1,0,-,0,4,156,74,0,142,-,0,4,383,573,0.668411867364747
70 - EL PORVENIR,1037,CONTIGUA 1,-,1,0,1,-,0,2,160,61,0,165,-,0,0,390,573,0.680628272251309
70 - EL PORVENIR,1037,EXTRAORDINARIA 1,-,1,0,0,-,1,0,114,126,1,99,-,0,2,344,474,0.725738396624473
70 - EL PORVENIR,1038,BASICA,-,1,1,3,-,1,5,161,104,0,177,-,0,8,461,639,0.721439749608764
70 - EL PORVENIR,1038,CONTIGUA 1,-,1,0,4,-,3,2,146,119,2,156,-,2,4,439,639,0.687010954616588
70 - EL PORVENIR,1038,EXTRAORDINARIA 1,-,0,0,0,-,2,3,86,87,1,99,-,0,4,282,384,0.734375
116 - MONTECRISTO DE GUERRERO,81,BASICA,37,-,-,-,-,-,1,-,173,-,226,-,0,5,442,546,0.80952380952381
116 - MONTECRISTO DE GUERRERO,83,BASICA,77,-,-,-,-,-,3,-,198,-,185,-,0,3,466,596,0.781879194630873
116 - MONTECRISTO DE GUERRERO,83,CONTIGUA 1,83,-,-,-,-,-,5,-,192,-,167,-,0,4,451,596,0.756711409395973
116 - MONTECRISTO DE GUERRERO,83,CONTIGUA 2,107,-,-,-,-,-,2,-,196,-,163,-,0,4,472,596,0.791946308724832
116 - MONTECRISTO DE GUERRERO,83,CONTIGUA 3,81,-,-,-,-,-,2,-,210,-,154,-,0,3,450,595,0.756302521008403
116 - MONTECRISTO DE GUERRERO,86,BASICA,96,-,-,-,-,-,7,-,261,-,124,-,0,11,499,618,0.807443365695793
116 - MONTECRISTO DE GUERRERO,86,CONTIGUA 1,121,-,-,-,-,-,3,-,218,-,143,-,0,4,489,618,0.79126213592233
116 - MONTECRISTO DE GUERRERO,87,BASICA,14,-,-,-,-,-,2,-,174,-,172,-,0,8,370,452,0.81858407079646
116 - MONTECRISTO DE GUERRERO,87,CONTIGUA 1,17,-,-,-,-,-,0,-,159,-,183,-,0,2,361,452,0.798672566371681
116 - MONTECRISTO DE GUERRERO,87,EXTRAORDINARIA 1,25,-,-,-,-,-,7,-,99,-,144,-,0,6,281,356,0.789325842696629
124 - RINCON CHAMULA SAN PEDRO,1045,BASICA,-,1,-,-,0,-,3,9,182,14,202,-,2,4,417,568,0.734154929577465
124 - RINCON CHAMULA SAN PEDRO,1045,CONTIGUA 1,-,1,-,-,3,-,3,7,177,14,162,-,0,7,374,568,0.658450704225352
124 - RINCON CHAMULA SAN PEDRO,1045,CONTIGUA 2,-,2,-,-,2,-,2,8,148,30,200,-,0,6,398,568,0.700704225352113
124 - RINCON CHAMULA SAN PEDRO,1045,CONTIGUA 3,-,0,-,-,2,-,6,6,177,24,152,-,0,4,371,568,0.653169014084507
124 - RINCON CHAMULA SAN PEDRO,1046,BASICA,-,0,-,-,1,-,4,2,201,11,185,-,0,9,413,601,0.687188019966722
124 - RINCON CHAMULA SAN PEDRO,1046,CONTIGUA 1,-,0,-,-,2,-,4,7,196,8,171,-,1,9,398,584,0.681506849315068
124 - RINCON CHAMULA SAN PEDRO,5011,BASICA,-,0,-,-,0,-,3,5,170,6,117,-,0,4,305,460,0.663043478260869
124 - RINCON CHAMULA SAN PEDRO,5011,CONTIGUA 1,-,1,-,-,1,-,2,5,189,7,131,-,0,6,342,459,0.745098039215686
117 - SAN ANDRES DURAZNAL,1213,BASICA,-,9,-,-,3,-,10,-,270,-,221,-,0,12,525,608,0.863486842105263
117 - SAN ANDRES DURAZNAL,1213,CONTIGUA 1,-,9,-,-,10,-,6,-,216,-,265,-,0,12,518,608,0.851973684210526
117 - SAN ANDRES DURAZNAL,1213,CONTIGUA 2,-,2,-,-,9,-,6,-,227,-,280,-,1,13,538,607,0.886326194398682
117 - SAN ANDRES DURAZNAL,1213,CONTIGUA 3,-,14,-,-,9,-,12,-,197,-,275,-,0,15,522,607,0.85996705107084
117 - SAN ANDRES DURAZNAL,1213,CONTIGUA 4,-,6,-,-,6,-,4,-,259,-,228,-,0,9,512,607,0.843492586490939
117 - SAN ANDRES DURAZNAL,1213,EXTRAORDINARIA 1,-,0,-,-,1,-,0,-,128,-,155,-,0,6,290,363,0.798898071625344
118 - SANTIAGO EL PINAR,685,BASICA,0,1,1,333,0,-,-,1,188,4,3,-,0,1,532,595,0.894117647058824
118 - SANTIAGO EL PINAR,685,CONTIGUA 1,0,2,2,331,3,-,-,3,203,3,2,-,0,7,556,595,0.934453781512605
118 - SANTIAGO EL PINAR,685,CONTIGUA 2,0,2,1,334,0,-,-,3,186,1,6,-,0,5,538,594,0.905723905723906
118 - SANTIAGO EL PINAR,685,EXTRAORDINARIA 1,0,0,2,314,0,-,-,2,179,1,8,-,0,0,506,556,0.910071942446043
85 - SOLOSUCHIAPA,1233,BASICA,-,1,-,-,205,-,216,1,34,0,6,-,0,8,471,597,0.78894472361809
85 - SOLOSUCHIAPA,1233,CONTIGUA 1,-,5,-,-,194,-,192,1,45,1,6,-,0,8,452,596,0.758389261744966
85 - SOLOSUCHIAPA,1233,CONTIGUA 2,-,2,-,-,172,-,211,2,45,1,5,-,0,5,443,596,0.743288590604027
85 - SOLOSUCHIAPA,1233,CONTIGUA 3,-,2,-,-,176,-,192,1,62,0,6,-,0,3,442,596,0.741610738255034
85 - SOLOSUCHIAPA,1234,BASICA,-,0,-,-,197,-,99,1,39,0,12,-,0,14,362,470,0.770212765957447
85 - SOLOSUCHIAPA,1234,CONTIGUA 1,-,1,-,-,178,-,118,1,43,1,3,-,0,7,352,470,0.748936170212766
85 - SOLOSUCHIAPA,1234,EXTRAORDINARIA 1,-,0,-,-,53,-,69,0,22,0,1,-,0,2,147,185,0.794594594594595
85 - SOLOSUCHIAPA,1235,BASICA,-,1,-,-,305,-,99,5,82,0,7,-,0,11,510,608,0.838815789473684
85 - SOLOSUCHIAPA,1235,CONTIGUA 1,-,1,-,-,275,-,121,2,73,0,6,-,0,7,485,608,0.797697368421053
85 - SOLOSUCHIAPA,1235,EXTRAORDINARIA 1,-,2,-,-,232,-,135,0,100,0,14,-,0,10,493,589,0.837011884550085
85 - SOLOSUCHIAPA,1235,EXTRAORDINARIA 2,-,1,-,-,164,-,123,1,13,0,2,-,0,4,308,366,0.841530054644809
92 - TAPILULA,1406,BASICA,-,207,1,-,-,3,1,175,80,-,-,-,0,13,480,628,0.764331210191083
92 - TAPILULA,1406,CONTIGUA 1,-,170,2,-,-,5,3,184,100,-,-,-,0,12,476,628,0.757961783439491
92 - TAPILULA,1406,CONTIGUA 2,-,162,1,-,-,4,2,166,141,-,-,-,0,11,487,627,0.776714513556619
92 - TAPILULA,1406,CONTIGUA 3,-,172,1,-,-,6,0,211,85,-,-,-,0,8,483,627,0.770334928229665
92 - TAPILULA,1407,BASICA,-,107,0,-,-,0,0,160,150,-,-,-,0,8,425,543,0.78268876611418
92 - TAPILULA,1407,CONTIGUA 1,-,104,0,-,-,2,4,154,159,-,-,-,0,12,435,543,0.801104972375691
92 - TAPILULA,1408,BASICA,-,139,0,-,-,4,2,128,171,-,-,-,0,12,456,584,0.780821917808219
92 - TAPILULA,1408,CONTIGUA 1,-,129,2,-,-,5,1,125,194,-,-,-,0,13,469,584,0.803082191780822
92 - TAPILULA,1409,BASICA,-,134,0,-,-,7,1,128,183,-,-,-,0,16,469,608,0.771381578947368
92 - TAPILULA,1409,CONTIGUA 1,-,139,3,-,-,6,1,135,166,-,-,-,0,11,461,607,0.759472817133443
92 - TAPILULA,1409,CONTIGUA 2,-,138,1,-,-,12,1,136,149,-,-,-,0,12,449,607,0.739703459637562
