edon,edo,dto,ife,mun,casilla,seccion,casilla,pan,pri,prd,pvem,pt,mc,morena,naem,pan.pri.prd.naem,pan.pri.prd,pan.pri.naem,pan.prd.naem,pri.prd.naem,pan.pri,pan.prd,pan.naem,pri.prd,pri.naem,prd.naem,pvem.pt.morena,pvem.pt,pvem.morena,pt.morena,pan.pri.prd.naem.cc,pvem.pt.morena.cc,LUIS_FERNANDO_AMBROCIO_FLORES,JORGE_MARTINEZ_SANTIAGO,BEATRIZ_CHAVARRIA_COBOS,ARMANDO_TRUJILLO_VALDIN,DANIEL_JUAREZ_JUAREZ,JOSE_LUIS_OROZPE_LOPEZ,JUAN_ALVARADO_SOLIS,XOCHITL_AMERICA_VARILLER_RAMIREZ,MONICA_COREY_MORALES_TRUJILLO,nr,nul,validos,total,impugnada,teem,anulada
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,1 B1,1,B1,133,141,0,14,5,27,91,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,17,416,434,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,1 C1,1,C1,155,115,0,4,4,31,83,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,396,432,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,1 C2,1,C2,165,170,0,8,1,16,88,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,14,452,471,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,2 B1,2,B1,138,161,0,9,4,29,63,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,30,410,451,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,2 C1,2,C1,137,157,0,8,3,32,87,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,430,447,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,2 C2,2,C2,115,140,0,6,1,16,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,24,380,411,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,3 B1,3,B1,141,140,0,8,3,39,88,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,12,424,449,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,3 C1,3,C1,143,142,0,13,4,28,76,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,19,411,447,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,3 C2,3,C2,138,156,0,12,2,22,96,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,14,431,451,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,3 C3,3,C3,97,155,0,18,8,22,83,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10,23,391,424,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,4 B1,4,B1,44,81,0,18,5,11,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,282,297,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,4 C1,4,C1,41,85,0,14,11,7,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,299,314,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,4 C2,4,C2,54,98,0,21,13,5,110,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,310,330,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,4 E1,4,E1,66,83,0,14,12,26,135,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,16,346,362,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,5 B1,5,B1,16,231,0,18,1,2,44,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,315,328,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,5 E1,5,E1,20,70,0,8,4,4,60,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,172,181,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,6 B1,6,B1,25,80,0,11,2,9,85,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,6,220,227,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,6 C1,6,C1,31,81,0,9,4,4,93,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,13,0,233,246,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,7 B1,7,B1,25,59,0,11,7,11,127,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,254,260,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,7 E1,7,E1,22,87,0,16,5,3,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,259,265,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,8 B1,8,B1,26,132,0,21,15,7,161,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,13,374,387,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,9 B1,9,B1,16,63,0,14,6,9,109,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,223,237,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,9 C1,9,C1,30,63,0,19,10,3,106,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,17,243,260,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,10 B1,10,B1,15,89,0,27,5,7,144,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13,302,315,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,10 C1,10,C1,18,68,0,24,5,6,137,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,17,273,291,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,10 C2,10,C2,20,71,0,28,7,11,165,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,13,318,331,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,11 B1,11,B1,23,98,0,34,4,5,118,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,14,290,305,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,11 C1,11,C1,30,96,0,28,5,8,113,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,14,291,308,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,11 E1,11,E1,13,42,0,90,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,168,173,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,12 B1,12,B1,16,77,0,16,6,11,97,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,229,246,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,12 C1,12,C1,37,96,0,20,2,8,88,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,10,259,269,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,12 E1,12,E1,19,65,0,15,1,9,77,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,188,203,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,13 B1,13,B1,86,68,0,22,9,27,166,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,5,0,0,0,0,0,0,0,0,0,0,0,1,26,391,418,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,13 E1,13,E1,81,49,0,9,5,17,84,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,12,254,266,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,13 E1,13,E1,92,44,0,9,4,6,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,246,256,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,13 E2,13,E2,39,24,0,6,3,4,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,126,137,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,14 B1,14,B1,102,86,0,8,4,21,108,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,330,349,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,14 C1,14,C1,96,95,0,14,3,18,111,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,343,352,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,14 E1,14,E1,89,56,0,10,7,2,112,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,281,290,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,14 E1,14,E1,102,59,0,15,4,4,105,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,8,294,303,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,14 E2,14,E2,58,46,0,6,5,3,47,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,173,176,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,15 B1,15,B1,90,70,0,16,4,12,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,280,287,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,15 C1,15,C1,68,83,0,17,1,3,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,264,275,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,15 E1,15,E1,121,51,0,12,5,6,46,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,245,255,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,16 B1,16,B1,131,62,0,10,7,14,162,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,4,0,0,0,0,0,0,0,0,0,0,0,1,24,406,431,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,16 C1,16,C1,159,57,0,23,10,16,150,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,0,0,0,0,0,0,0,0,0,0,2,19,427,448,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,16 C2,16,C2,137,59,0,14,9,20,177,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,17,421,438,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,17 B1,17,B1,91,113,0,17,8,14,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,367,403,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,17 E1,17,E1,43,54,0,8,3,10,99,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,224,246,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,17 E1,17,E1,70,39,0,5,1,9,109,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,235,246,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,17 E2,17,E2,38,77,0,10,5,16,106,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,9,258,269,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,18 B1,18,B1,70,104,0,26,3,24,80,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,11,313,328,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,18 C1,18,C1,92,57,0,12,5,18,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,287,312,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,19 B1,19,B1,53,53,0,0,8,19,155,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,318,330,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,19 C1,19,C1,47,37,0,19,4,26,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,270,294,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,19 C2,19,C2,51,40,0,0,8,16,165,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,314,329,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,19 C3,19,C3,57,48,0,20,10,32,131,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,16,314,330,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,20 B1,20,B1,84,87,0,20,13,15,173,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,15,397,415,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,20 C1,20,C1,94,44,0,19,13,13,170,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,1,0,0,0,0,0,0,0,0,0,0,0,2,9,370,381,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,20 C2,20,C2,75,64,0,18,12,23,171,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,19,376,396,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,20 C3,20,C3,89,52,0,17,6,29,184,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,16,392,408,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,21 B1,21,B1,73,69,0,10,2,16,167,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,349,374,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,21 C1,21,C1,69,95,0,14,2,15,144,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,15,347,365,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,21 E1,21,E1,105,89,0,9,4,14,153,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,21,381,402,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,22 B1,22,B1,89,85,0,26,3,13,180,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,2,10,405,417,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,22 C1,22,C1,98,86,0,29,6,20,156,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,12,405,417,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,22 C2,22,C2,74,84,0,17,6,23,170,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,21,387,409,0,0,0
15,mexico,14,15001,ACAMBAY DE RUIZ CASTAÑEDA,23 B1,23,B1,115,87,0,19,4,9,66,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,1,8,311,320,0,0,0
