ord,mun,seccion,casilla,dem,pan,pri-pvem-pna,prd,pt,prs,mc,indep,nr,nul,efec
1,ACAPONETA,1,B,1,,135,167,43,1,0,,0,18,346
2,ACAPONETA,8,B,1,,205,237,71,1,4,,0,9,518
3,ACAPONETA,9,B,1,,149,169,74,2,5,,0,6,399
4,ACAPONETA,9,C1,1,,153,179,91,1,7,,0,0,431
5,ACAPONETA,10,B,1,,200,242,142,1,4,,0,23,589
10,ACAPONETA,2,B,2,,104,160,26,7,3,,0,9,300
11,ACAPONETA,2,E1,2,,105,146,18,0,0,,0,0,269
12,ACAPONETA,3,B,2,,154,311,28,3,2,,0,20,498
13,ACAPONETA,3,C1,2,,165,324,29,4,0,,0,0,522
14,ACAPONETA,4,B,2,,180,246,16,4,2,,0,0,448
15,ACAPONETA,24,B,2,,184,219,5,0,0,,0,16,408
16,ACAPONETA,24,E1,2,,53,63,0,1,0,,0,6,117
21,ACAPONETA,5,B,3,,173,341,7,12,12,,0,15,545
22,ACAPONETA,6,B,3,,125,127,8,31,7,,0,7,298
23,ACAPONETA,7,B,3,,157,127,15,55,13,,0,10,367
24,ACAPONETA,11,B,3,,114,56,4,37,10,,0,5,221
25,ACAPONETA,12,B,3,,222,133,6,31,36,,1,8,428
26,ACAPONETA,13,B,3,,206,140,10,22,19,,0,0,397
31,ACAPONETA,14,B,4,,96,60,18,9,9,,0,0,192
32,ACAPONETA,15,B,4,,144,112,28,11,11,,0,7,306
33,ACAPONETA,16,B,4,,172,235,18,7,129,,0,15,561
34,ACAPONETA,17,B,4,,207,240,20,3,26,,0,10,496
35,ACAPONETA,18,B,4,,271,203,20,10,26,,0,9,530
40,ACAPONETA,19,B,5,,65,24,2,0,0,,1,2,91
41,ACAPONETA,20,B,5,,55,61,3,0,0,,0,0,119
42,ACAPONETA,20,E1,5,,41,33,1,0,0,,0,0,75
43,ACAPONETA,21,B,5,,228,98,4,2,0,,0,10,332
44,ACAPONETA,22,B,5,,97,68,3,1,0,,0,4,169
45,ACAPONETA,23,B,5,,157,108,38,7,0,,0,0,310
46,ACAPONETA,23,E1,5,,59,45,3,0,0,,0,4,107
47,ACAPONETA,33,B,5,,131,332,2,0,18,,0,21,483
48,ACAPONETA,34,B,5,,79,58,4,0,2,,0,4,143
49,ACAPONETA,34,E1,5,,23,20,1,1,0,,0,0,45
50,ACAPONETA,35,B,5,,41,30,2,0,0,,0,2,73
51,ACAPONETA,36,B,5,,224,290,26,4,2,,0,32,546
52,ACAPONETA,37,B,5,,94,126,5,0,1,,0,0,226
57,ACAPONETA,38,B,6,,360,327,5,1,1,,0,14,694
58,ACAPONETA,39,B,6,,236,309,2,2,1,,0,27,550
59,ACAPONETA,40,B,6,,223,141,8,5,1,,0,19,378
60,ACAPONETA,40,E1,6,,84,44,7,2,0,,0,1,137
61,ACAPONETA,41,B,6,,136,94,11,2,0,,0,6,243
62,ACAPONETA,42,B,6,,20,30,3,4,2,,0,2,59
63,ACAPONETA,43,B,6,,214,189,19,2,9,,0,0,433
