ord,mun,seccion,casilla,pri,pvem,mc,pna,morena,pes,pan.prd.pt.prs,indep1,indep2,indep3,efec,nr,nul,nota
1,ACAPONETA,1,Básica ,121,11,6,2,116,9,43,16,,,324,0,21,
2,ACAPONETA,2,Básica ,101,14,5,4,101,5,36,9,,,275,0,15,
3,ACAPONETA,2,Contigua 1,107,10,4,3,110,7,44,10,,,295,0,21,
4,ACAPONETA,3,Básica ,116,7,7,12,111,3,100,7,,,363,0,17,
5,ACAPONETA,3,Contigua 1,103,16,14,6,110,5,78,14,,,346,0,14,
6,ACAPONETA,3,Contigua 2,98,11,6,4,147,6,69,13,,,354,0,10,
7,ACAPONETA,4,Básica ,101,14,21,6,182,2,76,10,,,412,0,8,
8,ACAPONETA,5,Básica ,76,14,5,5,96,10,64,12,,,282,0,17,
9,ACAPONETA,5,Contigua 1,56,19,2,3,107,7,78,5,,,277,0,17,
10,ACAPONETA,6,Básica ,71,18,5,3,104,4,59,24,,,288,0,12,
11,ACAPONETA,7,Básica ,71,6,10,3,132,9,83,24,,,338,1,7,
12,ACAPONETA,8,Básica ,67,12,2,1,135,7,58,5,,,287,0,6,
13,ACAPONETA,8,Contigua 1,77,13,5,2,119,6,48,6,,,276,0,11,
14,ACAPONETA,9,Básica ,100,27,8,3,201,16,57,11,,,423,1,9,
15,ACAPONETA,9,Contigua 1,99,36,13,7,211,14,57,18,,,455,0,8,
16,ACAPONETA,10,Básica ,80,7,6,5,149,25,44,13,,,329,0,11,
17,ACAPONETA,10,Contigua 1,79,11,6,3,167,14,48,12,,,340,0,11,
18,ACAPONETA,11,Básica ,56,9,6,3,95,3,38,7,,,217,0,3,
19,ACAPONETA,12,Básica ,122,11,11,4,215,12,62,14,,,451,0,12,
20,ACAPONETA,13,Básica ,104,18,3,3,169,3,74,8,,,382,0,12,
21,ACAPONETA,13,Especial 1,16,4,2,3,84,0,22,3,,,134,0,9,
22,ACAPONETA,14,Básica ,39,15,2,2,68,2,38,20,,,186,0,3,
23,ACAPONETA,15,Básica ,76,11,7,1,140,2,59,8,,,304,0,14,
24,ACAPONETA,16,Básica ,74,5,6,6,123,18,62,19,,,313,0,7,
25,ACAPONETA,16,Contigua 1,73,2,4,8,123,13,64,22,,,309,0,7,
26,ACAPONETA,17,Básica ,55,6,3,6,132,2,33,8,,,245,0,7,
27,ACAPONETA,17,Contigua 1,68,10,8,3,113,5,43,5,,,255,0,6,
28,ACAPONETA,18,Básica ,85,3,1,8,97,6,43,15,,,258,0,13,
29,ACAPONETA,18,Contigua 1,72,7,1,0,113,9,40,10,,,252,0,14,
30,ACAPONETA,19,Básica ,45,2,2,0,9,1,1,12,,,72,0,10,
31,ACAPONETA,20,Básica ,66,3,12,1,30,0,19,14,,,145,0,22,
32,ACAPONETA,21,Básica ,82,5,6,5,129,4,31,15,,,277,0,19,
33,ACAPONETA,22,Básica ,13,1,2,0,115,1,22,2,,,156,0,16,
34,ACAPONETA,23,Básica ,51,12,4,1,129,13,25,27,,,262,0,20,
35,ACAPONETA,23,Extraordinaria 1,34,8,0,1,37,1,23,4,,,108,0,7,
36,ACAPONETA,24,Básica ,189,15,8,2,271,8,61,3,,,557,0,23,
37,ACAPONETA,25,Básica ,15,3,0,2,33,0,9,11,,,73,0,7,
38,ACAPONETA,26,Básica ,28,4,3,0,44,1,35,7,,,122,0,9,
39,ACAPONETA,27,Básica ,52,10,2,4,95,1,57,9,,,230,0,11,
40,ACAPONETA,28,Básica ,117,1,4,0,67,0,34,8,,,231,0,9,
41,ACAPONETA,29,Básica ,45,2,2,2,34,1,13,1,,,100,0,10,
42,ACAPONETA,30,Básica ,38,5,3,0,93,0,16,12,,,167,0,8,
43,ACAPONETA,31,Básica ,32,7,3,2,180,2,11,1,,,238,0,8,
44,ACAPONETA,32,Básica ,219,1,1,0,63,0,6,2,,,292,0,3,
45,ACAPONETA,33,Básica ,70,19,5,5,186,8,168,8,,,469,0,34,
46,ACAPONETA,34,Básica ,57,0,6,2,60,0,45,13,,,183,0,4,
47,ACAPONETA,35,Básica ,12,4,0,1,29,0,19,6,,,71,0,8,
48,ACAPONETA,36,Básica ,38,17,12,1,87,1,43,17,,,216,0,30,
49,ACAPONETA,36,Contigua 1,40,43,15,5,77,1,44,23,,,248,0,32,
50,ACAPONETA,37,Básica ,41,4,5,6,61,1,39,40,,,197,0,17,
51,ACAPONETA,38,Básica ,117,3,9,1,101,7,56,28,,,322,0,23,
52,ACAPONETA,38,Contigua 1,116,3,4,1,116,6,65,22,,,333,0,12,
53,ACAPONETA,39,Básica ,78,5,13,1,88,4,39,6,,,234,0,15,
54,ACAPONETA,39,Contigua 1,83,1,10,1,80,8,52,18,,,253,0,13,
55,ACAPONETA,40,Básica ,117,0,5,0,291,0,74,18,,,505,0,14,
56,ACAPONETA,41,Básica ,76,2,11,0,113,0,33,6,,,241,0,7,
57,ACAPONETA,43,Básica ,177,7,6,4,137,3,97,34,,,465,0,21,
58,ACAPONETA,44,Básica ,31,3,1,1,40,0,25,3,,,104,0,5,
59,ACAPONETA,45,Básica ,24,4,0,3,61,0,47,9,,,148,0,9,
60,ACAPONETA,46,Básica ,60,15,2,0,129,0,96,3,,,305,0,6,
61,ACAPONETA,46,Contigua 1,35,9,4,0,124,1,72,8,,,253,0,13,
62,ACAPONETA,47,Básica ,83,1,8,3,148,2,103,67,,,415,0,28,
63,ACAPONETA,47,Extraordinaria 1,23,2,0,0,21,0,10,5,,,61,0,2,
64,ACAPONETA,48,Básica ,37,2,1,1,42,3,16,25,,,127,1,6,
65,AHUACATLÁN,49,Básica ,136,0,159,0,25,0,121,22,,,463,0,12,
66,AHUACATLÁN,50,Básica ,77,0,97,1,12,0,71,14,,,272,0,8,
67,AHUACATLÁN,50,Contigua 1,100,0,73,0,15,0,59,15,,,262,0,4,
68,AHUACATLÁN,51,Básica ,124,0,182,1,11,0,129,33,,,480,0,11,
69,AHUACATLÁN,52,Básica ,158,0,129,1,10,0,66,19,,,383,0,14,
70,AHUACATLÁN,52,Contigua 1,159,0,120,0,4,0,80,18,,,381,0,9,
71,AHUACATLÁN,53,Básica ,102,0,129,2,6,0,66,27,,,332,0,7,
72,AHUACATLÁN,53,Contigua 1,94,0,132,1,10,0,65,22,,,324,0,6,
73,AHUACATLÁN,54,Básica ,100,0,150,1,10,0,102,29,,,392,0,11,
74,AHUACATLÁN,54,Contigua 1,126,0,144,1,6,0,88,19,,,384,0,6,
75,AHUACATLÁN,54,Especial 1,4,0,8,0,1,0,3,2,,,18,0,0,
76,AHUACATLÁN,55,Básica ,87,0,18,0,14,0,79,23,,,221,0,1,
