ord,casilla,dto,munn,mun,pan,pri,prd,pvem,pt,cp,mc,morena,pna,ml,pes,pan.pri.prd,cpan2,cpan3,cpan4,pvem.pt.morena,cpvem2,cpvem3,cpvem4,indep,nr,nul
1,30001B010102,2,01,AHUALULCO,1,9,74,80,3,1,19,6,130,2,,,,,,9,1,0,0,,0,10
2,30001C010102,2,01,AHUALULCO,3,5,60,65,1,0,37,1,160,1,,,,,,3,2,2,0,,0,17
3,30001C020102,2,01,AHUALULCO,0,3,56,78,3,2,29,6,144,0,,,,,,6,2,2,1,,0,8
4,30002B010102,2,01,AHUALULCO,2,7,55,107,5,0,42,4,190,0,,,,,,9,1,1,0,,0,8
5,30002C010102,2,01,AHUALULCO,1,12,61,89,3,1,34,3,202,2,,,,,,5,1,1,0,,0,6
6,30002C020102,2,01,AHUALULCO,1,6,44,98,3,0,33,3,199,0,,,,,,8,1,0,0,,0,12
7,30002C030102,2,01,AHUALULCO,3,9,40,83,7,1,38,7,187,1,,,,,,9,6,4,0,,0,12
8,30003B010102,2,01,AHUALULCO,0,6,1,126,6,0,2,3,13,0,,,,,,11,4,0,0,,0,1
9,30004B010102,2,01,AHUALULCO,0,1,1,198,2,2,0,1,7,0,,,,,,12,8,1,0,,0,9
10,30005B010102,2,01,AHUALULCO,0,1,21,109,4,0,3,0,26,0,,,,,,8,1,1,0,,0,8
11,30006B010102,2,01,AHUALULCO,1,8,42,92,9,1,38,10,76,0,,,,,,13,7,3,0,,0,14
12,30006E010102,2,01,AHUALULCO,1,12,14,121,6,1,27,11,101,2,,,,,,7,1,4,0,,0,15
13,30006X010102,2,01,AHUALULCO,2,22,14,120,7,0,52,5,101,0,,,,,,7,8,2,1,,0,10
14,30007B010102,2,01,AHUALULCO,1,5,28,103,8,0,25,5,147,3,,,,,,8,10,6,1,,0,22
15,30007C010102,2,01,AHUALULCO,3,6,39,129,8,0,24,2,119,1,,,,,,6,11,4,0,,0,25
16,30008B010102,2,01,AHUALULCO,1,10,35,57,2,0,41,5,175,1,,,,,,9,3,0,0,,0,17
17,30008C010102,2,01,AHUALULCO,3,8,44,84,3,0,27,4,185,0,,,,,,8,5,2,1,,0,13
18,30008E010102,2,01,AHUALULCO,0,0,8,48,2,0,19,5,33,4,,,,,,3,1,0,0,,0,4
