ord,edo,mun,part,NOMBRE,CARGO
7009,sin,AHOME,pan-prd-pmc-pas,MIGUEL ANGEL CAMACHO SANCHEZ,Propietario
7010,sin,AHOME,Pri-pvem-pna,ALVARO RUELAS ECHAVE,Propietario
7011,sin,AHOME,pt-morena-pes,MANUEL GUILLERMO CHAPMAN MORENO,Propietario
7012,sin,AHOME,indep,DANIEL HUMBERTO IBARRA RODRIGUEZ,Propietario
7013,sin,ANGOSTURA,pan-prd-pmc-pas,ALBERTO RIVERA CAMACHO,Propietario
7014,sin,ANGOSTURA,Pri-pvem-pna,AGLAEE MONTOYA MARTINEZ,Propietario
7015,sin,ANGOSTURA,pt-morena-pes,JOSE LUIS BELTRAN ASTORGA,Propietario
7016,sin,ANGOSTURA,indep,MARIA LUISA SANCHEZ VALENZUELA,Propietario
7017,sin,BADIRAGUATO,pan-prd-pmc-pas,ALBERTICO MEDINA SERRANO,Propietario
7018,sin,BADIRAGUATO,Pri-pvem-pna,MARIA LORENA PEREZ OLIVAS,Propietario
7019,sin,BADIRAGUATO,pt-morena-pes,MIGUELINA RODRIGUEZ GUERRERO,Propietario
7020,sin,BADIRAGUATO,indep,PETRA LARA QUIROZ,Propietario
7021,sin,CHOIX,pan-prd-pmc-pas,YONEIDA GAMEZ VAZQUEZ,Propietario
7022,sin,CHOIX,Pri-pvem-pna,JOSE LINDOLFO REYES GUTIERREZ,Propietario
7023,sin,CHOIX,pt-morena-pes,OMAR RUBEN GIL SANTINI,Propietario
7024,sin,CHOIX,indep,MICAELA CARRILLO RAMIREZ,Propietario
7025,sin,CONCORDIA,pan-prd-pmc-pas,EYLEEN ABBYGAIL GARZON GONZALEZ,Propietario
7026,sin,CONCORDIA,Pri-pvem-pna,JOSE FELIPE GARZON LOPEZ,Propietario
7027,sin,CONCORDIA,pt-morena-pes,MARIA DEL CARMEN REYES TISNADO,Propietario
7028,sin,CONCORDIA,indep,TERECITA DE JESUS ONTIVEROS NUÑEZ,Propietario
7029,sin,COSALÁ,pan-prd-pmc-pas,CARLA URSULA CORRALES CORRALES,Propietario
7030,sin,COSALÁ,Pri-pvem-pna,GRISELDA QUINTANA GARCIA,Propietario
7031,sin,COSALÁ,pt-morena-pes,YOLANDA RODRIGUEZ SANCHEZ,Propietario
7032,sin,COSALÁ,indep,MARISOL FELIX MARTINEZ,Propietario
7033,sin,CULIACÁN,pan-prd-pmc-pas,ROBESPIERRE LIZARRAGA OTERO,Propietario
7034,sin,CULIACÁN,Pri-pvem-pna,JESUS ANTONIO VALDES PALAZUELOS,Propietario
7035,sin,CULIACÁN,pt-morena-pes,JESUS ESTRADA FERREIRO,Propietario
7036,sin,CULIACÁN,indep,CARLOS ARTURO GARCIA LOPEZ,Propietario
7037,sin,EL FUERTE,pan-prd-pmc-pas,ROSA MARIA MARTINEZ CAÑEDO,Propietario
7038,sin,EL FUERTE,Pri-pvem-pna,NUBIA XICLALI RAMOS CARBAJAL,Propietario
7039,sin,EL FUERTE,pt-morena-pes,AURELIANO URIAS RODRIGUEZ,Propietario
7040,sin,EL FUERTE,indep,BLANCA FLERIDA RIVERA CAMACHO,Propietario
7041,sin,ELOTA,pan-prd-pmc-pas,VIRIDIANA CAMACHO MILLAN,Propietario
7042,sin,ELOTA,Pri-pvem-pna,ANGEL GEOVANI ESCOBAR MANJARREZ,Propietario
7043,sin,ELOTA,pt-morena-pes,OLGA LIDIA GARCIA GASTELUM,Propietario
7044,sin,ELOTA,indep,SERGIO ARTURO ROSAS MIRANDA,Propietario
7045,sin,ESCUINAPA,pan-prd-pmc-pas,FRANCISCA HENRIQUEZ AYON,Propietario
7046,sin,ESCUINAPA,pri,HUGO ENRIQUE MORENO GUZMAN,Propietario
7047,sin,ESCUINAPA,pvem,BLANCA GRISELDA LIZARRAGA LOPEZ,Propietario
7048,sin,ESCUINAPA,pna,LUZ ESTHER CRESPO RODRIGUEZ,Propietario
7049,sin,ESCUINAPA,pt,ALVARO MALDONADO RAMOS,Propietario
7050,sin,ESCUINAPA,pes,SILVIA EDELMIRA ACOSTA DENIS,Propietario
7051,sin,ESCUINAPA,indep,ROSA EVELIA GOMEZ MEJAR,Propietario
7052,sin,ESCUINAPA,morena,EMMETT SOTO GRAVE,Propietario
7053,sin,GUASAVE,pan-prd-pmc-pas,JESUS ANTONIO LOPEZ RODRIGUEZ,Propietario
7054,sin,GUASAVE,Pri-pvem-pna,DIANA ARMENTA ARMENTA,Propietario
7055,sin,GUASAVE,pt-morena-pes,MARIA AURELIA LEAL LOPEZ,Propietario
7056,sin,GUASAVE,indep,MARTIN GERARDO LUGO MARTINEZ,Propietario
7057,sin,MAZATLÁN,pan-prd-pmc-pas,ALEJANDRO HIGUERA OSUNA,Propietario
7058,sin,MAZATLÁN,Pri-pvem-pna,FERNANDO PUCHETA SANCHEZ,Propietario
7059,sin,MAZATLÁN,pt-morena-pes,LUIS GUILLERMO BENITEZ TORRES,Propietario
7060,sin,MAZATLÁN,indep,FRANCISCO JAVIER CERVANTES LOPEZ,Propietario
7061,sin,MOCORITO,pan-prd-pmc-pas,JESUS GUILLERMO GALINDO CASTRO,Propietario
