edon,edo,munn,mun,PAN,PRI,PRD,pvem,PT,MC,pna,morena,PES,Pt-morena-pes,Pan-prd-mc,indep1,indep2,nr,nul,tot,lisnom
28,TAMAULIPAS,1,ABASOLO,2388,2771,18,2,12,7,2,307,23,13,57,0,0,0,176,5776,8255
28,TAMAULIPAS,2,ALDAMA,2213,5822,79,75,292,5389,149,879,40,54,414,0,0,1,582,15989,23128
28,TAMAULIPAS,3,ALTAMIRA,37319,20776,773,2778,2292,1172,1427,24328,1226,1209,1070,0,0,38,2458,96866,165719
28,TAMAULIPAS,4,ANTIGUO MORELOS,3632,1460,34,60,20,8,1,193,5,5,23,0,0,0,144,5585,7221
28,TAMAULIPAS,5,BURGOS,2178,1276,1,0,1,0,2,29,0,0,0,0,0,32,70,3589,4540
28,TAMAULIPAS,6,BUSTAMANTE,1752,2694,4,1,5,2,2,65,1,1,0,0,0,0,61,4588,5635
28,TAMAULIPAS,7,CAMARGO,2758,1291,37,150,83,33,26,668,1009,112,47,0,0,1,237,6452,12770
28,TAMAULIPAS,8,CASAS,1916,1353,4,1,14,2,4,155,4,2,0,0,0,0,77,3532,4304
28,TAMAULIPAS,9,CIUDAD MADERO,35963,12047,944,1375,2215,982,1407,37536,1127,1326,873,5241,0,101,1529,102666,168153
28,TAMAULIPAS,10,CRUILLAS,278,439,0,1,10,2,1,450,3,14,0,0,0,0,35,1233,2017
28,TAMAULIPAS,11,GOMEZ FARIAS,3217,1361,14,4,29,8,40,336,14,22,0,0,0,1,133,5179,7170
28,TAMAULIPAS,12,GONZALEZ,10098,1518,129,218,303,97,48,4940,102,208,0,0,0,8,641,18310,31247
28,TAMAULIPAS,13,GUEMEZ,2867,1690,34,17,149,56,873,3102,49,52,25,0,0,20,225,9159,12684
28,TAMAULIPAS,14,GUERRERO,542,627,0,491,17,0,3,30,90,7,0,0,0,0,47,1854,2617
28,TAMAULIPAS,15,GUSTAVO DIAZ ORDAZ,2189,1642,27,15,68,12,26,564,2386,203,28,0,0,0,221,7381,13374
28,TAMAULIPAS,16,HIDALGO,6661,582,73,39,444,70,21,687,49,33,38,0,0,0,716,9413,15169
28,TAMAULIPAS,17,JAUMAVE,1916,1453,42,1710,15,1431,10,99,86,11,0,1887,0,2,399,9061,11608
28,TAMAULIPAS,18,JIMENEZ,2221,331,1,3,2,6,1884,35,1,3,0,0,0,1,182,4670,6022
28,TAMAULIPAS,19,LLERA,3256,253,27,14,60,49,30,194,26,16,39,3706,0,0,513,8183,12882
28,TAMAULIPAS,20,MAINERO,1288,60,1,0,8,4,0,17,1,1,5,0,0,0,121,1506,2148
28,TAMAULIPAS,21,EL MANTE,15874,11413,445,830,961,163,473,8755,1150,622,0,3288,640,50,1244,45908,86555
28,TAMAULIPAS,22,MATAMOROS,52465,51546,1826,3840,4325,2141,698,59153,1471,1848,1193,1462,0,149,4524,186641,394634
28,TAMAULIPAS,23,MENDEZ,1323,1086,9,2,28,6,7,383,9,12,0,0,0,0,54,2919,4040
28,TAMAULIPAS,24,MIER,1613,643,2,1,6,6,3,51,4,1,0,0,0,1,65,2396,4359
28,TAMAULIPAS,25,MIGUEL ALEMAN,3387,5359,57,17,263,44,32,2612,54,103,57,0,0,9,319,12313,20446
28,TAMAULIPAS,26,MIQUIHUANA,1077,380,4,1,0,405,1,20,0,0,0,0,0,0,56,1944,2960
28,TAMAULIPAS,27,NUEVO LAREDO,44738,30907,887,3264,2750,1144,499,34903,1545,1416,989,5222,3227,425,3213,135129,310391
28,TAMAULIPAS,28,NUEVO MORELOS,1342,1130,1,1,1,2,0,12,49,0,0,0,0,0,81,2619,3102
28,TAMAULIPAS,29,OCAMPO,4478,3630,6,4,8,2,1,111,1,5,0,0,0,0,234,8480,10570
28,TAMAULIPAS,30,PADILLA,3756,2180,12,4,58,22,8,180,23,15,0,1046,0,1,305,7610,11486
28,TAMAULIPAS,31,PALMILLAS,570,313,0,2,0,410,1,2,0,0,0,0,0,0,26,1324,1704
28,TAMAULIPAS,32,REYNOSA,113561,22598,2192,1472,4841,2906,1095,69647,2062,2688,2242,0,0,423,4239,229966,509333
28,TAMAULIPAS,33,RIO BRAVO,15462,14508,813,655,1503,593,201,8122,894,418,232,3513,3808,125,1369,52216,102249
28,TAMAULIPAS,34,SAN CARLOS,1217,3359,15,3,28,10,8,91,3,6,4,0,0,0,207,4951,7368
28,TAMAULIPAS,35,SAN FERNANDO,11381,7716,296,40,240,236,64,3096,124,124,250,1327,0,97,943,25934,38481
28,TAMAULIPAS,36,SAN NICOLAS,326,606,0,0,2,0,0,0,0,1,0,0,0,0,6,941,1095
28,TAMAULIPAS,37,SOTO LA MARINA,6373,3264,477,20,99,48,19,1288,28,44,177,0,0,13,453,12303,18742
28,TAMAULIPAS,38,TAMPICO,53018,47458,1236,1790,1857,1264,181,28275,1100,938,1119,0,0,66,3127,141429,248205
28,TAMAULIPAS,39,TULA,4754,4303,3761,57,140,20,346,337,46,19,0,0,0,1,734,14518,21451
28,TAMAULIPAS,40,VALLE HERMOSO,11753,8336,169,154,601,179,136,3941,638,253,174,0,0,4,719,27057,46712
28,TAMAULIPAS,41,VICTORIA,53530,45291,1190,2400,2609,3446,335,22753,1040,966,1378,6825,2428,100,2864,147155,245077
28,TAMAULIPAS,42,VILLAGRAN,3020,156,15,4,83,5,0,41,7,2,0,0,0,1,297,3631,4806
28,TAMAULIPAS,43,XICOTENCATL,7427,925,66,30,172,50,23,1427,177,75,79,0,0,3,285,10739,18316
