inegi,ife,distrito,municipio,pan,pri,pvem,pt,mc,morena,pvem.morena,ind1,ind1lab,ind2,ind2lab,nr,nul,tot,lisnom
30001,30001,12,1,22,1205,1359,369,1951,566,0,0,,0,,1,129,5602,7571
30002,30002,8,2,73,611,469,557,484,103,25,0,,0,,0,23,2345,2633
30003,30003,27,3,741,266,295,2798,11733,16648,285,818,nlr,0,,8,905,34497,63089
30004,30004,13,4,117,697,633,7701,1964,7708,195,0,,0,,3,446,19464,32676
30005,30005,23,5,5,1,664,198,1169,886,65,0,,0,,35,63,3086,4213
30006,30006,21,6,230,88,717,3372,93,3296,0,2666,mall,0,,2,248,10712,16314
30007,30007,17,7,389,8,28,1234,616,1949,45,0,,0,,0,73,4342,5224
30008,30009,18,9,2174,852,0,38,109,1808,0,0,,0,,1,136,5118,7151
30009,30010,8,10,54,64,451,283,6376,6942,127,0,,0,,4,299,14600,22388
30010,30011,9,11,1385,4898,2436,522,7539,6111,559,0,,0,,23,1152,24625,46550
30011,30012,17,12,3900,207,8513,1597,2517,6265,0,0,,0,,2,606,23607,44978
30012,30013,24,13,11,5,140,61,2022,1891,114,0,,0,,1,131,4376,6076
30013,30015,1,15,2382,1328,2284,3264,248,710,202,0,,0,,3,257,10678,18896
30014,30014,19,14,3783,139,274,4972,2295,5313,98,0,,0,,9,344,17227,33180
30015,30016,24,16,3289,28,386,474,421,6231,178,4152,ahr,0,,1,388,15548,25786
30016,30017,13,17,431,119,615,412,5812,4128,598,0,,0,,4,292,12411,25108
30017,30018,13,18,19,830,2,1072,763,269,3,0,,0,,1,36,2995,3630
30018,30019,21,19,2,3,580,387,417,3,0,0,,0,,0,43,1435,1834
30019,30020,22,20,2268,102,42,24,277,750,23,0,,0,,0,60,3546,5151
30020,30021,22,21,12,2439,0,487,3116,85,0,0,,0,,1,160,6300,8175
30021,30022,17,22,2988,1350,41,2182,1117,2133,25,0,,0,,6,275,10117,17225
30022,30023,20,23,2927,44,27,3839,3886,887,16,0,,0,,0,283,11909,16219
30023,30024,9,24,158,11406,345,300,2822,5659,148,0,,0,,129,676,21643,36751
30024,30025,13,25,31,3911,58,990,62,3925,43,0,,0,,1,200,9221,12276
30025,30026,12,26,84,4493,177,491,537,4397,169,0,,0,,0,508,10856,16848
30026,30027,12,27,5936,134,177,140,170,3709,59,575,rrg,0,,5,316,11221,21013
30027,30028,4,28,1305,1926,2747,381,1077,1334,0,0,,0,,1,217,8988,11760
30028,30029,16,29,18887,805,574,485,6070,17450,228,0,,0,,23,1235,45757,122690
30029,30030,18,30,2086,31,113,77,2955,782,599,0,,0,,1,238,6882,9816
30030,30031,21,31,491,928,1522,4797,4505,2121,313,0,,0,,8,693,15378,23711
30031,30032,17,32,43,4333,1159,220,48,3641,0,0,,0,,2,182,9628,14054
30032,30034,25,34,1568,54,1160,4214,8091,5319,301,0,,0,,1,581,21289,37267
30033,30035,3,35,41,74,30,3876,4806,3431,12,0,,0,,0,221,12491,18916
30034,30036,4,36,362,152,1205,1078,2921,3638,0,0,,0,,1,182,9539,17565
30035,30037,2,37,872,1661,36,1593,902,329,51,0,,0,,0,50,5494,7522
30036,30038,8,38,2564,8,1582,60,103,2274,0,0,,0,,0,90,6681,8491
30037,30039,6,39,9,1736,1728,25,16,1516,0,0,,0,,0,95,5125,6229
30038,30040,12,40,3625,1148,937,1146,8106,13042,334,0,,0,,25,1129,29492,74066
30039,30041,29,41,3251,16772,775,1726,24541,38972,493,0,,0,,57,2148,88735,238596
30040,30042,5,42,207,276,230,5511,1740,10802,154,0,,0,,4,415,19339,39816
30041,30043,22,43,141,339,11,123,664,313,0,0,,0,,0,37,1628,1923
30042,30044,8,44,4,4,468,1395,33,1848,0,0,,0,,1,38,3791,4845
30043,30045,18,45,5096,41,120,82,3064,2750,59,0,,0,,2,213,11427,15546
30044,30046,19,46,8143,6043,2833,1954,10744,20361,519,0,,0,,236,2462,53295,165073
30045,30047,23,47,101,320,1421,7552,944,8477,612,0,,0,,17,661,20105,41181
30046,30048,12,48,1120,2580,73,1953,312,1234,50,0,,0,,4,288,7614,11909
30047,30049,18,49,706,5869,180,1666,7925,6591,120,0,,0,,8,902,23967,41383
30048,30050,26,50,386,30763,189,551,581,7150,73,0,,0,,5,1048,40746,90042
30049,30051,17,51,5487,29,409,219,153,6334,270,0,,0,,2,281,13184,17191
30050,30052,6,52,3978,74,141,121,700,2331,34,0,,0,,0,190,7569,11787
30051,30053,6,53,1810,103,1539,3462,106,3374,454,0,,0,,3,399,11250,17376
30052,30054,23,54,295,43,66,1669,63,3321,46,0,,0,,0,149,5652,9074
30053,30055,17,55,1637,2634,1062,2248,1690,2263,334,0,,0,,3,230,12101,21207
30054,30056,23,56,11,2319,67,3137,14,1370,35,0,,0,,0,143,7096,8961
30055,30057,2,57,6,11,1770,43,3807,1762,172,0,,0,,0,171,7742,9712
30056,30058,2,58,841,9,1238,1014,567,49,0,0,,0,,1,70,3789,4930
30057,30059,8,59,656,431,3429,100,81,2774,0,0,,0,,2,92,7565,10116
30058,30060,2,60,1012,7789,7958,3527,2739,1117,0,0,,0,,2,819,24963,39398
30059,30061,26,61,476,4103,67,645,89,3028,54,0,,0,,1,144,8607,13527
30060,30062,1,62,1118,1068,62,2864,29,2373,34,0,,0,,1,90,7639,10848
30061,30063,30,63,507,194,398,349,19691,7987,301,0,,0,,4,1079,30510,56517
30062,30064,18,64,3339,27,1972,2583,638,733,250,0,,0,,4,311,9857,15090
30063,30065,2,65,2440,2397,231,395,168,1097,77,0,,0,,0,292,7097,9383
30064,30066,6,66,1322,115,1,1247,1,0,0,7,vgh,0,,0,30,2723,3271
30065,30067,13,67,3483,1095,936,1392,6263,7980,170,0,,0,,337,784,22440,61741
30066,30068,6,68,27,1084,6625,4768,117,825,0,0,,0,,0,300,13746,20653
30067,30069,6,69,3588,2030,0,55,3115,385,0,0,,0,,0,216,9389,12139
30068,30070,20,70,3622,625,409,1851,7827,6155,105,0,,0,,46,747,21387,51987
30069,30071,7,71,3617,1850,45,505,1489,3050,20,0,,0,,3,233,10812,18155
30070,30072,28,72,1708,44,1368,1891,1987,2138,0,0,,0,,0,93,9229,13041
30071,30073,18,73,11238,1117,506,1082,2932,5490,193,0,,0,,26,852,23436,45339
30072,30074,4,74,60,71,223,4748,304,5590,0,0,,0,,5,492,11493,15517
30073,30075,25,75,232,5997,1137,145,487,6487,251,0,,0,,14,658,15408,30850
30074,30076,21,76,387,164,40,460,1655,779,18,0,,0,,0,85,3588,5655
30075,30077,17,77,103,4220,1792,233,125,2034,481,0,,0,,0,268,9256,13242
30076,30078,4,78,21,30,2795,2801,43,1176,0,0,,0,,2,279,7147,9656
30077,30079,24,79,64,0,3566,956,9735,2802,0,0,,0,,2,402,17527,30289
30078,30080,2,80,2839,38,24,2226,242,1225,5,0,,0,,1,110,6710,8871
30079,30081,12,81,46,3076,1126,50,407,1318,360,0,,0,,0,165,6548,8253
30080,30083,18,83,4159,434,55,2696,1034,1422,14,0,,0,,8,274,10096,17653
