ord,dl,munn,mun,pan,l,pri,l,prd,l,pvem,l,pt,l,mc,l,pna,l,morena,l,pes,l,pan-prd-mc,l,Pri-pvem-pna,l,Pt-morena-pes,l,INDEPENDIENTE,l,nr,valid,validPartidos,nul,validYnul,nota
1,VIII,1,ABALÁ,1923,pan,1923,pri,5,prd,2,pvem,13,pt,20,mc,33,pna,406,morena,8,pes,15,pan-mc,3,Pri-pvem,3,Pt-morena-pes,,,0,4354,4354,60,4414,
2,VI,2,ACANCEH,319,pan,3893,pri,923,prd,4037,pvem,18,pt,30,mc,34,pna,175,morena,9,pes,5,pan-mc,26,Pri-pna,10,Pt-morena-pes,,,2,9479,9479,452,9931,
3,XII,3,AKIL,412,pan,2159,pri,1388,prd,66,pvem,1776,pt,,mc,,pna,158,morena,10,pes,79,pan-prd,,,20,PT-PES,,,0,6068,6068,164,6232,
4,IX,4,BACA,48,pan,1700,pri,810,prd,11,pvem,1,pt,954,mc,98,pna,85,morena,4,pes,,,33,Pri-pvem-pna,3,Pt-morena-pes,,,0,3747,3747,96,3843,
5,XV,5,BOKOBÁ,708,pan,1049,pri,3,prd,6,pvem,,pt,2,mc,4,pna,,morena,,pes,5,pan-mc,1,Pri-pna,,,,,0,1778,1778,14,1792,
6,XV,6,BUCTZOTZ,2152,pan,2677,pri,,prd,3,pvem,19,pt,18,mc,4,pna,686,morena,14,pes,12,pan-mc,12,Pri-pvem-pna,8,Pt-morena-pes,,,2,5605,5605,74,5679,
7,XV,7,CACALCHÉN,347,pan,2668,pri,6,prd,5,pvem,17,pt,33,mc,2,pna,1562,morena,3,pes,9,pan-prd-mc,24,Pri-pvem-pna,17,Pt-morena-pes,,,0,4693,4693,62,4755,
8,X,8,CALOTMUL,1119,pan,1782,pri,,prd,,pvem,4,pt,,mc,2,pna,92,morena,1,pes,,,5,Pri-pna,,,,,0,3005,3005,38,3043,
9,XV,9,CANSAHCAB,563,pan,841,pri,1085,prd,415,pvem,2,pt,2,mc,100,pna,76,morena,2,pes,2,pan-mc,,,4,Pt-morena-pes,,,0,3092,3092,97,3189,
10,XIV,10,CANTAMAYEC,675,pan,429,pri,,prd,517,pvem,1,pt,1,mc,1,pna,7,morena,0,pes,,,,,,,,,0,1631,1631,20,1651,
11,VIII,11,CELESTÚN,102,pan,1453,pri,630,prd,1192,pvem,14,pt,780,mc,7,pna,191,morena,10,pes,,,3,Pri-pna,5,Pt-morena-pes,,,0,4387,4387,221,4608,
12,XV,12,CENOTILLO,966,pan,1238,pri,,prd,1,pvem,,pt,336,mc,3,pna,,morena,,pes,,,1,Pri-pna,,,,,0,2545,2545,43,2588,
13,IX,13,CONKAL,2818,pan,3140,pri,,prd,12,pvem,22,pt,22,mc,25,pna,413,morena,27,pes,28,pan-mc,37,Pri-pvem-pna,17,Pt-morena-pes,,,2,6561,6561,154,6715,
14,XI,14,CUNCUNUL,366,pan,799,pri,,prd,1,pvem,0,pt,5,mc,1,pna,99,morena,0,pes,,,,,,,,,0,1271,1271,6,1277,
15,XIV,15,CUZAMA,68,pan,1464,pri,149,prd,9,pvem,8,pt,1241,mc,90,pna,147,morena,6,pes,,,5,Pri-pvem,,,,,0,3187,3187,72,3259,
16,XII,16,CHACSINKÍN,75,pan,849,pri,,prd,1096,pvem,,pt,0,mc,0,pna,,morena,,pes,,,,,,,,,0,2020,2020,0,2020,
17,XIV,17,CHANKOM,11,pan,2182,pri,1,prd,,pvem,112,pt,1025,mc,,pna,52,morena,2,pes,,,,,,,,,0,3385,3385,22,3407,
18,XIII,18,CHAPAB,1100,pan,721,pri,,prd,,pvem,2,pt,3,mc,720,pna,37,morena,0,pes,,,,,,,,,0,2583,2583,63,2646,
19,XI,19,CHEMAX,9827,pan,7526,pri,104,prd,,pvem,96,pt,,mc,,pna,1507,morena,,pes,,,,,8,PT-MORENA,,,0,19068,19068,323,19391,
20,IX,20,CHICXULUB PUEBLO,1103,pan,1587,pri,,prd,4,pvem,7,pt,6,mc,3,pna,150,morena,4,pes,,,4,Pri-pvem-pna,3,Pt-morena-pes,,,0,2871,2871,45,2916,
21,XI,21,CHICHIMILÁ,1868,pan,3039,pri,8,prd,319,pvem,5,pt,13,mc,,pna,94,morena,3,pes,3,pan-prd,,,2,Pt-morena-pes,,,0,5354,5354,84,5438,
22,XI,22,CHIKINDZONOT,277,pan,1868,pri,,prd,,pvem,10,pt,22,mc,,pna,376,morena,8,pes,2,pan-mc,,,11,Pt-morena-pes,,,0,2574,2574,27,2601,
23,VIII,23,CHOCHOLÁ,74,pan,1010,pri,15,prd,6,pvem,17,pt,1117,mc,4,pna,791,morena,7,pes,,,8,Pri-pvem-pna,12,Pt-morena-pes,,,0,3061,3061,58,3119,
24,XIII,24,CHUMAYEL ,1314,pan,982,pri,,prd,,pvem,8,pt,,mc,,pna,12,morena,3,pes,,,,,5,Pt-morena-pes,,,0,2324,2324,10,2334,
25,XIII,25,DZÁN,1450,pan,1175,pri,204,prd,,pvem,2,pt,497,mc,,pna,162,morena,2,pes,,,,,2,Pt-morena-pes,,,0,3494,3494,,3494,
26,IX,26,DZEMUL,417,pan,1162,pri,,prd,1090,pvem,9,pt,4,mc,21,pna,47,morena,2,pes,3,pan-mc,,,2,Pt-morena-pes,,,0,2757,2757,58,2815,
27,XV,27,DZIDZANTÚN,1901,pan,2044,pri,,prd,836,pvem,19,pt,,mc,,pna,188,morena,6,pes,,,,,,,,,0,4994,4994,104,5098,
28,XV,28,DZILAM BRAVO,910,pan,977,pri,,prd,3,pvem,6,pt,,mc,,pna,29,morena,1,pes,,,,,5,Pt-morena-pes,,,0,1931,1931,71,2002,
29,XV,29,DZILAM GONZÁLEZ,1879,pan,2172,pri,,prd,4,pvem,9,pt,11,mc,,pna,52,morena,3,pes,28,pan-mc,,,24,Pt-morena-pes,,,0,4182,4182,148,4330,
